CO1_Metazoa_seq_number	CO1_Metazoa_Yell-July18-Site5e-S95	CO1_Metazoa_Yell-July18-Site1f-S92	CO1_Metazoa_Yell-July18-Site1w-S118	CO1_Metazoa_Yell-July18-Site1dd-S141	CO1_Metazoa_Yell-July18-Site1p-S105	CO1_Metazoa_Yell-July18-Site1ee-S142	CO1_Metazoa_Yell-July18-Site1h-S94	CO1_Metazoa_Yell-July18-Site5J-S107	CO1_Metazoa_Yell-July18-Site5f-S96	CO1_Metazoa_Yell-July18-Site5s-S124	CO1_Metazoa_Yell-July18-Site5aa-S132	CO1_Metazoa_Yell-July18-Site1L-S101	CO1_Metazoa_Yell-July18-Site5w-S128	CO1_Metazoa_Yell-July18-Site5z-S131	CO1_Metazoa_Yell-July18-Site1cc-S140	CO1_Metazoa_Yell-July18-Site5n-S115	CO1_Metazoa_Yell-July18-Site1o-S104	CO1_Metazoa_Yell-July18-Site1m-S102	CO1_Metazoa_Yell-July18-Site1v-S117	CO1_Metazoa_Yell-July18-Site5cc-S134	CO1_Metazoa_Yell-July18-Site1J-S99	CO1_Metazoa_Yell-July18-Site5g-S97	CO1_Metazoa_Yell-July18-Site5q-S122	CO1_Metazoa_Yell-July18-Site5m-S110	CO1_Metazoa_Yell-July18-Site5v-S127	CO1_Metazoa_Yell-July18-Site1d-S86	CO1_Metazoa_Yell-July18-Site1q-S106	CO1_Metazoa_Yell-July18-Site5a-S87	CO1_Metazoa_Yell-July18-Site5L-S109	CO1_Metazoa_Yell-July18-Site5b-S88	CO1_Metazoa_Yell-July18-Site1r-S111	CO1_Metazoa_Yell-July18-Site5p-S121	CO1_Metazoa_Yell-July18-Site5bb-S133	CO1_Metazoa_Yell-July18-Site5h-S98	CO1_Metazoa_Yell-July18-Site1e-S91	CO1_Metazoa_Yell-July18-Site1g-S93	CO1_Metazoa_Yell-July18-Site1c-S85	CO1_Metazoa_Yell-July18-Site1bb-S139	CO1_Metazoa_Yell-July18-Site1a-S83	CO1_Metazoa_Yell-July18-Site1y-S120	CO1_Metazoa_Yell-July18-Site1z-S129	CO1_Metazoa_Yell-July18-Site5r-S123	CO1_Metazoa_Yell-July18-Site1k-S100	CO1_Metazoa_Yell-July18-Site1n-S103	CO1_Metazoa_Yell-July18-Site1U-S114	CO1_Metazoa_Yell-July18-Site1s-S112	CO1_Metazoa_Yell-July18-Site1b-S84	CO1_Metazoa_Yell-July18-Site1t-S113	CO1_Metazoa_Yell-July18-Site5c-S89	CO1_Metazoa_Yell-July18-Site5ee-S136	CO1_Metazoa_Yell-July18-Site5k-S108	CO1_Metazoa_Yell-July18-Site5u-S126	CO1_Metazoa_Yell-July18-Site5t-S125	CO1_Metazoa_Yell-July18-Site5o-S116	CO1_Metazoa_Yell-July18-Site5ff-S137
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Coscinodiscales;Coscinodiscaceae;Coscinodiscus;Coscinodiscus wailesii	0	0	18	7	115	0	1	0	0	83	0	30	0	2	29	1	0	70	79	65	3	17	205	40	0	28	1	0	21	0	79	3	3	0	0	10	4	0	0	1	1	9	20	0	13	90	0	59	6	17	0	0	70	3	13
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema	6	0	5	9	101	15	2	0	3	0	4	6	0	8	18	0	23	14	10	48	3	5	3	4	0	10	1	0	4	7	10	0	4	0	0	4	1	0	3	0	0	0	9	7	3	15	10	17	0	1	7	10	2	0	11
Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;NA;Chironomidae sp. BOLD-2016	0	1	0	5	151	4	3	0	0	0	0	2	0	1	1	0	69	4	5	0	1	0	0	0	0	16	3	0	0	0	3	9	0	0	0	12	6	0	9	3	5	0	5	30	6	3	22	8	0	0	0	4	0	0	0
Eukaryota;Mollusca;Bivalvia;Veneroida;Tellinidae;Macoma;Macoma nasuta	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	6	18	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0
Eukaryota;NA;Dinophyceae	0	0	5	3	2	23	0	0	0	0	1	0	0	6	2	0	6	1	7	6	1	0	2	1	0	5	1	0	0	1	2	0	0	0	0	0	4	3	1	1	2	0	6	17	1	9	16	1	0	0	0	4	0	1	0
Eukaryota;NA;Florideophyceae;Gigartinales;Gigartinaceae;Mazzaella;Mazzaella sp. GWS-2013b	0	1	2	4	6	4	6	0	0	1	1	3	0	6	3	1	1	2	6	1	9	0	17	0	0	8	1	0	0	2	3	0	0	0	3	34	6	0	6	5	4	1	1	11	4	10	15	2	0	1	0	1	0	0	2
Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Membraniporidae;Membranipora	1	1	3	3	2	1	3	0	0	0	1	12	0	9	10	0	81	4	39	0	1	0	0	0	0	11	1	0	0	0	1	0	1	0	0	5	8	0	13	16	3	0	51	10	3	159	20	13	5	1	0	0	0	0	3
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Polaribacter;Polaribacter sp. Hel1_33_78	0	0	0	0	7	2	0	0	0	0	1	0	0	32	3	4	1	0	0	0	1	5	13	5	0	1	1	1	0	1	1	3	6	0	0	0	3	0	1	0	0	0	0	3	0	1	0	2	0	0	1	0	3	0	5
Eukaryota;Cnidaria;Staurozoa;Stauromedusae;Haliclystidae;Haliclystus;Haliclystus tenuis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Arthropoda;Maxillopoda;Calanoida;Paracalanidae;Paracalanus;Paracalanus sp. C AC-2013	6	0	5	18	4	8	0	0	0	0	4	2	0	41	10	5	2	3	18	10	4	18	11	25	0	36	3	0	352	18	57	4	0	0	3	1	0	0	0	2	4	14	66	10	3	27	14	19	2	26	0	1	154	2	24
