CO1_Metazoa_seq_number	CO1_Metazoa_Yell-July18-Site5e-S95	CO1_Metazoa_Yell-July18-Site1f-S92	CO1_Metazoa_Yell-July18-Site1w-S118	CO1_Metazoa_Yell-July18-Site1dd-S141	CO1_Metazoa_Yell-July18-Site1p-S105	CO1_Metazoa_Yell-July18-Site1ee-S142	CO1_Metazoa_Yell-July18-Site1h-S94	CO1_Metazoa_Yell-July18-Site5J-S107	CO1_Metazoa_Yell-July18-Site5f-S96	CO1_Metazoa_Yell-July18-Site5s-S124	CO1_Metazoa_Yell-July18-Site5aa-S132	CO1_Metazoa_Yell-July18-Site1L-S101	CO1_Metazoa_Yell-July18-Site5w-S128	CO1_Metazoa_Yell-July18-Site5z-S131	CO1_Metazoa_Yell-July18-Site1cc-S140	CO1_Metazoa_Yell-July18-Site5n-S115	CO1_Metazoa_Yell-July18-Site1o-S104	CO1_Metazoa_Yell-July18-Site1m-S102	CO1_Metazoa_Yell-July18-Site1v-S117	CO1_Metazoa_Yell-July18-Site5cc-S134	CO1_Metazoa_Yell-July18-Site1J-S99	CO1_Metazoa_Yell-July18-Site5g-S97	CO1_Metazoa_Yell-July18-Site5q-S122	CO1_Metazoa_Yell-July18-Site5m-S110	CO1_Metazoa_Yell-July18-Site5v-S127	CO1_Metazoa_Yell-July18-Site1d-S86	CO1_Metazoa_Yell-July18-Site1q-S106	CO1_Metazoa_Yell-July18-Site5a-S87	CO1_Metazoa_Yell-July18-Site5L-S109	CO1_Metazoa_Yell-July18-Site5b-S88	CO1_Metazoa_Yell-July18-Site1r-S111	CO1_Metazoa_Yell-July18-Site5p-S121	CO1_Metazoa_Yell-July18-Site5bb-S133	CO1_Metazoa_Yell-July18-Site5h-S98	CO1_Metazoa_Yell-July18-Site1e-S91	CO1_Metazoa_Yell-July18-Site1g-S93	CO1_Metazoa_Yell-July18-Site1c-S85	CO1_Metazoa_Yell-July18-Site1bb-S139	CO1_Metazoa_Yell-July18-Site1a-S83	CO1_Metazoa_Yell-July18-Site1y-S120	CO1_Metazoa_Yell-July18-Site1z-S129	CO1_Metazoa_Yell-July18-Site5r-S123	CO1_Metazoa_Yell-July18-Site1k-S100	CO1_Metazoa_Yell-July18-Site1n-S103	CO1_Metazoa_Yell-July18-Site1U-S114	CO1_Metazoa_Yell-July18-Site1s-S112	CO1_Metazoa_Yell-July18-Site1b-S84	CO1_Metazoa_Yell-July18-Site1t-S113	CO1_Metazoa_Yell-July18-Site5c-S89	CO1_Metazoa_Yell-July18-Site5ee-S136	CO1_Metazoa_Yell-July18-Site5k-S108	CO1_Metazoa_Yell-July18-Site5u-S126	CO1_Metazoa_Yell-July18-Site5t-S125	CO1_Metazoa_Yell-July18-Site5o-S116	CO1_Metazoa_Yell-July18-Site5ff-S137
Eukaryota;Annelida;Polychaeta;Eunicida;Onuphidae;Diopatra;Diopatra cf. ornata JZ-2010	0	0	4	23	0	9	0	0	0	0	0	1	0	0	6	0	1	0	5	0	0	0	9	0	0	6	0	0	0	0	24	0	0	0	0	0	2	1	0	1	4	0	9	7	0	15	6	0	0	0	0	2	1	0	1
Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Campanulariidae;Clytia	1	0	0	3	4	0	1	0	0	0	0	2	0	4	0	0	14	0	0	0	0	0	0	0	0	1	0	1	2	6	0	0	1	0	0	0	2	0	2	2	0	0	1	11	0	2	4	1	0	0	0	1	0	0	2
Eukaryota;Arthropoda;Maxillopoda;Sessilia;Balanidae;Balanus	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	1	0	0	9	0	0	0	0	3	0	0	0	0	0	6	2	0	1	3	0	0	2	0	0	2	2	0	0	0	1	0	0	0
Eukaryota;Arthropoda;Maxillopoda;Sessilia;Balanidae	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	2
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;NA;alpha proteobacterium HIMB59	0	0	1	5	0	4	0	0	0	0	0	1	0	6	2	0	3	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	6	4	3	0	0	0	1	3	0	1
Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Campanulariidae;Obelia	0	0	1	1	0	0	0	0	0	1	4	1	0	1	2	1	5	0	2	13	0	0	6	2	0	1	0	0	17	1	0	0	0	0	0	2	3	0	0	1	0	0	1	11	1	1	13	6	0	0	4	1	3	0	0
Eukaryota;NA;Dictyochophyceae;Florenciellales;NA;Pseudochattonella;Pseudochattonella farcimen	0	0	8	16	139	11	0	0	0	0	2	1	0	6	10	1	5	12	16	0	0	1	5	2	0	14	1	0	1	0	8	0	9	0	0	5	2	0	3	0	1	0	9	7	0	11	11	5	1	1	2	5	2	0	3
Eukaryota;Arthropoda;Maxillopoda;Calanoida;Clausocalanidae;Pseudocalanus;Pseudocalanus newmani	83	38	1	795	41	538	74	0	95	3909	587	48	0	3324	57	430	227	84	28	14357	18	366	1781	1121	5	7	5	2010	3948	4306	600	1849	471	2	0	62	4	47	382	3	42	120	360	306	3	973	2	2461	959	1557	2681	418	6365	104	2386
Eukaryota;Phaeophyceae;NA;Fucales;Fucaceae;Fucus	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Annelida;Polychaeta;Spionida;Spionidae;Scolelepis;Scolelepis squamata	6	0	1	4	46	0	1	0	0	0	1	1	0	1	2	1	21	0	8	1	0	1	0	1	2	6	0	0	0	0	1	0	2	0	1	8	2	0	7	4	1	3	5	23	2	10	10	18	1	0	0	0	0	1	0
Eukaryota;NA;Dinophyceae;Peridiniales;Pfiesteriaceae;NA	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Florideophyceae;Ceramiales;Rhodomelaceae;Polysiphonia;Polysiphonia hendryi	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	2	0	0	0	0	1	0	0	3	0	1	0	1	0	0	8
Eukaryota;Bacillariophyta;Fragilariophyceae;Fragilariales;Fragilariaceae;Grammonema;Grammonema striatula	0	0	12	12	1	2	1	0	0	2	12	0	0	11	6	1	1	2	2	0	0	16	23	4	0	7	3	1	4	0	2	1	13	0	0	7	6	0	1	11	5	21	0	0	16	8	0	0	1	1	0	0	18	8	14
Eukaryota;Phaeophyceae;NA;Fucales;Fucaceae;Fucus;Fucus distichus	0	1	2	6	37	0	1	0	0	0	2	0	0	4	9	1	8	1	1	0	0	0	1	2	2	6	0	0	2	0	0	4	7	0	3	5	0	0	3	8	1	1	7	3	3	0	5	3	0	1	0	1	9	2	6
Eukaryota;Phaeophyceae;NA;Fucales	0	0	0	1	1	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	2	1	0	0	2	0	2	0	1	7	0	0	1	1	0	0	0	1	0	3
Eukaryota;Phaeophyceae;NA;Ectocarpales;Chordariaceae;Leathesia;Leathesia marina	0	0	0	0	6	0	0	0	0	0	0	0	0	8	0	0	1	0	0	7	0	0	3	0	0	0	1	0	1	1	0	0	2	0	0	1	0	0	2	0	0	1	0	0	1	0	2	2	2	0	0	0	0	0	0
Eukaryota;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gymnodinium;Gymnodinium sp. NVA/RUS/2008	0	0	1	0	0	1	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	1	5	2	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	2	0	3
Eukaryota;Mollusca;Gastropoda;NA;Lottiidae;Lottia;Lottia paradigitalis	3	1	2	5	0	4	0	0	0	6	3	0	0	18	1	0	20	0	3	27	0	18	0	8	0	2	1	0	10	0	0	0	5	0	0	1	5	0	0	0	6	2	1	15	1	1	4	6	0	4	2	3	2	0	21
Eukaryota;Cnidaria;Staurozoa;Stauromedusae;Haliclystidae;Haliclystus;Haliclystus sanjuanensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	2	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	9	0	1	0	4	8	1	0	0	3	0	0	0	0	0	0	0
Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Corynidae;Sarsia;Sarsia sp. SL-2013	0	0	0	1	91	1	0	0	0	0	1	0	0	2	0	0	19	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	2	2	0	0	1	39	3	1	3	8	0	0	0	2	1	0	0
Eukaryota;NA;Florideophyceae;Ceramiales;Ceramiaceae;Corallophila;Corallophila eatoniana	0	0	0	1	206	2	0	0	0	0	1	0	0	0	1	0	2	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	2	0	12	0	0	0	2	1	0	0
Eukaryota;Bacillariophyta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Tiaropsidae;Tiaropsis;Tiaropsis multicirrata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
Eukaryota	0	0	1	0	3	5	0	0	0	0	0	0	0	1	2	0	4	1	0	1	0	1	3	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	13	0	0	0	1	1	1	1	1	3	0	0	0	0	1	0	1
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Melosirales;Hyalodiscaceae;Podosira;Podosira stelligera	0	0	5	11	0	0	0	0	0	8	26	0	0	36	9	4	5	0	3	5	0	36	27	5	2	4	1	2	9	5	1	13	30	0	3	5	4	0	0	5	2	10	1	6	3	4	3	5	5	6	5	1	21	11	46
Eukaryota;Phaeophyceae;NA;Ectocarpales;Ectocarpaceae	0	0	0	0	10	0	0	0	0	0	2	0	0	5	0	0	3	0	0	0	0	0	2	1	0	0	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0	5	0	0	2	2	0	0	1	0	0	0	1	0	1
Eukaryota;Chlorophyta;NA;NA;Pycnococcaceae	0	0	47	102	0	94	0	0	0	1	99	0	0	233	34	0	31	0	8	0	0	2	0	7	5	10	1	0	6	0	10	0	123	0	0	16	4	2	0	37	27	23	0	2	4	113	2	0	9	28	8	0	20	21	57
Eukaryota;Phaeophyceae;NA;Ectocarpales;Scytosiphonaceae;Petalonia;Petalonia fascia	1	0	1	3	0	1	1	0	0	0	2	0	0	4	1	0	2	1	0	1	0	0	0	0	0	1	0	0	0	2	0	0	1	0	1	4	0	0	1	2	1	1	0	0	1	4	1	1	0	1	1	0	1	0	4
Eukaryota;NA;Florideophyceae;Ceramiales;Rhodomelaceae	8	0	1	3	187	3	1	0	1	0	3	0	0	43	8	0	87	14	0	0	0	16	26	0	28	15	1	1	0	0	3	0	17	0	0	3	6	0	12	1	14	8	4	58	3	3	13	6	0	1	1	0	1	3	0
Eukaryota;NA;Florideophyceae;Ceramiales;Rhodomelaceae;Neorhodomela;Neorhodomela larix	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	14	1	0	1	5	0	0	0	0	0	0	0
Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Bougainvilliidae;Bougainvillia;Bougainvillia muscus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Mediophyceae;Lithodesmiales;Lithodesmiaceae;Ditylum;Ditylum brightwellii	0	0	0	6	0	6	0	0	0	0	0	0	0	1	3	0	1	1	0	0	0	2	1	7	0	3	0	0	7	0	5	0	0	0	0	0	0	0	0	0	0	0	6	2	1	6	1	1	0	2	0	10	12	0	4
Eukaryota;NA;Florideophyceae;Halymeniales;Halymeniaceae;Prionitis;Prionitis sternbergii	0	0	9	29	5	13	2	0	0	0	3	0	0	4	24	0	17	5	12	0	0	5	5	1	1	16	0	0	2	0	2	0	2	0	2	1	7	0	1	7	2	3	3	10	4	15	16	5	0	0	1	13	0	0	0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Polaribacter;Polaribacter sp. KT 15	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1
Eukaryota;Mollusca;Gastropoda;NA;Lottiidae;Lottia	0	0	1	0	89	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	4	6	1	0	4	1	0	0	0	0	0	0	0
Eukaryota;NA;Florideophyceae;Ceramiales	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	3
Eukaryota;NA;Florideophyceae;Gigartinales;Gigartinaceae;Mazzaella;Mazzaella oregona	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	2	1	2	0	0	1	0	1
Eukaryota;Arthropoda;Maxillopoda;Sessilia;Chthamalidae;NA;Chthamalidae sp. 144752A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1
Eukaryota;Annelida;Polychaeta;Eunicida;Dorvilleidae;Schistomeringos;Schistomeringos longicornis	0	0	0	2	0	4	33	0	0	0	1	0	0	2	0	0	0	0	14	93	0	597	0	15	1	0	0	0	6	34	0	0	3	0	6	15	1	0	0	0	8	0	0	0	1	0	0	104	5	15	3	14	17	0	46
Eukaryota;Nemertea;Palaeonemertea;NA;Carinomidae;Carinoma;Carinoma sp. 5 TCH-2015	0	2	0	392	0	2	4	0	0	0	0	0	0	4	122	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	6	9	0	0	0	40	5	0	0	3	1	3	1	0	0	0	0	0	0	0	0
Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Bugulidae;Bugula;Bugula pacifica	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1
Eukaryota;NA;Florideophyceae;Ceramiales;Delesseriaceae;Cryptopleura;Cryptopleura ruprechtiana	0	0	2	5	10	0	0	0	0	0	0	0	0	2	0	0	10	3	3	0	0	0	0	0	0	1	1	0	0	0	3	0	1	0	0	3	1	0	2	1	1	0	0	16	1	3	7	7	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Attheyaceae;Attheya;Attheya longicornis	5	0	4	2	5	4	0	0	0	3	12	0	0	29	3	1	14	0	4	36	0	15	14	10	0	4	0	3	25	0	0	0	16	0	0	2	1	0	5	2	0	4	3	1	2	0	3	1	1	5	7	4	14	1	21
Eukaryota;Phaeophyceae;NA;Ectocarpales;Chordariaceae;Laminariocolax	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	1	0	1	3	0	1	1	1	0	0	1	0	2	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	1	3	0	1
Eukaryota;Chordata;Actinopteri;Perciformes;Stichaeidae;Xiphister;Xiphister atropurpureus	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Eukaryota;Phaeophyceae;NA;Ralfsiales;Ralfsiaceae;NA;Ralfsioid sp. 4GWS	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	13	0	2	0	0	0	1	0	1	0	3	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	1	0
Eukaryota;NA;Florideophyceae;Gigartinales;Gigartinaceae;Mazzaella;Mazzaella rosea	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	2	0	0	0	0	0	0	1	1	0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Tenacibaculum;Tenacibaculum sp. LPB0136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	8	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	54	2	0	0	0	0	0	0	0	7	0	0	0	1	0	0	1
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira nordenskioeldii	2	0	8	22	80	16	2	0	0	65	2	0	0	33	18	7	36	32	21	68	0	11	10	7	0	8	2	1	5	18	21	7	11	0	0	10	11	0	9	4	3	0	17	20	0	52	15	6	1	2	20	11	3	1	14
Eukaryota;Nemertea;Enopla;Monostilifera;Tetrastemmatidae;Tetrastemma;Tetrastemma sp. 1 TCH-2015	1	0	0	0	41	0	1	0	0	0	8	0	0	12	0	0	10	0	0	1	0	2	0	1	0	0	0	0	0	1	0	0	4	0	0	1	0	0	1	1	1	2	0	4	0	1	1	3	0	0	0	0	3	0	0
Eukaryota;Mollusca;Gastropoda;NA;Littorinidae;Littorina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	7	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Arthropoda;Malacostraca;Decapoda;Atelecyclidae;Telmessus;Telmessus cheiragonus	3	0	0	0	0	0	0	0	0	26	0	0	0	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	6	18	0	0	0	1	0	0	0	23	1	7	5	1	5	3	10
Eukaryota;Chlorophyta;NA;NA;Pycnococcaceae;Pseudoscourfieldia;Pseudoscourfieldia marina	0	0	0	0	0	3	0	0	0	0	0	0	0	0	5	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	8	0	0	0	0	1	1	0	3	0	2	0	0	5	0	5	0	1	0	0	0	2	0	0	0
Eukaryota;NA;Florideophyceae;Gigartinales;Gigartinaceae;Chondracanthus;Chondracanthus corymbiferus	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	4	0	4	1	1	0	0	2	0	0	1	0	0	0	0	0	0	1	0
Eukaryota;Arthropoda;Maxillopoda;Sessilia;Balanidae;Balanus;Balanus glandula	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	8	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	4	0	0	0	0	0	2	9	1	0	0	0	0	0	0
Eukaryota;Chordata;Mammalia;NA;Suidae;Sus;Sus scrofa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Annelida;Polychaeta;NA;Orbiniidae;Leitoscoloplos;Leitoscoloplos pugettensis CMC01	50	0	0	0	0	0	0	0	18	3	122	0	0	545	0	24	0	0	0	26	0	61	188	10	4	4	0	8	32	19	0	4	211	0	0	0	0	0	8	0	0	31	0	0	0	0	0	0	12	8	9	0	14	34	8762
Eukaryota;Chlorophyta;NA;Pyramimonadales;NA;Cymbomonas;Cymbomonas tetramitiformis	0	0	0	4	24	2	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	2	1	0	2	0	0	1	0	0	2	0	0	0
Eukaryota;NA;NA;Phaeocystales;Phaeocystaceae;Phaeocystis;Phaeocystis globosa	0	0	0	3	2	1	0	0	0	0	0	0	0	2	1	1	1	3	1	3	1	1	1	1	0	0	0	0	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	2	0	2	2	1	0	1	2	0	0	0	0
Eukaryota;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium sclerotiorum	0	0	0	2	0	0	0	0	0	0	5	0	0	12	0	0	3	0	0	0	0	0	0	0	1	26	0	0	0	2	0	0	4	0	0	1	0	0	1	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Stichaeidae;Xiphister;Xiphister mucosus	3	0	18	8	0	17	1	0	0	0	1	0	0	8	6	2	4	4	0	0	0	0	0	7	0	0	0	3	0	12	0	0	10	0	0	1	2	2	2	5	4	0	1	3	0	1	2	3	1	1	0	0	4	1	1
Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;NA;Orthocladiinae sp. BOLD-2016	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	4	0	9	0	0	0	0	0	0	2	0	0	1	0	0	0	2	2	0	1	0	0	3	0	0	0	1	3	0	2	1	0	0	0	0	0	0	0	0
Eukaryota;Chordata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Cnidaria;Hydrozoa	2	0	0	3	0	2	0	0	0	2	3	0	0	27	2	0	10	2	0	20	0	0	1	1	0	3	0	0	2	0	0	0	3	0	0	2	2	0	1	0	0	0	1	13	0	3	8	2	0	0	1	2	0	0	4
Eukaryota;NA;Florideophyceae;Ceramiales;Ceramiaceae;Callithamnion;Callithamnion pikeanum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;Pseudo-nitzschia delicatissima	1	0	2	0	0	0	0	0	0	0	4	0	0	13	1	4	4	1	0	11	0	4	0	6	0	1	0	0	7	1	0	6	6	0	0	1	0	1	1	0	0	0	3	1	0	0	3	0	2	4	4	1	5	1	6
Eukaryota;NA;Florideophyceae;Ceramiales;Rhodomelaceae;Neorhodomela;Neorhodomela oregona	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	7	0	2	2	3	0	0	0	0	0	0	0
Eukaryota;NA;Florideophyceae;Plocamiales;Plocamiaceae;Plocamium	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	1	0	2	1	1	0	0	0	0	0	2	0	0	0	0	1	0	0	1
Eukaryota;NA;Florideophyceae;Palmariales;Palmariaceae;Halosaccion;Halosaccion glandiforme	0	0	0	0	27	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Phaeophyceae;NA;Ectocarpales;Chordariaceae	0	0	0	2	0	2	0	0	0	2	0	0	0	2	2	0	2	0	0	8	0	1	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	2	4	1	0	1	0	0	0	0
Eukaryota;Chordata;Mammalia;NA;Suidae;Sus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Nemertea;Anopla;Heteronemertea;Lineidae;Micrura;Micrura verrilli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Eukaryota;Mollusca;Bivalvia;Veneroida;Veneridae;Saxidomus;Saxidomus gigantea	0	0	0	2	0	0	0	0	0	0	0	0	0	19	1	1	1	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0
Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Eirenidae;Eutonina;Eutonina indicans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Eukaryota;Arthropoda;Maxillopoda;Calanoida;Acartiidae;Acartia	0	0	0	1	0	3	0	0	0	2	0	0	0	4	1	0	0	2	2	11	0	0	1	3	0	0	0	1	0	3	0	5	6	0	0	0	1	0	0	0	0	2	0	5	0	0	1	1	2	2	0	0	5	0	10
Eukaryota;Chordata;Actinopteri;Perciformes;Stichaeidae;Anoplarchus	0	0	0	1	0	1	0	0	0	0	1	0	0	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
Eukaryota;Echinodermata;Holothuroidea;Aspidochirotida;Stichopodidae;Parastichopus;Parastichopus californicus	0	0	3	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	2	0	0	0	0	1	0	0	0
Eukaryota;NA;Oomycetes;Pythiales;Pythiaceae;Pythium	2	0	1	0	3	0	0	0	1	7	0	0	0	14	2	2	2	0	0	0	0	3	7	0	2	0	0	1	1	4	0	2	4	0	0	3	1	0	0	1	0	1	0	1	0	0	1	0	0	0	1	0	1	1	1
