CO1_Metazoa_seq_number	CO1_Metazoa_Yell-July18-Site1J-S99	CO1_Metazoa_Yell-July18-Site5o-S116	CO1_Metazoa_Yell-July18-Site1q-S106	CO1_Metazoa_Yell-July18-Site1r-S111	CO1_Metazoa_Yell-July18-Site5cc-S134	CO1_Metazoa_Yell-July18-Site5s-S124	CO1_Metazoa_Yell-July18-Site5t-S125	CO1_Metazoa_Yell-July18-Site1bb-S139	CO1_Metazoa_Yell-July18-Site1z-S129	CO1_Metazoa_Yell-July18-Site1k-S100	CO1_Metazoa_Yell-July18-Site1v-S117	CO1_Metazoa_Yell-July18-Site5e-S95	CO1_Metazoa_Yell-July18-Site1n-S103	CO1_Metazoa_Yell-July18-Site1dd-S141	CO1_Metazoa_Yell-July18-Site1m-S102	CO1_Metazoa_Yell-July18-Site5r-S123	CO1_Metazoa_Yell-July18-Site5c-S89	CO1_Metazoa_Yell-July18-Site1f-S92	CO1_Metazoa_Yell-July18-Site1U-S114	CO1_Metazoa_Yell-July18-Site5g-S97	CO1_Metazoa_Yell-July18-Site5h-S98	CO1_Metazoa_Yell-July18-Site1e-S91	CO1_Metazoa_Yell-July18-Site5n-S115	CO1_Metazoa_Yell-July18-Site1d-S86	CO1_Metazoa_Yell-July18-Site5L-S109	CO1_Metazoa_Yell-July18-Site1y-S120	CO1_Metazoa_Yell-July18-Site1c-S85	CO1_Metazoa_Yell-July18-Site5aa-S132	CO1_Metazoa_Yell-July18-Site5ff-S137	CO1_Metazoa_Yell-July18-Site1o-S104	CO1_Metazoa_Yell-July18-Site5p-S121	CO1_Metazoa_Yell-July18-Site1cc-S140	CO1_Metazoa_Yell-July18-Site5a-S87	CO1_Metazoa_Yell-July18-Site1ee-S142	CO1_Metazoa_Yell-July18-Site5ee-S136	CO1_Metazoa_Yell-July18-Site1g-S93	CO1_Metazoa_Yell-July18-Site1b-S84	CO1_Metazoa_Yell-July18-Site5b-S88	CO1_Metazoa_Yell-July18-Site5f-S96	CO1_Metazoa_Yell-July18-Site5u-S126	CO1_Metazoa_Yell-July18-Site5z-S131	CO1_Metazoa_Yell-July18-Site5bb-S133	CO1_Metazoa_Yell-July18-Site1L-S101	CO1_Metazoa_Yell-July18-Site1h-S94	CO1_Metazoa_Yell-July18-Site5m-S110	CO1_Metazoa_Yell-July18-Site5k-S108	CO1_Metazoa_Yell-July18-Site5q-S122	CO1_Metazoa_Yell-July18-Site1p-S105	CO1_Metazoa_Yell-July18-Site5v-S127	CO1_Metazoa_Yell-July18-Site5J-S107	CO1_Metazoa_Yell-July18-Site1s-S112	CO1_Metazoa_Yell-July18-Site1a-S83	CO1_Metazoa_Yell-July18-Site5w-S128	CO1_Metazoa_Yell-July18-Site1w-S118	CO1_Metazoa_Yell-July18-Site1t-S113
Eukaryota;NA;NA;Phaeocystales;Phaeocystaceae;Phaeocystis;Phaeocystis globosa	12	1	6	34	46	13	8	0	2	28	19	4	36	26	44	2	7	0	7	17	0	5	6	33	16	11	34	3	19	40	3	23	4	84	4	5	63	20	0	12	96	14	9	3	21	18	47	126	0	0	33	22	0	5	20
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Polaribacter;Polaribacter sp. Hel1_33_78	1	0	1	1	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	5	0	0	4	1	0	0	3	1	5	1	3	3	1	2	0	0	0	1	0	0	33	6	0	0	5	1	16	7	0	0	1	1	0	0	2
Eukaryota	15	278	5	115	99	42	328	25	96	108	103	33	124	370	144	150	65	4	35	391	0	12	96	185	134	243	87	529	488	264	78	319	14	278	195	96	111	20	6	65	452	1086	40	17	115	42	114	420	130	0	321	48	0	164	126
Eukaryota;Cnidaria;Staurozoa;Stauromedusae;Haliclystidae;Haliclystus;Haliclystus tenuis	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Arthropoda;Maxillopoda;Calanoida;Paracalanidae;Paracalanus;Paracalanus sp. C AC-2013	4	2	3	58	10	0	155	0	4	67	18	7	11	18	3	16	2	0	3	18	0	3	5	37	360	2	0	4	24	2	4	10	0	8	26	1	14	18	0	1	45	0	2	0	25	0	11	4	0	0	28	0	0	5	19
Eukaryota;NA;Dinophyceae;Gymnodiniales;Kareniaceae;Karlodinium;Karlodinium sp. RS-24	1	0	1	7	7	3	0	3	0	5	5	0	13	10	3	1	0	0	3	2	0	1	0	12	1	2	3	3	6	14	2	9	1	17	1	0	7	3	0	4	12	4	2	0	2	1	12	1	0	0	7	2	0	1	6
Eukaryota;NA;Synurophyceae;Parmales;Triparmaceae;Triparma;Triparma laevis	2	0	0	2	0	2	1	0	3	2	14	0	8	9	7	0	1	0	0	1	0	2	1	8	1	5	6	0	1	4	1	16	1	11	0	1	19	0	0	2	4	0	4	2	4	0	0	0	0	0	16	3	0	5	1
Eukaryota;Arthropoda;Maxillopoda;Sessilia	1	7	35	3	21	34	60	2	58	10	2	6	626	116	5	1	26	9	27	28	0	20	4	19	112	15	441	8	263	752	138	37	8	18	11	13	178	22	8	96	75	13	3	31	47	16	156	4801	3	0	12	13	0	10	179
Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Pinnulariaceae;Pinnularia	1	0	0	1	103	32	5	0	1	1	8	1	1	7	4	2	2	0	2	5	0	0	3	13	5	1	7	6	12	1	16	10	0	10	5	1	12	2	0	1	14	19	1	0	3	1	38	80	2	0	16	12	0	0	27
Eukaryota;NA;Florideophyceae;Gigartinales;Gigartinaceae;Chondracanthus;Chondracanthus exasperatus	1	43	1	39	63	7	26	0	11	7	11	25	50	26	14	90	7	0	12	33	0	16	78	21	28	29	20	126	59	28	25	10	2	19	18	29	49	23	5	1	262	140	2	10	19	8	67	0	5	0	25	24	0	12	54
