CO1_Metazoa_seq_number	CO1_Metazoa_Yell-July18-Site1J-S99	CO1_Metazoa_Yell-July18-Site5o-S116	CO1_Metazoa_Yell-July18-Site1q-S106	CO1_Metazoa_Yell-July18-Site1r-S111	CO1_Metazoa_Yell-July18-Site5cc-S134	CO1_Metazoa_Yell-July18-Site5s-S124	CO1_Metazoa_Yell-July18-Site5t-S125	CO1_Metazoa_Yell-July18-Site1bb-S139	CO1_Metazoa_Yell-July18-Site1z-S129	CO1_Metazoa_Yell-July18-Site1k-S100	CO1_Metazoa_Yell-July18-Site1v-S117	CO1_Metazoa_Yell-July18-Site5e-S95	CO1_Metazoa_Yell-July18-Site1n-S103	CO1_Metazoa_Yell-July18-Site1dd-S141	CO1_Metazoa_Yell-July18-Site1m-S102	CO1_Metazoa_Yell-July18-Site5r-S123	CO1_Metazoa_Yell-July18-Site5c-S89	CO1_Metazoa_Yell-July18-Site1f-S92	CO1_Metazoa_Yell-July18-Site1U-S114	CO1_Metazoa_Yell-July18-Site5g-S97	CO1_Metazoa_Yell-July18-Site5h-S98	CO1_Metazoa_Yell-July18-Site1e-S91	CO1_Metazoa_Yell-July18-Site5n-S115	CO1_Metazoa_Yell-July18-Site1d-S86	CO1_Metazoa_Yell-July18-Site5L-S109	CO1_Metazoa_Yell-July18-Site1y-S120	CO1_Metazoa_Yell-July18-Site1c-S85	CO1_Metazoa_Yell-July18-Site5aa-S132	CO1_Metazoa_Yell-July18-Site5ff-S137	CO1_Metazoa_Yell-July18-Site1o-S104	CO1_Metazoa_Yell-July18-Site5p-S121	CO1_Metazoa_Yell-July18-Site1cc-S140	CO1_Metazoa_Yell-July18-Site5a-S87	CO1_Metazoa_Yell-July18-Site1ee-S142	CO1_Metazoa_Yell-July18-Site5ee-S136	CO1_Metazoa_Yell-July18-Site1g-S93	CO1_Metazoa_Yell-July18-Site1b-S84	CO1_Metazoa_Yell-July18-Site5b-S88	CO1_Metazoa_Yell-July18-Site5f-S96	CO1_Metazoa_Yell-July18-Site5u-S126	CO1_Metazoa_Yell-July18-Site5z-S131	CO1_Metazoa_Yell-July18-Site5bb-S133	CO1_Metazoa_Yell-July18-Site1L-S101	CO1_Metazoa_Yell-July18-Site1h-S94	CO1_Metazoa_Yell-July18-Site5m-S110	CO1_Metazoa_Yell-July18-Site5k-S108	CO1_Metazoa_Yell-July18-Site5q-S122	CO1_Metazoa_Yell-July18-Site1p-S105	CO1_Metazoa_Yell-July18-Site5v-S127	CO1_Metazoa_Yell-July18-Site5J-S107	CO1_Metazoa_Yell-July18-Site1s-S112	CO1_Metazoa_Yell-July18-Site1a-S83	CO1_Metazoa_Yell-July18-Site5w-S128	CO1_Metazoa_Yell-July18-Site1w-S118	CO1_Metazoa_Yell-July18-Site1t-S113
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Dokdonia;Dokdonia sp. 4H-3-7-5	2	2	12	1	1	0	6	0	5	0	2	2	28	21	16	20	3	0	45	10	0	4	12	31	5	7	37	24	10	90	3	8	0	25	3	42	32	1	0	2	165	24	1	5	2	3	50	108	1	0	26	11	0	6	26
Eukaryota;NA;Bangiophyceae;Bangiales;Bangiaceae;Pyropia;Pyropia haitanensis	1	0	0	0	4	1	3	0	0	0	0	0	2	2	9	1	1	0	1	3	0	0	0	0	1	0	1	0	5	1	0	2	0	0	1	0	1	0	0	0	15	0	1	0	4	2	7	3	0	0	1	1	0	0	2
Eukaryota;Bacillariophyta;Fragilariophyceae;Striatellales;Grammatophoraceae;Grammatophora;Grammatophora sp. B LG-2014	1	2	2	0	5	5	3	0	0	2	5	1	3	7	3	17	0	0	7	17	0	2	2	3	0	6	1	3	2	4	10	1	0	1	1	4	4	1	0	2	10	5	0	0	0	0	61	0	0	0	2	0	0	0	11
Eukaryota;NA;NA;NA;Paramoebidae	1	13	5	13	97	83	232	1	6	19	16	3	89	45	61	35	17	0	30	145	0	23	33	53	175	24	51	41	178	110	116	21	0	26	36	41	118	11	1	10	192	45	14	3	57	24	375	233	2	0	34	12	0	5	91
Eukaryota;NA;Florideophyceae;Gigartinales;Solieriaceae;Sarcodiotheca;Sarcodiotheca sp. 2gaudichaudii	1	3	0	2	6	0	1	0	0	1	0	4	0	4	6	7	0	0	0	5	0	0	2	4	9	1	4	4	2	2	0	2	1	0	5	1	4	0	0	0	47	10	0	0	6	2	16	0	0	0	0	0	0	5	3
Eukaryota;Arthropoda;Maxillopoda;Calanoida;Acartiidae;Acartia;Acartia californiensis	0	701	2	1991	14697	2988	11672	112	465	488	989	417	3933	740	1405	305	1312	6	192	1456	3	145	1399	17	2562	353	533	273	12942	49	2753	1754	635	1522	5891	378	25	8055	162	29	4325	8248	314	113	3706	753	1910	646	548	0	681	0	0	1251	2540
Eukaryota;Mollusca;Polyplacophora;Neoloricata;Mopaliidae;Mopalia;Mopalia muscosa	0	3	0	1	0	0	0	0	1	0	2	0	1	7	0	126	0	0	0	0	0	0	47	0	328	0	0	0	1	0	21	4	0	17	2	0	3	0	0	4	2	0	54	0	0	0	0	0	1	0	2	1	0	0	0
Eukaryota;NA;Florideophyceae;Ceramiales;Ceramiaceae;Ceramium;Ceramium sp. 3Cal	0	0	0	12	0	0	1	1	2	2	3	0	51	15	3	0	0	0	0	0	0	1	0	17	0	10	5	0	0	16	0	16	0	17	0	5	6	0	0	0	4	0	2	1	0	0	0	225	0	0	8	11	0	7	10
Eukaryota;Echinodermata;Echinoidea;Echinoida;Strongylocentrotidae;Strongylocentrotus;Strongylocentrotus droebachiensis	0	0	0	0	0	0	0	0	1	0	3	0	5	2	0	0	0	1	1	0	0	0	0	0	0	6	0	0	1	6	0	2	0	2	0	1	0	0	0	0	4	0	2	11	0	0	0	0	0	0	6	5	0	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema;Skeletonema japonicum	0	0	1	0	13	0	0	1	0	1	0	0	3	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	3	0	3	0	2	0	0	1	3	0	0	1	1	1	1	0	2	3	5	0	0	1	0	0	1	4
Eukaryota;Arthropoda;Maxillopoda;Calanoida;Centropagidae;Centropages;Centropages abdominalis	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	286	0	52	47	0	0	0	0	0	115	0	0	0	1	0	0	0	0	64	42	1	0	0	0	0	0	179	0	0	0	0	562	0	0	0	0	0	0	154
Eukaryota;Mollusca;Gastropoda;NA;Lacunidae;Lacuna;Lacuna vincta	0	0	0	0	0	1	3	1	8	1	0	0	158	4	10	2	1	0	0	0	0	2	47	4	0	3	0	99	1	222	0	2	0	2	0	161	2	0	0	104	0	0	57	18	0	0	16	13	2	0	4	0	0	5	107
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros socialis	0	4	0	28	196	15	12	0	1	2	6	4	16	8	21	2	19	0	0	45	0	2	9	6	184	2	1	18	53	5	6	3	14	3	31	1	6	42	2	9	132	48	7	0	96	29	47	0	0	0	4	5	0	0	1
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Formosa;Formosa sp. Hel3_A1_48	0	0	3	0	0	0	0	0	1	2	0	0	2	8	3	3	0	0	12	1	0	0	0	4	1	0	4	0	2	5	0	4	0	21	0	1	1	1	0	0	21	2	1	0	1	1	5	6	0	0	8	2	0	8	0
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae	0	9	0	1	0	0	10	2	1	0	1	1	6	6	3	24	2	0	6	15	0	1	1	4	5	0	2	20	21	4	0	3	1	11	1	7	0	1	0	2	104	23	1	0	8	0	14	5	3	0	8	3	0	4	2
Eukaryota;Mollusca;Gastropoda;NA;Margaritidae;Margarites;Margarites pupillus	0	0	8	17	0	2	0	3	8	9	18	0	23	616	456	0	0	0	73	0	0	0	0	16	95	803	17	0	3	20	0	4725	0	40	0	10	25	6	0	6	2	1	3	5	0	0	0	4	0	0	28	2	0	23	51
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae	1	0	2	1	10	0	11	3	1	1	2	0	6	6	2	11	6	0	22	10	0	1	13	7	15	8	9	7	9	19	3	3	0	6	2	9	7	1	0	0	134	12	2	3	9	3	87	22	0	0	4	0	0	3	7
Eukaryota;Annelida;Polychaeta;Phyllodocida;Hesionidae;Oxydromus;Oxydromus pugettensis	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	3	0	0	0	0	2	0	0	1	1	0	0	2	0	0	0	0	0	0	0	1	0	0	4	0	0	1	103	0	0	0	0	0	0	0	3
Eukaryota;Annelida;Polychaeta;Eunicida;Dorvilleidae;Protodorvillea;Protodorvillea gracilis	0	0	0	0	0	0	0	0	4	0	0	0	3	5	0	0	0	6	0	0	0	16	0	0	0	7	0	7	5	10	0	0	0	0	0	38	0	0	0	0	9	2	2	64	0	0	0	0	0	0	6	3	0	0	0
Eukaryota;Annelida;Polychaeta;NA;Orbiniidae;Leitoscoloplos;Leitoscoloplos pugettensis CMC01	0	34	0	2	26	3	14	1	8	9	8	50	28	5	17	31	12	0	2	62	0	0	24	89	32	4	57	122	8774	41	4	11	8	8	8	2	2548	19	18	6	548	213	3	1	10	9	190	15	4	0	15	83	0	4	6
Eukaryota;Annelida;Polychaeta;Phyllodocida;Nereididae;Platynereis;Platynereis bicanaliculata	0	4	1	4	0	0	6	0	13	19	1	2	51	1	23	4	0	0	9	3	0	2	0	16	0	8	2	7	17	78	0	6	0	3	1	19	5	0	0	0	44	24	3	2	2	1	39	141	3	0	7	1	0	7	9
Eukaryota;NA;Dinophyceae;Peridiniales;Ostreopsidaceae	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
Eukaryota;Bacillariophyta	2	15	0	8	32	16	21	1	9	18	14	0	16	40	16	6	3	0	5	35	0	3	5	20	38	34	15	25	59	25	6	28	1	38	19	11	10	7	1	1	80	41	5	1	22	7	19	68	3	0	20	2	0	21	19
Eukaryota;NA;Florideophyceae;Ceramiales;Delesseriaceae;Polyneura;Polyneura latissima	1	3	0	19	8	20	22	1	1	15	15	6	45	24	11	6	1	2	12	10	0	6	22	19	18	13	28	15	42	67	67	17	0	24	8	7	19	3	1	6	5	17	4	1	7	1	154	26	0	0	13	3	0	11	95
Eukaryota;NA;Florideophyceae;Acrochaetiales;Acrochaetiaceae;Acrochaetium;Acrochaetium humile	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	3	1	1	0	0	1	0	0	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Nitzschia;Nitzschia longissima	0	0	0	5	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	10	0	0	1	3	0	0	0	1	0	0	0	6	0	4	0	1	0	0	0	0	0	1	4	0	0	0	5	0	0	0	10	0	0	0	0
Eukaryota;NA;Florideophyceae;Ceramiales;Rhodomelaceae;Pterosiphonia;Pterosiphonia bipinnata	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	3	4	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1
Eukaryota;Mollusca;Bivalvia;Mytiloida;Mytilidae;Mytilus	0	0	0	0	0	0	0	0	1	0	17	0	10	2	0	0	0	1	2	0	0	0	0	2	1	4	0	0	0	5	0	2	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0	8	0	0	0	5	0	0	2
Eukaryota;Annelida;Polychaeta;Eunicida;Onuphidae;Diopatra;Diopatra cf. ornata JZ-2010	0	0	0	24	0	0	1	1	4	9	5	0	7	23	0	0	0	0	0	0	0	0	0	6	0	1	2	0	1	1	0	6	0	9	0	0	6	0	0	2	0	0	1	0	0	0	9	0	0	0	15	0	0	4	0
Eukaryota;Arthropoda;Maxillopoda;Sessilia;Balanidae;Balanus	0	0	0	3	0	0	0	2	3	0	0	0	2	0	0	0	0	0	1	0	0	0	0	11	0	1	6	0	0	4	0	0	0	7	0	0	2	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2
Eukaryota;NA;Dinophyceae;Peridiniales;Pfiesteriaceae	0	1	3	5	0	1	2	0	1	1	4	0	13	0	4	0	0	1	2	0	0	0	1	9	1	0	1	0	1	6	0	6	0	10	0	0	1	0	0	3	2	0	2	0	2	1	2	1	0	0	1	1	0	1	1
Eukaryota;NA;Florideophyceae;Ceramiales;Ceramiaceae	0	0	0	3	0	0	0	0	1	2	1	0	22	6	3	0	0	0	0	0	0	0	0	8	0	7	4	0	0	8	0	4	0	7	0	3	7	0	0	0	1	0	1	0	0	0	0	116	0	0	1	3	0	4	6
Eukaryota;NA;Oomycetes	0	4	2	3	7	7	21	0	1	0	2	1	4	7	2	11	5	0	3	7	0	2	3	6	6	6	2	10	21	5	7	6	1	2	5	6	5	1	1	1	38	15	1	0	4	1	20	13	1	0	4	2	0	4	3
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Nitzschia;Nitzschia inconspicua	0	9	4	0	4	0	29	1	2	0	1	1	0	5	8	45	6	0	9	18	0	0	1	5	10	7	3	40	28	8	1	3	0	4	10	8	1	0	0	0	142	33	1	0	5	4	8	4	1	0	3	1	0	3	1
Eukaryota;Arthropoda;Maxillopoda;Sessilia;Balanidae	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;NA;alpha proteobacterium HIMB59	0	0	0	1	0	0	3	0	0	0	0	0	1	5	2	0	0	0	0	1	0	0	0	1	0	1	0	0	1	3	0	3	0	5	0	1	4	0	0	1	10	0	1	0	0	0	0	0	0	0	6	0	0	1	3
Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales	0	5	2	4	57	102	10	0	1	8	30	0	22	23	11	7	1	0	6	13	0	0	7	19	4	9	10	7	10	7	9	20	0	10	3	4	21	2	0	4	20	10	1	2	5	2	38	120	1	0	11	10	0	5	29
Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Bougainvilliidae;Bougainvillia;Bougainvillia muscus	0	0	0	5	29	0	0	0	0	0	0	0	17	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	5	4	0	0	0	1	0	3	0	0	0	0	2	1	0	0	2	0	0	0	0	0	0	0	0	1
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros	0	0	1	0	2	0	0	0	0	0	0	0	0	4	4	1	0	0	0	1	0	0	0	1	0	2	1	4	3	0	0	0	1	0	0	0	1	0	0	0	10	3	1	0	1	0	3	0	0	0	2	0	0	0	1
Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Campanulariidae;Obelia	0	1	0	0	42	14	5	0	0	1	2	0	20	2	4	0	0	0	3	3	0	0	1	6	19	3	4	7	4	12	0	4	0	0	1	2	25	1	0	1	10	0	1	0	4	5	23	0	0	0	3	3	0	3	10
Eukaryota;NA;Dictyochophyceae;Florenciellales;NA;Pseudochattonella;Pseudochattonella farcimen	0	0	1	8	0	0	2	0	1	10	16	0	7	16	12	0	1	0	0	1	0	0	1	14	1	0	2	2	3	5	0	10	0	11	1	5	11	0	0	5	6	9	1	0	2	2	6	140	0	0	12	3	0	8	5
Eukaryota;Arthropoda;Maxillopoda;Calanoida;Clausocalanidae;Pseudocalanus;Pseudocalanus newmani	20	107	5	624	14747	4054	6561	49	43	377	28	88	314	799	91	130	983	40	3	378	2	0	443	7	4131	3	4	605	2470	233	1892	57	2106	561	1608	64	2	4463	95	431	3426	484	50	74	1164	2772	1903	41	5	0	1005	395	0	1	2542
Eukaryota;Phaeophyceae;NA;Fucales;Fucaceae;Fucus	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Annelida;Polychaeta;Spionida;Spionidae;Scolelepis;Scolelepis squamata	0	1	0	1	1	0	0	0	1	5	8	6	23	4	0	3	1	0	2	1	0	1	1	6	0	4	2	1	0	22	0	2	0	0	0	8	10	0	0	0	1	2	1	1	1	0	0	49	2	0	10	7	0	1	18
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Nitzschia	0	4	0	2	16	0	6	0	0	0	0	0	8	2	8	5	0	0	0	7	0	0	0	1	4	0	5	12	4	0	0	1	0	1	0	3	1	0	0	0	18	20	1	0	4	1	9	1	0	0	1	0	0	0	0
Eukaryota;NA;Dinophyceae;Peridiniales;Pfiesteriaceae;NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Florideophyceae;Ceramiales;Rhodomelaceae;Polysiphonia;Polysiphonia hendryi	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	3	0	0	10	3	0	2	0	1	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Eukaryota;Bacillariophyta;Fragilariophyceae;Fragilariales;Fragilariaceae;Grammonema;Grammonema striatula	0	8	3	2	0	2	18	0	5	1	2	0	0	12	2	27	2	0	16	17	0	0	1	7	4	11	6	13	16	1	1	7	1	2	1	7	0	0	0	0	13	14	0	1	4	0	25	1	0	0	8	1	0	12	0
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Eukaryota;Bryozoa;Gymnolaemata;Ctenostomatida;Vesiculariidae	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Eukaryota;Phaeophyceae;NA;Fucales;Fucaceae;Fucus;Fucus distichus	0	2	0	0	0	0	9	0	1	7	1	0	3	6	1	1	0	1	3	0	0	3	1	6	2	8	0	2	6	8	4	9	0	0	1	5	5	0	0	1	4	7	0	1	2	0	3	37	2	0	0	3	0	2	3
Eukaryota;Phaeophyceae;NA;Fucales	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	2	1	0	7	0	0	0	0	0	0	2	1	1	3	0	0	0	0	0	0	2	0	0	0	0	2	3	0	0	0	0	1	1	0	0	0	0	0	0	1
Eukaryota;Cnidaria;Hydrozoa	13	1	1	5	32	6	8	0	1	13	4	3	79	6	5	2	4	0	1	112	0	5	1	13	13	8	8	120	14	48	8	6	0	5	4	11	13	1	0	4	58	7	0	0	4	4	18	68	1	0	18	4	0	1	15
Eukaryota;Phaeophyceae;NA;Ectocarpales;Chordariaceae;Leathesia;Leathesia marina	0	0	1	0	7	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	2	1	0	0	8	2	0	0	0	0	3	6	0	0	0	2	0	0	2
Eukaryota;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gymnodinium;Gymnodinium sp. NVA/RUS/2008	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	3	0	2	0	0	1	0	0	0	0	0	0	3	2	0	0	2	0	7	0	0	0	0	0	0	2	3
Eukaryota;Mollusca;Gastropoda;NA;Lottiidae;Lottia;Lottia paradigitalis	0	0	1	0	27	6	2	0	6	1	3	3	15	5	0	2	0	1	1	18	0	0	0	2	10	0	5	3	21	20	0	1	0	4	4	1	4	0	0	3	18	5	0	0	8	2	0	0	0	0	1	0	0	2	6
Eukaryota;Cnidaria;Staurozoa;Stauromedusae;Haliclystidae;Haliclystus;Haliclystus sanjuanensis	0	0	1	0	0	0	0	0	1	4	0	0	8	0	0	0	0	0	1	2	0	0	0	3	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	3
Eukaryota;Phaeophyceae;NA;Ectocarpales;Chordariaceae;Soranthera;Soranthera ulvoidea	0	2	0	0	0	1	2	0	0	2	0	0	0	2	1	2	0	0	2	1	0	0	0	0	0	1	0	1	3	1	0	1	0	0	0	4	2	0	0	0	9	4	0	2	0	1	3	0	0	0	1	0	0	0	0
Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Corynidae;Sarsia;Sarsia sp. SL-2013	0	0	1	0	0	0	1	0	0	1	0	0	39	1	0	1	0	0	3	0	0	0	0	1	0	2	0	1	0	20	0	0	0	1	0	1	3	0	0	2	2	0	0	0	0	0	1	91	0	0	1	2	0	1	9
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Cellulophaga;Cellulophaga baltica	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
Eukaryota;Mollusca;Gastropoda;Stylommatophora;Camaenidae;Satsuma;Satsuma eucosmia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales	1	13	0	23	23	3	13	2	16	13	12	4	13	64	12	8	3	0	2	8	0	2	4	25	14	16	15	29	28	34	7	32	4	54	14	14	13	1	1	7	31	28	2	2	18	12	16	8	1	0	66	6	0	17	7
Eukaryota;Arthropoda;Malacostraca;Amphipoda;Aoridae;Aoroides;Aoroides columbiae	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	1	0	1	4	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	1	12	0	2	0	0	0	0	0	1
Eukaryota;NA;Florideophyceae;Ceramiales;Ceramiaceae;Corallophila;Corallophila eatoniana	0	0	0	0	0	0	1	0	1	0	0	0	0	1	3	0	0	0	2	0	0	0	0	4	0	0	1	2	0	2	0	1	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	206	0	0	2	0	0	0	12
Eukaryota;NA;Florideophyceae;Gigartinales;Endocladiaceae;Endocladia	0	0	0	0	0	8	0	0	0	0	1	0	6	1	2	0	0	1	3	4	0	0	0	1	0	1	0	0	0	2	0	1	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	2	0
Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Tiaropsidae;Tiaropsis;Tiaropsis multicirrata	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter	0	3	1	4	1	4	1	1	2	2	0	2	2	9	2	3	3	0	4	3	0	0	3	5	4	4	7	3	7	10	1	9	1	13	1	1	13	1	0	2	42	2	0	1	3	1	18	11	1	0	8	2	0	4	4
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Melosirales;Hyalodiscaceae;Podosira;Podosira stelligera	0	11	1	1	5	9	21	0	2	1	3	0	6	11	0	10	5	0	4	37	0	3	4	4	9	5	4	27	46	5	13	9	2	0	6	5	3	5	0	1	40	30	0	0	5	5	33	0	3	0	4	0	0	5	5
Eukaryota;Phaeophyceae;NA;Ectocarpales;Ectocarpaceae	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	5	1	0	2	0	0	0	0	0	2	0	0	2	1	3	0	0	0	0	0	0	0	0	0	0	5	2	0	0	1	0	3	10	0	0	2	0	0	0	0
Eukaryota;Phaeophyceae;NA;Ectocarpales;Chordariaceae	0	1	0	2	11	2	3	1	1	2	1	0	3	8	1	2	6	0	1	2	0	0	1	1	2	1	0	4	10	6	3	3	0	6	1	0	5	0	0	3	13	5	0	0	1	1	6	12	1	0	5	2	0	1	5
Eukaryota;Arthropoda;Insecta;Lepidoptera	0	0	0	0	1	0	2	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	2	0	1	0	0	0	1	0	1	0	0	0	3	1	1	0	0	0	2	3	0	0	0	0	0	0	1
Eukaryota;Chlorophyta;NA;NA;Pycnococcaceae	0	21	1	10	0	1	20	2	27	0	8	0	2	102	0	23	9	0	4	2	0	0	0	10	6	37	4	100	57	31	0	34	0	95	28	16	2	0	0	0	237	123	0	0	7	8	0	0	5	0	113	0	0	47	0
Eukaryota;Phaeophyceae;NA;Ectocarpales;Scytosiphonaceae;Petalonia;Petalonia fascia	0	0	0	0	1	0	1	0	1	0	0	1	0	4	1	1	0	0	1	0	0	1	0	1	0	2	0	2	4	2	0	1	0	1	1	4	1	2	0	0	4	1	0	1	0	1	0	0	0	0	4	1	0	1	1
Eukaryota;NA;Florideophyceae;Ceramiales;Rhodomelaceae	0	3	2	3	0	0	1	0	14	4	0	8	59	3	14	8	0	0	3	16	0	0	0	15	0	1	8	4	2	87	0	14	1	4	1	3	13	0	1	0	45	19	0	1	0	1	30	188	29	0	4	12	0	1	6
Eukaryota;Nemertea	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	3	0	0	2	0	2	1	0	0	0	0	0	0	0	0	0	8	2	0	0	0	1	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Florideophyceae;Ceramiales;Rhodomelaceae;Neorhodomela;Neorhodomela larix	0	0	3	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	1	0	0	0	0	2	0	2	2	0	0	26	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	5
Eukaryota;NA	1	4	1	3	26	15	43	0	4	4	6	8	9	11	8	14	6	0	7	36	0	0	9	18	18	11	12	15	56	19	22	6	0	6	6	15	20	4	1	8	76	24	0	0	11	5	63	42	0	0	10	6	0	2	34
Eukaryota;Bacillariophyta;Mediophyceae;Lithodesmiales;Lithodesmiaceae;Ditylum;Ditylum brightwellii	0	0	0	5	0	0	12	0	0	6	0	0	2	6	1	0	0	0	1	2	0	0	0	3	7	0	0	0	4	1	0	3	0	7	2	0	1	0	0	10	2	0	0	0	7	0	1	0	0	0	6	0	0	0	1
Eukaryota;Nemertea;Anopla;Heteronemertea;Lineidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0
