CO1_Metazoa_seq_number	CO1_Metazoa_Yell-July18-Site1U-S114	CO1_Metazoa_Yell-July18-Site1g-S93	CO1_Metazoa_Yell-July18-Site5n-S115	CO1_Metazoa_Yell-July18-Site1h-S94	CO1_Metazoa_Yell-July18-Site1a-S83	CO1_Metazoa_Yell-July18-Site5cc-S134	CO1_Metazoa_Yell-July18-Site1d-S86	CO1_Metazoa_Yell-July18-Site1q-S106	CO1_Metazoa_Yell-July18-Site1t-S113	CO1_Metazoa_Yell-July18-Site5L-S109	CO1_Metazoa_Yell-July18-Site1p-S105	CO1_Metazoa_Yell-July18-Site5o-S116	CO1_Metazoa_Yell-July18-Site1w-S118	CO1_Metazoa_Yell-July18-Site5r-S123	CO1_Metazoa_Yell-July18-Site5h-S98	CO1_Metazoa_Yell-July18-Site5a-S87	CO1_Metazoa_Yell-July18-Site1dd-S141	CO1_Metazoa_Yell-July18-Site1c-S85	CO1_Metazoa_Yell-July18-Site5k-S108	CO1_Metazoa_Yell-July18-Site1s-S112	CO1_Metazoa_Yell-July18-Site5z-S131	CO1_Metazoa_Yell-July18-Site5aa-S132	CO1_Metazoa_Yell-July18-Site1o-S104	CO1_Metazoa_Yell-July18-Site5c-S89	CO1_Metazoa_Yell-July18-Site5bb-S133	CO1_Metazoa_Yell-July18-Site5b-S88	CO1_Metazoa_Yell-July18-Site1cc-S140	CO1_Metazoa_Yell-July18-Site1e-S91	CO1_Metazoa_Yell-July18-Site5q-S122	CO1_Metazoa_Yell-July18-Site1y-S120	CO1_Metazoa_Yell-July18-Site5m-S110	CO1_Metazoa_Yell-July18-Site1b-S84	CO1_Metazoa_Yell-July18-Site1v-S117	CO1_Metazoa_Yell-July18-Site1L-S101	CO1_Metazoa_Yell-July18-Site1J-S99	CO1_Metazoa_Yell-July18-Site5s-S124	CO1_Metazoa_Yell-July18-Site1ee-S142	CO1_Metazoa_Yell-July18-Site5g-S97	CO1_Metazoa_Yell-July18-Site5w-S128	CO1_Metazoa_Yell-July18-Site1k-S100	CO1_Metazoa_Yell-July18-Site1bb-S139	CO1_Metazoa_Yell-July18-Site5f-S96	CO1_Metazoa_Yell-July18-Site1m-S102	CO1_Metazoa_Yell-July18-Site1r-S111	CO1_Metazoa_Yell-July18-Site5ee-S136	CO1_Metazoa_Yell-July18-Site5t-S125	CO1_Metazoa_Yell-July18-Site5p-S121	CO1_Metazoa_Yell-July18-Site1f-S92	CO1_Metazoa_Yell-July18-Site5u-S126	CO1_Metazoa_Yell-July18-Site1z-S129	CO1_Metazoa_Yell-July18-Site5J-S107	CO1_Metazoa_Yell-July18-Site5e-S95	CO1_Metazoa_Yell-July18-Site1n-S103	CO1_Metazoa_Yell-July18-Site5v-S127	CO1_Metazoa_Yell-July18-Site5ff-S137
Eukaryota;Mollusca;Bivalvia;Mytiloida;Mytilidae;Mytilus	2	0	0	0	5	0	2	0	2	1	8	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	2	0	0	4	0	1	17	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	10	0	0
Eukaryota;Annelida;Polychaeta;Eunicida;Onuphidae;Diopatra;Diopatra cf. ornata JZ-2010	0	0	0	0	0	0	4	0	0	0	0	0	4	0	0	0	20	2	0	14	0	0	1	0	0	0	6	0	9	1	0	5	5	1	0	0	9	0	0	9	0	0	0	24	0	1	0	0	2	4	0	0	6	0	1
Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Campanulariidae;Clytia	0	0	0	1	1	0	1	0	1	2	4	0	0	0	0	1	3	2	0	1	4	0	13	0	1	5	0	0	0	2	0	4	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	11	0	1
Eukaryota;Arthropoda;Maxillopoda;Sessilia;Balanidae;Balanus	0	0	0	0	0	0	9	0	2	0	0	0	0	0	0	0	0	6	0	0	0	0	4	0	0	0	0	0	1	1	0	2	0	1	0	0	7	0	0	0	2	0	0	3	0	0	0	0	1	3	0	0	2	0	0
Eukaryota;Annelida;Polychaeta;Eunicida;Dorvilleidae;Protodorvillea;Protodorvillea gracilis	0	36	0	62	3	0	0	0	0	0	0	0	0	0	0	0	5	0	0	5	7	7	10	0	2	0	0	16	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4	0	0	3	0	4
Eukaryota;Arthropoda;Maxillopoda;Sessilia;Balanidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Eukaryota;NA;Dictyochophyceae;Florenciellales;NA;Pseudochattonella;Pseudochattonella farcimen	0	5	1	0	3	0	14	1	5	1	137	0	7	0	0	0	16	2	2	11	6	2	5	1	9	0	10	0	5	0	2	11	16	1	0	0	11	1	0	9	0	0	11	8	1	2	0	0	5	1	0	0	7	0	3
Eukaryota;Arthropoda;Maxillopoda;Calanoida;Clausocalanidae;Pseudocalanus;Pseudocalanus newmani	3	60	420	72	365	13899	7	5	2406	3858	41	102	1	114	2	1936	794	4	2607	958	3233	579	224	938	467	4168	57	0	1698	3	1083	2	28	47	17	3751	526	356	0	354	45	94	79	587	1524	6240	1811	36	409	42	0	60	300	5	2325
Eukaryota;Annelida;Polychaeta;Spionida;Spionidae;Scolelepis;Scolelepis squamata	1	7	1	1	6	1	4	0	18	0	7	0	1	3	0	0	4	2	0	8	1	1	15	1	1	0	2	0	0	4	1	8	8	1	0	0	0	1	0	5	0	0	0	1	0	0	0	0	0	1	0	3	20	2	0
Eukaryota;NA;Dinophyceae;Peridiniales;Pfiesteriaceae;NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Fragilariophyceae;Fragilariales;Fragilariaceae;Grammonema;Grammonema striatula	13	5	1	0	1	0	4	1	0	2	0	4	6	11	0	1	3	6	0	4	4	8	1	1	6	0	2	0	10	5	3	0	1	0	0	1	2	11	0	0	0	0	1	1	1	13	1	0	0	4	0	0	0	0	7
Eukaryota;Phaeophyceae;NA;Fucales;Fucaceae;Fucus;Fucus distichus	3	5	1	1	2	0	6	0	3	2	37	2	2	0	0	0	6	0	0	0	4	2	8	0	7	0	9	3	1	8	1	5	1	0	0	0	0	0	0	7	0	0	1	0	1	9	4	1	1	1	0	0	3	2	6
Eukaryota;Phaeophyceae;NA;Fucales	7	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	2	1	0	1	3	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	3
Eukaryota;Phaeophyceae;NA;Ectocarpales;Chordariaceae;Leathesia;Leathesia marina	1	1	0	0	2	7	0	1	2	1	6	0	0	1	0	0	0	0	0	0	7	0	1	2	2	1	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gymnodinium;Gymnodinium sp. NVA/RUS/2008	1	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	3	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1
Eukaryota;Mollusca;Gastropoda;NA;Lottiidae;Lottia;Lottia paradigitalis	1	1	0	0	0	27	2	1	5	9	0	0	2	2	0	0	5	4	2	1	17	3	20	0	4	0	1	0	0	0	8	4	3	0	0	6	4	18	0	1	0	0	0	0	3	2	0	1	3	4	0	3	15	0	21
Eukaryota;Cnidaria;Staurozoa;Stauromedusae;Haliclystidae;Haliclystus;Haliclystus sanjuanensis	1	0	0	0	7	0	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	1	0	0	7	0	0
Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Corynidae;Sarsia;Sarsia sp. SL-2013	2	1	0	0	2	0	0	1	4	0	57	0	0	0	0	0	0	0	0	0	1	1	11	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0
Eukaryota;NA;Florideophyceae;Ceramiales;Ceramiaceae;Corallophila;Corallophila eatoniana	2	0	0	0	0	0	3	0	11	0	196	0	0	0	0	0	1	1	0	2	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	1	0	0	1	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Melosirales;Hyalodiscaceae;Podosira;Podosira stelligera	2	4	3	0	0	4	4	1	3	8	0	9	5	6	0	2	10	4	5	4	33	18	3	4	24	5	8	2	23	5	4	2	1	0	0	7	0	33	0	1	0	0	0	1	6	19	12	0	0	2	0	0	6	2	40
Eukaryota;Phaeophyceae;NA;Ectocarpales;Ectocarpaceae	2	0	0	0	0	0	0	1	0	2	10	0	0	5	0	0	0	0	0	0	5	1	3	1	2	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Eukaryota;Chlorophyta;NA;NA;Pycnococcaceae	3	14	0	0	0	0	10	1	0	5	0	20	42	21	0	0	97	4	8	102	220	93	29	9	114	0	27	0	0	33	6	2	8	0	0	1	84	2	0	0	2	0	0	10	24	18	0	0	0	24	0	0	2	4	53
Eukaryota;Phaeophyceae;NA;Ectocarpales;Scytosiphonaceae;Petalonia;Petalonia fascia	1	4	0	1	1	1	1	0	1	0	0	0	1	1	0	0	3	0	1	4	4	2	2	0	1	2	1	1	0	2	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	1	0	1	0	0	4
Eukaryota;NA;Florideophyceae;Ceramiales;Rhodomelaceae	2	1	0	1	5	0	11	0	5	0	125	3	1	5	0	0	2	2	1	3	29	0	70	0	16	0	5	0	18	0	0	9	0	0	0	0	2	11	0	1	0	0	12	2	1	1	0	0	0	13	0	8	49	26	0
Eukaryota;NA;Florideophyceae;Ceramiales;Rhodomelaceae;Neorhodomela;Neorhodomela larix	1	0	0	0	0	0	2	3	5	0	23	0	0	0	0	0	0	1	0	0	0	0	24	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0
Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Bougainvilliidae;Bougainvillia;Bougainvillia muscus	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Eukaryota;NA;Florideophyceae;Halymeniales;Halymeniaceae;Prionitis;Prionitis sternbergii	4	1	0	2	0	0	16	0	3	2	5	0	8	3	0	0	28	7	1	15	3	3	15	0	2	0	21	2	4	7	1	14	11	0	0	0	12	5	0	2	0	0	5	1	0	0	0	0	12	2	0	0	9	0	0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Polaribacter;Polaribacter sp. KT 15	1	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
Eukaryota;Mollusca;Gastropoda;NA;Lottiidae;Lottia	1	0	0	0	1	0	0	0	1	0	89	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	1	0	0	6	0	0
Eukaryota;NA;Florideophyceae;Ceramiales	4	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Eukaryota;Porifera;Demospongiae;Suberitida;Halichondriidae;Halichondria;Halichondria panicea	1	1	0	0	0	0	0	1	2	0	15	0	1	4	0	0	0	0	0	2	5	1	15	0	1	0	0	1	27	1	1	0	0	0	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	17	1	0
Eukaryota;NA;Florideophyceae;Gigartinales;Gigartinaceae;Mazzaella;Mazzaella oregona	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	4	0	0	0	0	0	0	17	2	1	0	0	0	0	0	0	0	0	1
Eukaryota;Arthropoda;Maxillopoda;Sessilia;Chthamalidae;NA;Chthamalidae sp. 144752A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1
Eukaryota;Annelida;Polychaeta;Eunicida;Dorvilleidae;Schistomeringos;Schistomeringos longicornis	1	15	0	31	0	88	0	0	104	6	0	0	0	0	0	0	2	1	3	0	0	1	0	5	3	34	0	6	0	0	14	0	14	0	0	0	4	585	0	0	0	0	0	0	15	17	0	0	14	8	0	0	0	1	44
Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Bugulidae;Bugula;Bugula pacifica	1	1	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Eukaryota;Phaeophyceae;NA;Ectocarpales;Chordariaceae;Laminariocolax	1	0	0	0	1	3	0	1	0	2	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	1	0	0	0	1	0	1
Eukaryota;Chordata;Actinopteri;Perciformes;Stichaeidae;Xiphister;Xiphister atropurpureus	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Phaeophyceae;NA;Ralfsiales;Ralfsiaceae;NA;Ralfsioid sp. 4GWS	1	0	0	0	0	12	1	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	2	0	0	3	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens	0	0	1	0	51	0	0	1	7	0	0	0	1	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira nordenskioeldii	0	9	7	1	6	56	6	1	6	3	62	1	5	0	0	1	18	11	16	46	29	2	32	1	9	15	12	0	10	4	6	9	19	0	0	43	12	9	0	12	0	0	26	20	1	3	7	0	9	3	0	2	17	0	10
Eukaryota;Nemertea;Enopla;Monostilifera;Tetrastemmatidae;Tetrastemma;Tetrastemma sp. 1 TCH-2015	0	1	0	1	1	1	0	0	3	0	40	0	0	1	0	0	0	0	0	1	12	8	9	0	4	1	0	0	0	1	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	1	0	1	4	0	0
Eukaryota;Mollusca;Gastropoda;NA;Littorinidae;Littorina	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Eukaryota;Arthropoda;Malacostraca;Decapoda;Atelecyclidae;Telmessus;Telmessus cheiragonus	0	0	0	0	6	0	0	0	22	2	0	3	0	0	0	0	0	0	5	0	7	0	0	1	1	0	0	0	0	18	1	0	0	0	0	24	0	0	0	0	0	0	0	0	7	4	0	0	1	0	0	3	1	0	9
Eukaryota;Chlorophyta;NA;NA;Pycnococcaceae;Pseudoscourfieldia;Pseudoscourfieldia marina	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	6	0	0	0	0	2	2	0	0	4	0	0
Eukaryota	0	0	0	0	11	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1
Eukaryota;NA;Florideophyceae;Gigartinales;Gigartinaceae;Chondracanthus;Chondracanthus corymbiferus	0	2	0	0	4	0	1	0	0	0	0	1	0	0	0	0	0	3	0	0	2	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0
Eukaryota;Arthropoda;Maxillopoda;Sessilia;Balanidae;Balanus;Balanus glandula	0	0	0	0	1	0	1	0	8	0	0	0	1	0	0	0	0	0	0	0	1	0	7	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0
Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Membraniporidae;Membranipora	0	5	0	1	4	0	3	0	7	0	2	0	0	0	0	0	1	4	0	7	4	0	15	5	0	0	2	0	0	6	0	6	32	0	0	0	1	0	0	2	0	0	3	1	0	0	0	0	0	1	0	1	4	0	1
Eukaryota;Chordata;Mammalia;NA;Suidae;Sus;Sus scrofa	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Annelida;Polychaeta;NA;Orbiniidae;Leitoscoloplos;Leitoscoloplos pugettensis CMC01	0	0	23	0	8	26	4	0	0	28	0	33	0	30	0	8	0	0	8	0	509	117	0	12	202	19	0	0	178	0	10	0	0	0	0	3	0	59	0	0	0	15	0	0	7	14	4	0	0	0	0	49	0	3	8422
Eukaryota;Chordata;Actinopteri;Perciformes;Stichaeidae;Xiphister;Xiphister mucosus	0	1	2	1	2	0	0	0	3	0	0	1	17	0	0	3	8	2	0	1	8	1	3	1	10	12	6	0	0	5	7	2	0	0	0	0	17	0	0	1	2	0	4	0	1	4	0	0	0	4	0	3	3	0	1
Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;NA;Orthocladiinae sp. BOLD-2016	0	1	0	0	3	0	2	0	0	1	0	0	2	0	2	0	1	0	0	2	0	0	4	0	2	0	0	0	0	0	0	1	9	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Eukaryota;Chordata	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Cnidaria;Hydrozoa	0	2	0	0	1	18	3	0	1	2	0	0	0	0	0	0	3	1	1	3	25	3	9	0	3	0	2	0	1	0	1	8	0	0	0	2	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	2	12	0	3
Eukaryota;NA;Florideophyceae;Ceramiales;Ceramiaceae;Callithamnion;Callithamnion pikeanum	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Florideophyceae;Ceramiales;Rhodomelaceae;Neorhodomela;Neorhodomela oregona	0	0	0	0	1	0	1	0	3	0	0	0	0	0	0	0	1	1	0	2	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
Eukaryota;NA;Florideophyceae;Plocamiales;Plocamiaceae;Plocamium	0	2	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1
Eukaryota;NA;Florideophyceae;Palmariales;Palmariaceae;Halosaccion;Halosaccion glandiforme	0	0	0	0	1	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Phaeophyceae;NA;Ectocarpales;Chordariaceae	0	0	0	0	1	7	0	0	2	1	0	0	0	1	0	0	0	0	1	1	1	0	1	1	0	0	2	0	3	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Eukaryota;Chordata;Mammalia;NA;Suidae;Sus	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Florideophyceae;Ceramiales;Delesseriaceae;Cryptopleura;Cryptopleura ruprechtiana	0	3	0	0	2	0	1	1	7	0	9	0	2	0	0	0	5	1	0	2	2	0	9	0	1	0	0	0	0	1	0	7	3	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	1	0	0	16	0	0
Eukaryota;Nemertea;Anopla;Heteronemertea;Lineidae;Micrura;Micrura verrilli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Mollusca;Bivalvia;Veneroida;Veneridae;Saxidomus;Saxidomus gigantea	0	0	1	0	0	0	0	0	0	22	0	0	0	1	0	0	2	0	0	0	18	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Eukaryota;Arthropoda;Maxillopoda;Calanoida;Acartiidae;Acartia	0	0	0	0	0	11	0	0	1	0	0	0	0	2	0	1	1	1	0	0	4	0	0	2	6	3	1	0	1	0	3	1	2	0	0	2	3	0	0	0	0	0	2	0	2	5	4	0	0	0	0	0	4	0	10
Eukaryota;Chordata;Actinopteri;Perciformes;Stichaeidae;Anoplarchus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	1	1	0	3	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
Eukaryota;NA;Florideophyceae;Gigartinales;Solieriaceae;Sarcodiotheca;Sarcodiotheca sp. 2gaudichaudii	0	1	2	0	0	6	4	0	3	9	0	2	5	7	0	1	3	3	1	0	34	3	2	0	9	0	2	0	11	1	6	4	0	0	0	0	0	4	0	1	0	0	4	2	5	1	0	0	0	0	0	4	0	0	2
Eukaryota;Echinodermata;Holothuroidea;Aspidochirotida;Stichopodidae;Parastichopus;Parastichopus californicus	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	3	0	0	1	0	0	0	1	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Oomycetes;Pythiales;Pythiaceae;Pythium	0	3	2	0	0	0	0	0	0	1	3	1	1	0	0	1	0	1	1	0	12	0	2	0	3	4	2	0	7	1	0	1	0	0	0	7	0	2	0	0	0	1	0	0	0	1	2	0	0	0	0	2	1	2	1
Eukaryota;NA;Florideophyceae;Gigartinales;Dumontiaceae;Cryptosiphonia;Cryptosiphonia woodii	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	6	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
Eukaryota;NA;Florideophyceae;Acrochaetiales;Acrochaetiaceae;Acrochaetium;Acrochaetium plumosum	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Florideophyceae;Palmariales;Palmariaceae;Devaleraea;Devaleraea mollis	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Eukaryota;Arthropoda;Malacostraca;Euphausiacea;Euphausiidae;Euphausia;Euphausia pacifica	0	0	0	0	0	0	0	0	0	0	3725	0	0	0	0	0	2	0	1	1	1	1	5	0	1	554	0	0	0	1	0	1	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Eukaryota;Cnidaria;Hydrozoa;NA;NA;NA;Hydrozoa sp. prey of Macellomenia sp. KMK-2014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Eukaryota;Annelida;Polychaeta;Phyllodocida;Nereididae;Platynereis;Platynereis sp. CMC02	0	86	58	1	0	12	2	0	2	5	0	2	1	3	0	1	0	0	5	0	906	4	12	1	8	5	0	0	29	1	3	1	0	0	0	1	0	6	0	0	0	0	2	5	4	6	0	0	0	0	0	0	1	0	20
Eukaryota;Mollusca;Gastropoda;NA;Littorinidae;Littorina;Littorina scutulata	0	0	0	0	0	0	0	0	0	891	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	110	1	0	0	0	285	0	0	0	0	0	1	0	0	0	0	0	0	0	502	0	257	0	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira pseudonana	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	3	1	0	3	0	0	4	0	0	0	3	0	0	1	0	1	2	0	0	0	0	0	0	3	0	0	2	1	0	0	0	0	0	2	0	0	0	0	0
Eukaryota;NA;Bangiophyceae;Bangiales;Bangiaceae;Pyropia;Pyropia perforata	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Mollusca;Gastropoda;NA;Trochidae;Lirularia;Lirularia succincta	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	3	0	1	0	0	1	2	0	0	0	0	0	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Eukaryota;NA;Florideophyceae;Ceramiales;Ceramiaceae;Microcladia	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	5	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0
