18S_Euk_seq_number	18S_Euk_Yell-July18-Site1r-S111	18S_Euk_Yell-July18-Site1s-S112	18S_Euk_Yell-July18-Site1dd-S141	18S_Euk_Yell-July18-Site5p-S121	18S_Euk_Yell-July18-Site1U-S114	18S_Euk_Yell-July18-Site1e-S91	18S_Euk_Yell-July18-Site1t-S113	18S_Euk_Yell-July18-Site1w-S118	18S_Euk_Yell-July18-Site1a-S83	18S_Euk_Yell-July18-Site5s-S124	18S_Euk_Yell-July18-Site5e-S95	18S_Euk_Yell-July18-Site5L-S109	18S_Euk_Yell-July18-Site5c-S89	18S_Euk_Yell-July18-Site5o-S116	18S_Euk_Yell-July18-Site1m-S102	18S_Euk_Yell-July18-Site5m-S110	18S_Euk_Yell-July18-Site5t-S125	18S_Euk_Yell-July18-Site1cc-S140	18S_Euk_Yell-July18-Site1k-S100	18S_Euk_Yell-July18-Site5a-S87	18S_Euk_Yell-July18-Site5h-S98	18S_Euk_Yell-July18-Site1c-S85	18S_Euk_Yell-July18-Site5z-S131	18S_Euk_Yell-July18-Site5ff-S137	18S_Euk_Yell-July18-Site1v-S117	18S_Euk_Yell-July18-Site5n-S115	18S_Euk_Yell-July18-Site5bb-S133	18S_Euk_Yell-July18-Site5f-S96	18S_Euk_Yell-July18-Site5b-S88	18S_Euk_Yell-July18-Site1z-S129	18S_Euk_Yell-July18-Site1bb-S139	18S_Euk_Yell-July18-Site1o-S104	18S_Euk_Yell-July18-Site1y-S120	18S_Euk_Yell-July18-Site5J-S107	18S_Euk_Yell-July18-Site5ee-S136	18S_Euk_Yell-July18-Site1p-S105	18S_Euk_Yell-July18-Site5u-S126	18S_Euk_Yell-July18-Site5v-S127	18S_Euk_Yell-July18-Site1b-S84	18S_Euk_Yell-July18-Site5k-S108	18S_Euk_Yell-July18-Site1d-S86	18S_Euk_Yell-July18-Site1L-S101	18S_Euk_Yell-July18-Site1q-S106	18S_Euk_Yell-July18-Site5cc-S134	18S_Euk_Yell-July18-Site1ee-S142	18S_Euk_Yell-July18-Site1f-S92	18S_Euk_Yell-July18-Site1g-S93	18S_Euk_Yell-July18-Site1n-S103	18S_Euk_Yell-July18-Site5aa-S132	18S_Euk_Yell-July18-Site5g-S97	18S_Euk_Yell-July18-Site5r-S123	18S_Euk_Yell-July18-Site1J-S99	18S_Euk_Yell-July18-Site5w-S128	18S_Euk_Yell-July18-Site1h-S94	18S_Euk_Yell-July18-Site5q-S122
Bacteria;Pseudomonadota;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;NA;alpha proteobacterium HIMB5	0	0	1	1	0	0	0	2	1	0	1	0	0	0	0	1	0	2	0	0	2	0	1	2	0	1	2	0	0	1	3	0	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0	2	0	1	0	0	0	0
Eukaryota;NA;Phaeophyceae;Ectocarpales;Chordariaceae	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	3	0	0	1	0	0	1	0	0	0	0	1	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter	1	1	1	1	0	0	1	3	2	1	2	0	0	0	0	0	2	2	0	0	3	1	4	10	0	0	3	0	0	4	0	0	0	0	0	4	0	1	1	0	1	0	0	3	0	1	0	2	6	0	1	0	0	0	0
Eukaryota;Chlorophyta;Ulvophyceae;Ulvales;Ulvaceae;Ulva;Ulva flexuosa	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	9	1	1	2	0	1	0	0	0	0
Eukaryota;Arthropoda;Hexanauplia;Calanoida	14	2	1	61	0	0	5	0	3	28	21	20	9	0	8	32	88	0	2	52	97	0	2	10	3	0	0	0	70	2	3	0	1	0	28	3	3	5	0	11	7	0	0	2	0	2	0	15	27	0	2	0	0	1	0
Eukaryota;Rhodophyta;Florideophyceae;Gigartinales;Solieriaceae;Sarcodiotheca;Sarcodiotheca gaudichaudii	0	0	2	0	0	0	2	0	1	0	1	0	0	0	0	0	1	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	3	1	0	2	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0
Eukaryota;Arthropoda;Malacostraca;Euphausiacea;Euphausiidae	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	518	0	0	0	0	0	0	3451	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Ctenophora;Tentaculata;Lobata;Bolinopsidae;Bolinopsis	1	0	0	0	0	0	29	0	3	0	3	0	0	1	1	0	0	1	0	0	1	2	0	0	0	3	0	0	0	0	0	2	0	0	1	2	0	0	2	0	2	0	2	0	0	2	1	3	0	0	0	0	0	0	0
Eukaryota;NA;Dinophyceae;Gonyaulacales;Gonyaulacaceae;Gonyaulax;Gonyaulax polygramma	1	1	0	0	0	0	1	2	1	0	0	0	0	0	2	0	0	8	1	3	0	1	1	1	4	1	0	0	0	1	0	0	0	0	0	5	0	0	1	0	2	0	2	0	0	4	0	0	0	0	0	0	0	0	0
Eukaryota;Chlorophyta;Nephroselmidophyceae;Nephroselmidales;Nephroselmidaceae;Nephroselmis;Nephroselmis pyriformis	0	2	0	1	0	0	1	1	2	0	5	0	0	0	0	1	0	3	0	0	0	1	3	1	1	0	0	0	2	1	1	1	0	0	2	5	0	0	1	0	0	0	0	2	0	2	1	0	1	0	0	0	0	0	0
Eukaryota;NA;Bigyra;Bicosoecida;NA	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chlorophyta;Mamiellophyceae;Dolichomastigales;Crustomastigaceae;Crustomastix;Crustomastix sp. MBIC10709	2	3	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	4	0	0	0	2	0	0	1	0	0	0	0	1	2	3	0	0	0	6	0	0	1	0	1	0	1	0	0	3	0	0	0	0	0	0	0	2	0
Eukaryota;NA;Phaeophyceae;Ectocarpales;Chordariaceae;Laminariocolax;Laminariocolax tomentosoides	0	0	1	0	0	0	0	1	2	0	0	1	1	2	0	0	2	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	1	8	0	1	0	0	0	0	0	1	0	0	1	0	3	0	0	0	0	0	0
Eukaryota;Arthropoda;Hexanauplia;Poecilostomatoida;Sapphirinidae;Sapphirina;Sapphirina darwinii	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Minidiscus;Minidiscus sp. RCC4810	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0
Eukaryota;Streptophyta;Magnoliopsida	0	2	2	0	0	0	0	3	3	0	0	1	0	0	1	0	0	2	1	0	0	0	0	2	1	0	0	0	0	0	2	2	0	0	1	2	0	1	2	0	2	0	1	1	0	0	0	1	3	0	0	0	0	0	0
Eukaryota;NA;NA;Apusomonadida;Apusomonadidae;Podomonas;Podomonas kaiyoae	0	0	0	0	0	0	0	0	1	0	5	0	0	0	2	1	1	0	0	0	1	1	1	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	1	0	0	0	0	0	0	0
Archaea;Candidatus Thermoplasmatota;Candidatus Poseidoniia;Candidatus Poseidoniales;Candidatus Thalassarchaeaceae;Candidatus Thalassarchaeum;Candidatus Thalassoarchaea mediterranii	2	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	2	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	2	0
Eukaryota;Basidiomycota;Tremellomycetes;Tremellales;Syzygosporaceae;Syzygospora;Syzygospora alba	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Ciliophora;Spirotrichea;Choreotrichida;Strobilidiidae	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Dictyochophyceae;Pedinellales;NA;NA;Pedinellales sp. CCMP2098	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Ciliophora;Spirotrichea;Choreotrichida;Lynnellidae;Lynnella;Lynnella semiglobulosa	25	0	22	0	0	0	5	0	1	0	0	0	0	0	0	0	0	45	33	0	0	0	16	0	9	0	35	0	0	2	60	7	24	0	0	138	0	0	77	0	8	0	0	36	0	16	0	24	0	0	437	0	0	0	0
Eukaryota;Discosea;Flabellinia;NA;Vannellidae;NA;Vannellidae sp.	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
Eukaryota;Ciliophora;Oligohymenophorea;Mobilida;Trichodinidae;Trichodina	0	0	0	14	0	0	0	0	1	0	0	9	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Eukaryota;Ciliophora;Phyllopharyngea;Dysteriida	0	0	0	30	0	0	0	0	1	0	1	0	0	0	5	0	12	0	0	2	0	0	0	4	0	0	1	0	0	0	0	0	10	0	0	49	0	0	0	0	1	0	0	0	0	2	1	0	0	0	8	0	0	0	0
Eukaryota;NA;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;Heterocapsa triquetra	1	0	0	0	0	0	0	2	1	0	3	0	1	0	0	0	2	0	0	2	0	0	5	1	0	1	4	0	0	1	0	3	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	2	0	0	0	0	0	0
Eukaryota;Arthropoda;Hexanauplia;Calanoida;Clausocalanidae;Pseudocalanus	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Eukaryota;Streptophyta;Magnoliopsida;Malpighiales;Euphorbiaceae;Mercurialis;Mercurialis annua	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;Pseudo-nitzschia delicatissima	1	6	4	8	0	1	7	1	1	3	24	11	1	6	3	7	0	14	0	10	18	4	20	5	2	5	20	2	14	2	4	4	2	0	7	25	2	0	5	1	3	0	4	29	0	7	0	4	15	0	4	0	0	1	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;NA;alpha proteobacterium HIMB59	2	4	8	0	0	0	1	4	1	0	4	0	0	0	2	1	0	4	0	2	1	0	3	0	1	2	2	0	0	6	4	1	2	0	2	4	2	5	2	0	0	0	1	8	0	1	1	1	4	0	0	0	0	0	0
Eukaryota;NA;Dinophyceae;Prorocentrales;Prorocentraceae;Prorocentrum;Prorocentrum cassubicum	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Ciliophora;Phyllopharyngea;Dysteriida;Dysteriidae;Dysteria;Dysteria derouxi	0	6	1	0	0	0	4	1	1	0	0	0	0	6	1	0	0	1	0	0	6	0	0	0	0	2	10	0	0	6	9	6	1	0	0	5	0	1	0	0	1	0	0	21	0	1	0	3	0	0	3	0	0	1	0
Eukaryota;Fornicata;NA;NA;NA;Kipferlia;Kipferlia bialata	0	1	0	0	0	0	2	0	1	0	6	2	0	2	0	1	4	1	0	0	1	0	2	1	0	0	4	0	0	0	1	0	0	0	2	2	0	0	0	0	1	0	6	3	0	7	1	1	0	0	2	0	0	0	0
Eukaryota;Rhodophyta;Florideophyceae;Hildenbrandiales;Hildenbrandiaceae;Hildenbrandia;Hildenbrandia rubra	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Centroplasthelida;Pterocystida;Pterocystidae;Pterocystis;Pterocystis sp.	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Ciliophora;Spirotrichea;Choreotrichida;Strobilidiidae;Strobilidium;Strobilidium sp.	3	3	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	3	0	0	0	0	0	0	0	2	0
Eukaryota;NA;Dinophyceae;Peridiniales;Peridiniaceae;Scrippsiella;Scrippsiella sp.	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Naviculaceae;Navicula;Navicula gregaria	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Stephanodiscales;Stephanodiscaceae	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Limimaricola;Limimaricola hongkongensis	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Ciliophora;Spirotrichea;Tintinnida;Xystonellidae	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Eukaryota;Haptophyta;NA;Prymnesiales;Chrysochromulinaceae;Chrysochromulina	1	7	7	0	0	0	0	2	1	0	0	0	0	0	1	0	0	6	0	0	1	1	1	0	0	0	2	0	1	0	4	3	0	0	0	3	0	0	2	0	1	0	1	0	0	3	0	0	0	0	0	0	0	1	0
Eukaryota;Ciliophora;Spirotrichea;Tintinnida;Codonellidae;Tintinnopsis;Tintinnopsis parvula	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Arthropoda;Hexanauplia;Calanoida;Pontellidae;Labidocera	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Ascidiacea;Stolidobranchia;Pyuridae	1	0	3	0	0	0	1	5	1	0	0	0	0	0	2	0	0	6	1	1	0	1	0	0	6	4	0	0	1	2	2	1	2	0	0	6	0	0	1	0	0	0	2	0	0	2	0	1	0	0	0	0	0	0	0
Eukaryota;Euglenozoa;Kinetoplastea;Eubodonida;Bodonidae;NA;Bodonidae sp. HFCC654	0	0	0	0	0	0	1	0	1	2	1	1	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0
Eukaryota;Cnidaria;Myxozoa;Bivalvulida;Ceratomyxidae;Ceratomyxa;Ceratomyxa sargus	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Eukaryota;Basidiomycota	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	2	0	0	1	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
Eukaryota;Ciliophora;Spirotrichea;Euplotida;Euplotidae;Euplotes;Euplotes nobilii	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
Eukaryota;Ciliophora;Spirotrichea;Euplotida;Certesiidae;Certesia;Certesia quadrinucleata	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira punctigera	0	0	0	0	0	0	0	27	0	11	0	17	0	0	0	11	12	2	3	0	0	0	0	12	0	0	39	0	2	0	0	31	0	0	20	68	0	1	9	0	0	0	0	40	0	19	0	0	19	0	1	0	0	3	0
Eukaryota;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;Molgula	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Eukaryota;NA;Dinophyceae;Peridiniales;Amphidiniopsidaceae	6	8	1	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Eukaryota;NA;Dinophyceae;Peridiniales;Peridiniaceae;Scrippsiella;Scrippsiella precaria	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Dinophyceae;Dinophysiales;Dinophysiaceae;Dinophysis;Dinophysis norvegica	0	3	9	1	0	1	0	6	0	0	0	0	0	0	1	0	0	1	0	0	0	2	1	0	0	0	0	0	1	8	3	0	1	0	0	0	0	0	5	0	1	0	0	0	0	3	2	1	1	0	1	0	0	0	0
Eukaryota;Echinodermata;Holothuroidea;Aspidochirotida;Stichopodidae;Apostichopus	0	0	1	0	0	0	8	0	0	0	2	0	0	0	1	0	0	3	0	0	1	0	0	0	4	0	0	0	0	1	4	0	4	0	0	3	0	0	4	0	0	0	0	0	0	4	1	2	0	0	0	0	0	0	0
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Rahnella;Rahnella aquatilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Tubulinea;Elardia;Euamoebida;Hartmannellidae;Nolandella;Nolandella hibernica	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	2	0
Eukaryota;Ascomycota;Pezizomycetes;Pezizales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Arthropoda	1	1	0	1	0	1	2	0	0	1	4	0	0	1	2	0	9	3	1	0	26	3	0	5	2	1	2	0	3	1	0	0	2	0	7	15	1	1	3	1	2	0	0	3	0	0	0	1	0	0	1	0	0	0	0
Eukaryota;Endomyxa;NA;Vampyrellida;NA;NA	0	0	0	3	0	0	0	1	0	0	2	0	0	3	0	0	3	0	0	0	1	0	2	6	0	2	3	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	1	6	0	0	0	0	2	0	4	0	0	0	0
Eukaryota;Ciliophora;Phyllopharyngea;Exogemmida;Spirochonidae;Spirochona;Spirochona gemmipara	0	0	1	3	0	0	1	3	0	1	1	1	0	1	1	0	0	1	0	1	1	0	6	0	0	4	10	0	0	4	0	1	2	0	0	4	0	0	7	0	2	0	4	7	0	5	2	2	14	0	1	0	0	0	0
Eukaryota;Ascomycota;Eurotiomycetes;Eurotiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Ciliophora;Heterotrichea;Heterotrichida;Peritromidae;Peritromus;Peritromus kahli	0	0	0	3	0	0	5	0	0	0	0	2	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema;Skeletonema pseudocostatum	0	2	3	1	0	0	2	1	0	0	2	1	0	0	4	0	0	2	0	0	1	1	1	0	3	0	0	0	3	0	1	0	1	0	0	3	1	0	3	0	1	0	1	0	0	3	0	1	2	0	0	0	0	0	0
Eukaryota;NA;Bigyra;Nanomonadea;NA;Solenicola;Solenicola setigera	1	2	4	0	0	0	1	2	0	0	2	0	0	0	2	0	2	4	0	2	1	0	6	0	2	0	0	0	2	2	3	1	1	0	0	4	0	0	1	1	0	0	1	0	0	0	1	5	1	0	0	0	0	0	0
Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Eirenidae;Eutonina;Eutonina indicans	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Eukaryota;Ciliophora;Spirotrichea;Euplotida;Aspidiscidae;Aspidisca;Aspidisca aculeata	1	0	6	0	0	0	4	1	0	0	0	0	0	0	1	0	0	3	0	0	0	2	0	0	0	0	1	0	8	0	0	0	4	0	0	23	0	0	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0
Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Membraniporidae;Membranipora;Membranipora sp. BLEED1777	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	2	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0
Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Bougainvilliidae;Lizzia;Lizzia blondina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	1	0	0	0	1	0	0	0	1	6	1	0	0	0	0	0	0
Eukaryota;Ascomycota;Lecanoromycetes;Caliciales;Caliciaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Nemertea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Parasphingorhabdus;Parasphingorhabdus flavimaris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;Pseudo-nitzschia fraudulenta	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	1	1	0	0	4	1	0	3	0	0	3	2	0	0	0	0	0	0	0	1	5	0	1	1	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0
Eukaryota;Arthropoda;Hexanauplia;Harpacticoida;Harpacticidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros sp. NIES-3971	1	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Eukaryota;Bryozoa;Gymnolaemata;Ctenostomatida;Vesiculariidae;Amathia;Amathia imbricata	0	0	1	2	0	0	6	0	0	0	10	1	0	1	1	2	1	0	0	3	2	0	1	1	0	0	2	0	2	2	0	1	0	0	2	4	1	1	4	0	0	0	3	1	0	2	0	4	1	0	1	0	0	0	0
