18S_Euk_seq_number	18S_Euk_Yell-July18-Site1r-S111	18S_Euk_Yell-July18-Site1s-S112	18S_Euk_Yell-July18-Site1dd-S141	18S_Euk_Yell-July18-Site5p-S121	18S_Euk_Yell-July18-Site1U-S114	18S_Euk_Yell-July18-Site1e-S91	18S_Euk_Yell-July18-Site1t-S113	18S_Euk_Yell-July18-Site1w-S118	18S_Euk_Yell-July18-Site1a-S83	18S_Euk_Yell-July18-Site5s-S124	18S_Euk_Yell-July18-Site5e-S95	18S_Euk_Yell-July18-Site5L-S109	18S_Euk_Yell-July18-Site5c-S89	18S_Euk_Yell-July18-Site5o-S116	18S_Euk_Yell-July18-Site1m-S102	18S_Euk_Yell-July18-Site5m-S110	18S_Euk_Yell-July18-Site5t-S125	18S_Euk_Yell-July18-Site1cc-S140	18S_Euk_Yell-July18-Site1k-S100	18S_Euk_Yell-July18-Site5a-S87	18S_Euk_Yell-July18-Site5h-S98	18S_Euk_Yell-July18-Site1c-S85	18S_Euk_Yell-July18-Site5z-S131	18S_Euk_Yell-July18-Site5ff-S137	18S_Euk_Yell-July18-Site1v-S117	18S_Euk_Yell-July18-Site5n-S115	18S_Euk_Yell-July18-Site5bb-S133	18S_Euk_Yell-July18-Site5f-S96	18S_Euk_Yell-July18-Site5b-S88	18S_Euk_Yell-July18-Site1z-S129	18S_Euk_Yell-July18-Site1bb-S139	18S_Euk_Yell-July18-Site1o-S104	18S_Euk_Yell-July18-Site1y-S120	18S_Euk_Yell-July18-Site5J-S107	18S_Euk_Yell-July18-Site5ee-S136	18S_Euk_Yell-July18-Site1p-S105	18S_Euk_Yell-July18-Site5u-S126	18S_Euk_Yell-July18-Site5v-S127	18S_Euk_Yell-July18-Site1b-S84	18S_Euk_Yell-July18-Site5k-S108	18S_Euk_Yell-July18-Site1d-S86	18S_Euk_Yell-July18-Site1L-S101	18S_Euk_Yell-July18-Site1q-S106	18S_Euk_Yell-July18-Site5cc-S134	18S_Euk_Yell-July18-Site1ee-S142	18S_Euk_Yell-July18-Site1f-S92	18S_Euk_Yell-July18-Site1g-S93	18S_Euk_Yell-July18-Site1n-S103	18S_Euk_Yell-July18-Site5aa-S132	18S_Euk_Yell-July18-Site5g-S97	18S_Euk_Yell-July18-Site5r-S123	18S_Euk_Yell-July18-Site1J-S99	18S_Euk_Yell-July18-Site5w-S128	18S_Euk_Yell-July18-Site1h-S94	18S_Euk_Yell-July18-Site5q-S122
Eukaryota;Nemertea;Pilidiophora;Heteronemertea;Lineidae;Maculaura;Maculaura alaskensis	234	369	1269	31	2	22	272	756	629	8	30	15	14	6	167	17	28	2551	65	14	38	965	13	719	315	24	26	0	17	8882	926	445	587	0	19	1331	165	1	504	82	294	23	263	16	0	338	105	425	13	0	306	1	0	259	0
Eukaryota;Cnidaria;Hydrozoa;Siphonophorae	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0
Eukaryota;NA;Dinophyceae	816	1873	2866	192	2	70	447	1239	2386	552	706	239	62	118	748	206	275	2408	473	192	271	1000	1052	2971	816	857	687	13	344	1477	1293	1329	669	0	1103	874	505	188	1083	286	707	134	228	928	0	1131	430	1107	514	0	1426	4	0	280	4
Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Naviculaceae;Navicula	284	479	776	460	24	77	545	628	1136	124	3383	456	261	739	536	418	413	1532	150	194	4585	284	8152	474	590	618	6695	36	519	740	586	2188	672	0	574	7095	464	416	432	149	343	305	1945	8007	0	1340	1143	735	4089	0	753	1	0	169	9
Eukaryota;Ciliophora;Spirotrichea;NA	967	2419	2521	804	13	186	2712	3755	3043	2491	2916	1541	263	429	1744	1031	1197	4681	638	1881	2120	1220	2780	4306	1921	1902	2100	39	2491	2324	4029	2180	1450	1	4370	3486	1770	422	1990	568	1134	97	1082	2785	0	4431	362	3662	1549	0	797	4	1	257	17
Eukaryota;Ciliophora;Spirotrichea;NA;Strombidiidae;Strombidium;Strombidium sp.	93	322	242	111	0	7	35	471	201	123	402	194	251	57	147	137	122	397	55	172	167	65	580	175	131	30	309	5	271	176	448	218	61	0	238	370	160	10	87	236	136	7	31	383	0	324	37	240	267	0	104	2	0	22	1
Eukaryota;NA;Cryptophyceae;Pyrenomonadales;Geminigeraceae;Teleaulax;Teleaulax amphioxeia	227	319	246	144	0	7	73	253	268	127	237	280	44	32	186	215	117	504	59	105	119	79	265	1905	254	316	179	1	162	97	144	176	62	0	253	368	46	796	197	174	80	15	96	218	0	188	39	252	116	0	22	1	0	137	0
Eukaryota;Rhodophyta;Florideophyceae	17	27	45	15	0	23	77	74	210	6	25	19	0	18	16	5	15	44	6	12	14	38	47	14	23	142	29	0	11	32	13	73	97	0	17	198	7	7	154	1	31	46	124	43	0	343	129	178	57	0	13	1	0	22	1
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Coscinodiscales;Coscinodiscaceae;Coscinodiscus;Coscinodiscus granii	539	515	635	0	1	20	409	870	610	0	1	0	0	0	493	0	7	805	142	0	0	592	0	415	512	0	0	0	0	197	294	64	98	0	5	360	76	166	250	0	380	22	188	0	0	75	82	41	1	0	0	3	0	22	0
Eukaryota;Ciliophora;Litostomatea;Cyclotrichida;Mesodiniidae;Mesodinium;Mesodinium rubrum	52	131	149	118	0	0	33	155	92	88	566	178	27	48	136	128	115	363	49	199	226	46	679	1546	120	84	203	11	313	28	106	69	28	0	215	209	23	10	66	39	43	11	40	246	0	126	31	112	118	0	35	2	0	14	1
Eukaryota;NA	51	70	692	5	0	15	49	84	71	9	35	10	3	16	76	5	11	179	40	7	29	26	40	11	103	11	60	0	15	51	55	89	44	0	38	142	35	6	80	3	19	4	37	59	0	147	16	90	54	0	18	3	0	11	0
Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas	418	936	1584	154	0	27	367	1034	1360	48	1083	211	148	117	579	183	121	2572	235	284	430	596	905	184	486	151	490	12	337	608	815	687	806	0	299	2663	156	160	556	81	373	50	470	573	0	728	151	537	383	0	2624	1	0	228	1
