18S_Euk_seq_number	18S_Euk_Yell-July18-Site1p-S105	18S_Euk_Yell-July18-Site1w-S118	18S_Euk_Yell-July18-Site5cc-S134	18S_Euk_Yell-July18-Site1a-S83	18S_Euk_Yell-July18-Site1h-S94	18S_Euk_Yell-July18-Site5n-S115	18S_Euk_Yell-July18-Site5L-S109	18S_Euk_Yell-July18-Site1q-S106	18S_Euk_Yell-July18-Site5r-S123	18S_Euk_Yell-July18-Site1ee-S142	18S_Euk_Yell-July18-Site1n-S103	18S_Euk_Yell-July18-Site5q-S122	18S_Euk_Yell-July18-Site5w-S128	18S_Euk_Yell-July18-Site5b-S88	18S_Euk_Yell-July18-Site5s-S124	18S_Euk_Yell-July18-Site1J-S99	18S_Euk_Yell-July18-Site1c-S85	18S_Euk_Yell-July18-Site1k-S100	18S_Euk_Yell-July18-Site5e-S95	18S_Euk_Yell-July18-Site1cc-S140	18S_Euk_Yell-July18-Site5c-S89	18S_Euk_Yell-July18-Site1b-S84	18S_Euk_Yell-July18-Site1d-S86	18S_Euk_Yell-July18-Site5J-S107	18S_Euk_Yell-July18-Site5f-S96	18S_Euk_Yell-July18-Site1o-S104	18S_Euk_Yell-July18-Site1t-S113	18S_Euk_Yell-July18-Site1y-S120	18S_Euk_Yell-July18-Site5o-S116	18S_Euk_Yell-July18-Site1g-S93	18S_Euk_Yell-July18-Site5ff-S137	18S_Euk_Yell-July18-Site5m-S110	18S_Euk_Yell-July18-Site1v-S117	18S_Euk_Yell-July18-Site5a-S87	18S_Euk_Yell-July18-Site5ee-S136	18S_Euk_Yell-July18-Site1bb-S139	18S_Euk_Yell-July18-Site1L-S101	18S_Euk_Yell-July18-Site1r-S111	18S_Euk_Yell-July18-Site5h-S98	18S_Euk_Yell-July18-Site1dd-S141	18S_Euk_Yell-July18-Site1f-S92	18S_Euk_Yell-July18-Site1e-S91	18S_Euk_Yell-July18-Site5bb-S133	18S_Euk_Yell-July18-Site5p-S121	18S_Euk_Yell-July18-Site1m-S102	18S_Euk_Yell-July18-Site5u-S126	18S_Euk_Yell-July18-Site1s-S112	18S_Euk_Yell-July18-Site5v-S127	18S_Euk_Yell-July18-Site1z-S129	18S_Euk_Yell-July18-Site5aa-S132	18S_Euk_Yell-July18-Site5k-S108	18S_Euk_Yell-July18-Site5z-S131	18S_Euk_Yell-July18-Site1U-S114	18S_Euk_Yell-July18-Site5t-S125	18S_Euk_Yell-July18-Site5g-S97
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Amylibacter;Amylibacter ulvae	0	0	3	2	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	1	2	1	0	2	0	0	0	1	0	0	0	0	1	0	0	0
Eukaryota;Rhodophyta;Bangiophyceae;Bangiales;Bangiaceae;Bangia	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0
Eukaryota;Annelida;Polychaeta;Eunicida;Eunicidae	10	1	1	1	0	0	0	0	1	0	3	0	0	0	0	0	0	1	0	3	0	2	0	0	0	0	3	2	0	0	578	0	4	0	0	3	0	0	18	0	1	0	0	0	0	2	2	0	0	0	0	0	0	0	0
Eukaryota;Porifera;Demospongiae;Haplosclerida;Chalinidae;Haliclona;Haliclona sp. OGL2003	4	0	26	2	0	5	1	2	7	0	1	0	0	3	1	0	0	0	29	1	0	5	1	0	0	2	0	0	2	2	3	2	0	4	2	0	0	0	10	0	1	0	20	3	0	0	0	0	0	26	0	17	0	1	0
Eukaryota;Chytridiomycota;Monoblepharidomycetes;Monoblepharidales;Harpochytriaceae;Harpochytrium;Harpochytrium sp. JEL290	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Phaeophyceae;Laminariales;Laminariaceae;Laminaria;Laminaria pallida	2	1	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	0	1	0	0	2	0	1	0	0	0
Eukaryota;Euglenozoa;Kinetoplastea;Neobodonida;NA;Neobodo;Neobodo saliens	12	3	6	2	3	2	3	6	0	0	3	0	0	0	0	0	5	3	10	6	0	2	2	0	0	9	7	3	4	1	0	2	3	1	2	3	0	1	9	2	11	1	5	2	1	0	1	1	1	3	0	5	0	0	0
Eukaryota;NA;Dinophyceae;Gymnodiniales;Amphilothaceae;Achradina;Achradina pulchra	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	2	1	0	0	0	0	0
Eukaryota;Platyhelminthes;Rhabditophora;Rhabdocoela;Polycystididae;Phonorhynchus;Phonorhynchus helgolandicus	23	0	1	2	0	0	1	2	1	0	2	0	0	0	1	0	0	2	0	1	0	3	1	0	0	4	3823	1	0	2	0	1	0	0	0	2	0	0	0	0	1	0	0	0	7	0	0	0	15	1	0	1	0	0	0
Eukaryota;NA;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;Heterocapsa triquetra	2	7	15	4	1	1	2	4	0	0	2	0	0	13	0	0	1	1	31	6	4	1	3	0	1	18	1	4	3	3	7	0	1	7	3	9	0	4	2	0	6	0	14	0	2	0	4	1	6	11	8	53	0	4	0
Eukaryota;Discosea;NA;Stygamoebida;NA;Stygamoeba;Stygamoeba regulata	0	1	1	1	0	2	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira profunda	13	4	2	4	0	7	0	0	0	0	0	0	0	1	0	0	2	3	0	4	0	0	1	0	0	0	0	1	1	2	0	1	5	1	0	0	0	1	0	0	5	0	2	0	0	0	1	0	1	0	1	2	0	1	0
Eukaryota;Ciliophora;Oligohymenophorea;Mobilida;Trichodinidae;Trichodina;Trichodina truttae	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	1	2	0	0	0	0	12	0	3	0	0	0	0	7	0	1	0	0	10	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Cryptophyceae;Pyrenomonadales;Pyrenomonadaceae	1	2	2	5	0	0	0	0	0	0	1	0	0	6	0	0	1	3	5	0	0	2	0	0	0	1	0	1	0	1	1	1	0	1	3	1	0	3	1	1	1	0	3	0	0	0	4	0	0	0	0	15	0	1	0
Eukaryota;Cercozoa;Imbricatea;Thaumatomonadida;Thaumatomastigidae;Thaumatomastix;Thaumatomastix sp. 4 JMS-2012	12	2	16	8	0	3	9	2	1	0	6	0	0	7	4	0	2	1	17	6	0	3	1	0	0	10	2	1	2	0	0	0	2	5	16	3	0	3	2	0	1	0	10	5	1	0	1	0	2	6	1	15	0	13	0
Eukaryota;Porifera;Demospongiae;Poecilosclerida;Desmacididae;Desmapsamma;Desmapsamma anchorata	556	1	1	2	0	0	0	38	0	0	448	0	0	2	0	0	1	1	4	0	0	3	1	0	0	128	21	7	1	8	2	3	0	4	1	0	0	0	2	4	37	2	0	0	1	0	2	1	3	1	1	1	0	0	0
Eukaryota;Haptophyta;NA;Prymnesiales;Prymnesiaceae;Imantonia	7	6	1	8	1	0	1	0	0	0	4	0	0	2	0	0	1	2	6	9	0	4	1	0	0	7	2	2	0	0	0	0	3	1	0	3	0	3	4	4	2	0	2	1	4	1	0	0	4	2	0	1	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;NA;NA;NA;alpha proteobacterium STF-07	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0
Eukaryota;Ciliophora;Spirotrichea;Tintinnida;Rhabdonellidae;Rhabdonella;Rhabdonella elegans	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Eukaryota;Discosea;Flabellinia;NA;Vannellidae;Platyamoeba	11	6	6	8	1	1	1	2	0	0	10	0	0	0	0	0	3	0	6	3	0	4	2	0	1	4	12	0	2	4	0	0	1	0	1	3	0	4	0	2	25	1	3	5	4	0	0	2	1	3	0	4	0	1	0
Eukaryota;Arthropoda;Hexanauplia;Siphonostomatoida	28	0	1	6	4	1	12	2	0	0	1	0	0	0	2	0	2	5	9	5	0	0	0	0	0	1	9	3	0	9	1	0	7	1	10	0	0	0	34	0	1	0	0	4	2	2	1	1	0	1	0	0	0	22	0
Eukaryota;Ciliophora;Spirotrichea;Euplotida;Uronychiidae;Diophrys	44	9	26	5	0	4	0	1	0	0	3	0	0	3	0	0	2	2	12	3	0	0	8	0	0	6	4	1	0	0	0	1	0	0	25	1	0	0	13	11	39	0	23	0	0	0	1	1	1	0	0	35	0	2	0
Eukaryota;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Paragymnodinium;Paragymnodinium inerme	11	5	6	3	1	1	1	8	0	0	6	0	0	2	1	0	0	1	3	7	1	4	0	0	0	3	2	0	1	2	1	2	1	3	2	4	0	0	7	6	8	2	3	2	1	0	5	0	1	0	0	5	0	1	0
Eukaryota;Arthropoda;Malacostraca;Euphausiacea;Euphausiidae	6117	0	0	11	0	0	0	0	0	0	0	0	0	1445	0	0	1	0	0	11	0	3	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Eukaryota;Streptophyta;Zygnemophyceae;Desmidiales;Desmidiaceae;Cosmarium;Cosmarium protractum	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Streptophyta;Magnoliopsida;Malvales;Malvaceae;Gossypium;Gossypium hirsutum	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Eukaryota;NA;Dictyochophyceae;Pedinellales;NA;NA;Pedinellales sp. CCMP2098	55	17	8	16	2	3	2	6	0	0	22	0	0	6	207	0	10	9	10	69	1	24	6	0	1	21	11	4	1	2	2	3	18	1	5	27	0	10	4	35	22	3	6	1	13	5	11	1	17	2	58	10	0	3	0
Eukaryota;NA;NA;Apusomonadida;Apusomonadidae;Apusomonas;Apusomonas proboscidea	0	3	3	2	1	0	0	2	0	0	2	0	0	0	0	0	1	0	11	1	0	2	1	0	0	0	5	0	1	4	1	1	0	1	1	2	0	0	4	1	2	0	6	0	0	1	1	0	0	5	0	4	0	0	0
Eukaryota;Rhodophyta;Florideophyceae;Gigartinales;Phyllophoraceae;Ahnfeltiopsis;Ahnfeltiopsis flabelliformis	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Candidae;Caberea	22	1	0	1	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	4	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Coscinodiscales;Heliopeltaceae;Actinoptychus;Actinoptychus sinensis	5	9	2	6	0	0	1	7	0	0	1	0	0	0	0	0	4	1	0	4	0	4	2	0	0	3	3	1	2	0	2	1	4	0	2	3	0	1	3	4	0	0	5	9	5	0	3	0	1	0	0	1	0	1	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Leptocylindrales;Leptocylindraceae;Leptocylindrus;Leptocylindrus danicus	8	3	9	5	0	9	1	2	3	0	0	0	0	7	1	0	1	2	9	3	1	0	0	0	0	2	3	0	1	0	0	4	0	6	1	0	0	3	21	1	0	0	8	1	3	0	2	0	0	11	0	0	0	0	0
Eukaryota;NA;Phaeophyceae;Dictyotales;Dictyotaceae;Dictyopteris;Dictyopteris pacifica	0	0	10	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	4	0	0	0	2	0	0	0	1	1	0	0	2	1	0	0	0	1	1	3	0	7	0	1	0
Eukaryota;NA;Phaeophyceae;Laminariales;Lessoniaceae;Ecklonia	7	1	31	7	0	4	6	0	0	0	1	0	0	1	0	0	1	0	26	1	0	2	0	0	0	2	1	2	5	1	2	1	0	2	2	0	0	1	10	2	0	0	22	1	0	0	0	0	2	16	1	35	0	1	0
Eukaryota;NA;Dinophyceae;Suessiales	0	1	1	3	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	4	0	0	1	0	0	2	0	1	0	0	1	0	0	1	1	1	0	0	0	2	1	0	1	0	0	0	1	0	3	1	0	0	0	0	0
Eukaryota;Ciliophora;Oligohymenophorea;Sessilida;Zoothamniidae;Zoothamnium;Zoothamnium alternans	2	1	58	3	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	2	0	0	1	0	0	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	54	0	2	0	1	1	0	647	0	1	0	1	0
Bacteria;Pseudomonadota;Deltaproteobacteria;Myxococcales;NA;NA;Sorangiineae bacterium HB-1	0	0	2	1	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	1	0	1	0	5	1	0	0	1	3	0	5	0	3	0	1	0
Eukaryota;Streptophyta;Magnoliopsida;Caryophyllales;Aizoaceae;Conophytum;Conophytum longum	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Eukaryota;Bacillariophyta;Bacillariophyceae;Eunotiales;Eunotiaceae;Eunotia;Eunotia monodon	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0
Eukaryota;Mollusca;Bivalvia;Cardiida	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Leptocylindrales;Leptocylindraceae;Leptocylindrus;Leptocylindrus aporus	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	0	0	0	0	2	0	0	0	0	0
Eukaryota;NA;Chrysophyceae;NA;NA;Segregatospumella;Segregatospumella sp.	3	5	2	1	0	0	0	1	1	0	0	0	0	0	1	0	2	0	2	8	0	1	0	0	0	4	2	0	0	1	1	1	1	2	3	3	0	1	3	1	1	0	3	1	0	0	0	1	2	0	0	7	0	0	0
Eukaryota;NA;Synurophyceae;Synurales;Mallomonadaceae;Synura;Synura kristiansenii	8	1	1	1	2	2	1	2	0	0	8	0	0	0	0	0	2	2	4	6	0	2	1	0	0	3	1	1	0	0	0	1	1	2	2	0	0	2	3	1	9	0	2	1	0	6	4	0	0	1	0	7	0	0	0
Eukaryota;NA;Dinophyceae;Syndiniales;Eudubosquellidae;Euduboscquella;Euduboscquella sp. ex Favella arcuata	1	2	1	3	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	5	0	1	0	0	44	2	0	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Fragilariophyceae;Thalassionemales;Thalassionemataceae;Thalassionema;Thalassionema frauenfeldii	6	1	10	1	0	2	0	5	3	0	1	0	0	0	2	0	1	0	0	5	0	0	2	0	0	1	2	2	2	1	1	1	0	0	2	1	0	0	7	5	1	0	4	0	0	2	1	3	2	4	0	4	0	2	0
Eukaryota;NA;Cryptophyceae;Pyrenomonadales;Chroomonadaceae;Falcomonas;Falcomonas daucoides	13	2	3	8	0	0	1	0	0	0	2	0	0	4	0	0	1	1	3	6	0	6	1	0	0	1	2	2	1	0	0	0	3	0	0	3	0	2	1	5	5	0	0	1	0	0	2	0	0	3	0	4	0	0	0
Eukaryota;NA;Phaeophyceae;Sphacelariales;Sphacelariaceae;Sphacelaria;Sphacelaria sp. UTEX LB 800	1	0	1	2	0	0	0	0	20	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Ciliophora;Litostomatea;Cyclotrichida;Mesodiniidae;Askenasia;Askenasia chlorelligera	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	3	13	0	1	1	0	0	0	1	2	0	2	0	0	0	0	0	2	0	0	2	5	7	0	0	0	0	1	1	0	3	2	0	3	0	0	0
Eukaryota;Ciliophora;Prostomatea;Prorodontida;Placidae;Placus;Placus salinus	7	10	0	6	0	0	0	11	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Porifera;Demospongiae;Suberitida;Suberitidae;Suberites;Suberites ficus	4	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Bacteria;Verrucomicrobia;Opitutae;Puniceicoccales;Puniceicoccaceae;Coraliomargarita;Coraliomargarita akajimensis	2	2	6	4	0	0	1	0	0	0	1	0	0	2	0	0	1	0	6	8	0	2	2	0	0	2	0	0	1	1	0	1	0	0	3	4	0	0	1	0	2	0	3	0	2	2	3	0	0	3	0	6	0	1	0
Bacteria;Pseudomonadota;Gammaproteobacteria;NA;NA;NA;Anodontia fragilis gill symbiont	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Ciliophora;Oligohymenophorea;Apostomatida;Foettingeriidae;Hyalophysa;Hyalophysa lwoffi	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Pseudomonadota;Deltaproteobacteria;Myxococcales;Kofleriaceae;Haliangium;Haliangium ochraceum	2	1	2	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	0
Eukaryota;Ciliophora;Heterotrichea;Heterotrichida;Condylostomatidae;Condylostoma	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas;Aeromonas hydrophila	1	1	4	2	0	2	0	1	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	1	0	5	0	5	0	2	0
Eukaryota;Ciliophora;Heterotrichea;Heterotrichida;Spirostomidae;Anigsteinia;Anigsteinia sp. SUAS-2016a	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	3	1	0	0	1	0	1	1	0	1	1	0	0	0	2	3	0	0	0	1	0	0	0	1	3	0	1	0	0	0
Eukaryota;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gymnodinium;Gymnodinium sp. Dino2	1	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	2	0	0	1	0	0	1	0	1	0	2	0	0	2	1	2	0	2	0	1	0	4	0	1	1	0	0	0	0	0
Eukaryota;Euglenozoa;Kinetoplastea;Neobodonida	30	4	8	2	2	3	4	4	1	0	2	0	0	1	2	0	1	1	12	8	1	2	0	0	1	1	2	0	1	2	2	3	3	1	4	2	0	0	7	3	4	0	10	7	7	0	1	0	1	7	2	4	0	3	0
Eukaryota;Ciliophora;Nassophorea;Synhymeniida;Scaphidiodontidae;Chilodontopsis;Chilodontopsis sp. FSP2007122601	9	10	0	1	1	0	2	4	0	0	3	0	0	0	0	0	1	3	0	1	0	0	1	0	0	0	3	1	0	4	0	1	0	0	0	1	0	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Bigyra;NA;Pseudophyllomitidae;Pseudophyllomitus;Pseudophyllomitus vesiculosus	14	2	4	1	1	1	2	3	0	0	4	0	0	1	0	0	0	0	16	3	0	2	1	0	0	5	1	2	1	0	2	3	1	2	2	1	0	1	3	5	1	0	4	1	4	3	0	1	2	2	1	13	0	0	0
Eukaryota;Apicomplexa	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	3	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	3	0	0	1	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
Eukaryota;NA;Choanoflagellata;Acanthoecida;Acanthoecidae;Acanthoeca;Acanthoeca spectabilis	4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Eukaryota;Arthropoda;Hexanauplia;Harpacticoida;Miraciidae;Miracia;Miracia efferata	11	14	5	3	0	0	0	2	10	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	24	2	1	0	0	0	3	7	14	0	0	0	1	20	1	7	0	2	0	0	0	1	130	2	0	0	2	0	12	0
Eukaryota;Platyhelminthes;Rhabditophora;Prolecithophora	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Choanoflagellata;Acanthoecida;Stephanoecidae;Acanthocorbis;Acanthocorbis unguiculata	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Mollusca;Bivalvia;Galeommatida;Montacutidae;Montacutona;Montacutona sigalionidcola	0	3	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0
Eukaryota;Evosea;Variosea;Fractovitellida;Schizoplasmodiidae;Schizoplasmodium;Schizoplasmodium cavostelioides	3	2	2	1	0	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	1	1	0	0	0	0	0	0	2	1	3	0	0	1	0	0	0	0	0	1	0	1	0	2	0
Eukaryota;Annelida;Polychaeta;Phyllodocida;Nephtyidae	4	2	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	3	0	1	0	2	1	0	0	2	2	0	2	0	0	0	0	0	0
Eukaryota;NA;Dinophyceae;Thoracosphaerales;Thoracosphaeraceae;Ensiculifera;Ensiculifera loeblichii	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bryozoa;Gymnolaemata;Ctenostomatida;Alcyonidiidae;Alcyonidium;Alcyonidium gelatinosum	6	0	2	1	0	1	1	0	2	0	3	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	3	0	1	0	2	0	0	0	0	1	0	3	0	1	0	1	0
Eukaryota;Rhodophyta;Florideophyceae;Gigartinales;Gigartinaceae;Chondrus	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Echinodermata;Holothuroidea;Dendrochirotida	0	0	2	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0	1	1	0	3	0	0	0	0	0	0	1	0	2	0	1	0	0	0
Eukaryota;Mollusca;Gastropoda;NA;Pyramidellidae;Miralda;Miralda sp. EED-Phy-918	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Bacillariophyceae;Cymbellales;Cymbellaceae;Cymbella;Cymbella cistuliformis	8	2	11	1	0	0	0	3	1	0	0	0	0	0	0	0	2	0	0	7	0	1	3	0	0	2	0	2	3	2	0	0	2	0	1	1	0	1	1	1	1	0	4	0	2	0	1	0	1	0	0	4	0	0	0
Eukaryota;Arthropoda;Hexanauplia;Calanoida;Pseudocyclopidae;Pseudocyclops;Pseudocyclops sp. Japan-RJH-2004	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Eukaryota;Platyhelminthes;Rhabditophora;Rhabdocoela;Promesostomidae;Promesostoma;Promesostoma sp. WW-2004	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Haptophyta;NA;Pavlovales;Pavlovaceae	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
