18S_Euk_seq_number	18S_Euk_Yell-July18-Site1p-S105	18S_Euk_Yell-July18-Site1w-S118	18S_Euk_Yell-July18-Site5cc-S134	18S_Euk_Yell-July18-Site1a-S83	18S_Euk_Yell-July18-Site1h-S94	18S_Euk_Yell-July18-Site5n-S115	18S_Euk_Yell-July18-Site5L-S109	18S_Euk_Yell-July18-Site1q-S106	18S_Euk_Yell-July18-Site5r-S123	18S_Euk_Yell-July18-Site1ee-S142	18S_Euk_Yell-July18-Site1n-S103	18S_Euk_Yell-July18-Site5q-S122	18S_Euk_Yell-July18-Site5w-S128	18S_Euk_Yell-July18-Site5b-S88	18S_Euk_Yell-July18-Site5s-S124	18S_Euk_Yell-July18-Site1J-S99	18S_Euk_Yell-July18-Site1c-S85	18S_Euk_Yell-July18-Site1k-S100	18S_Euk_Yell-July18-Site5e-S95	18S_Euk_Yell-July18-Site1cc-S140	18S_Euk_Yell-July18-Site5c-S89	18S_Euk_Yell-July18-Site1b-S84	18S_Euk_Yell-July18-Site1d-S86	18S_Euk_Yell-July18-Site5J-S107	18S_Euk_Yell-July18-Site5f-S96	18S_Euk_Yell-July18-Site1o-S104	18S_Euk_Yell-July18-Site1t-S113	18S_Euk_Yell-July18-Site1y-S120	18S_Euk_Yell-July18-Site5o-S116	18S_Euk_Yell-July18-Site1g-S93	18S_Euk_Yell-July18-Site5ff-S137	18S_Euk_Yell-July18-Site5m-S110	18S_Euk_Yell-July18-Site1v-S117	18S_Euk_Yell-July18-Site5a-S87	18S_Euk_Yell-July18-Site5ee-S136	18S_Euk_Yell-July18-Site1bb-S139	18S_Euk_Yell-July18-Site1L-S101	18S_Euk_Yell-July18-Site1r-S111	18S_Euk_Yell-July18-Site5h-S98	18S_Euk_Yell-July18-Site1dd-S141	18S_Euk_Yell-July18-Site1f-S92	18S_Euk_Yell-July18-Site1e-S91	18S_Euk_Yell-July18-Site5bb-S133	18S_Euk_Yell-July18-Site5p-S121	18S_Euk_Yell-July18-Site1m-S102	18S_Euk_Yell-July18-Site5u-S126	18S_Euk_Yell-July18-Site1s-S112	18S_Euk_Yell-July18-Site5v-S127	18S_Euk_Yell-July18-Site1z-S129	18S_Euk_Yell-July18-Site5aa-S132	18S_Euk_Yell-July18-Site5k-S108	18S_Euk_Yell-July18-Site5z-S131	18S_Euk_Yell-July18-Site1U-S114	18S_Euk_Yell-July18-Site5t-S125	18S_Euk_Yell-July18-Site5g-S97
Eukaryota;Cercozoa;Thecofilosea;Cryomonadida;Rhogostomidae;Rhogostoma;Rhogostoma schuessleri	992	115	2608	611	70	1356	284	699	1058	0	557	10	1	446	124	3	120	62	1235	302	57	560	81	0	10	330	1447	205	663	340	384	210	391	250	725	95	105	99	375	240	788	52	2176	623	140	77	94	529	249	2241	28	779	1	1020	0
Eukaryota;NA;Raphidophyceae;Chattonellales;Chattonellaceae;Heterosigma;Heterosigma akashiwo	5436	6456	404	15766	3134	1456	76	1420	3885	0	11131	1	0	373	2880	31	3635	4289	1859	11048	1029	9335	4264	0	18	7303	2898	3407	115	2050	9397	53	3164	309	12176	13135	607	2589	402	14933	8557	678	319	146	5622	3950	4098	3041	5464	308	792	1912	17	191	0
Eukaryota;Cercozoa;Thecofilosea;Cryomonadida;Protaspidae;Cryothecomonas;Cryothecomonas aestivalis	42	23	49	32	1	16	9	8	10	0	23	0	0	21	22	1	4	28	23	19	3	18	5	0	2	10	23	8	15	20	3	6	17	7	31	13	6	2	16	22	19	3	40	17	15	3	6	2	7	45	2	50	0	14	0
Eukaryota;Cercozoa;Thecofilosea;NA;Ebriacea;Ebria;Ebria tripartita	106	314	106	348	13	94	5	51	1048	0	175	0	0	0	2	1	32	6	199	601	6	130	22	0	0	106	113	158	61	70	14	5	88	12	3000	757	26	94	44	541	68	9	82	22	27	33	371	24	457	116	8	289	1	42	0
Eukaryota;Arthropoda;Hexanauplia;Poecilostomatoida;Corycaeidae;Corycaeus;Corycaeus speciosus	1261	1	5	1116	10	65	29	0	0	0	707	1	0	33	6	11	0	518	2	4588	30	0	14	0	0	3053	477	319	0	388	393	267	3386	1083	370	55	136	1233	0	793	5	8	0	0	277	0	1012	66	1	1214	194	544	0	0	0
Eukaryota;Arthropoda;Hexanauplia;Calanoida;Temoridae	0	0	17	0	0	0	416	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	561	0
Archaea;Candidatus Thermoplasmatota;Candidatus Poseidoniia;Candidatus Poseidoniales;Candidatus Thalassarchaeaceae;Candidatus Thalassarchaeum;Candidatus Thalassoarchaea mediterranii	7305	4217	1604	4999	834	1560	483	956	1467	0	1201	2	0	796	463	6	1701	710	1619	10492	422	3153	3101	1	24	1830	1262	1412	224	738	7613	523	1280	774	2210	4597	298	968	1197	5680	2307	83	1157	562	1787	438	3033	993	2515	1282	756	1933	8	405	0
Eukaryota;Arthropoda;Hexanauplia;Calanoida;Clausocalanidae;Pseudocalanus;Pseudocalanus newmani	112	23	8388	9224	2259	2044	17268	45	977	0	2546	70	0	41985	10173	13	20	1111	5062	26	4767	30	1191	26	552	3526	26333	55	2132	1348	14387	9577	289	67917	26233	2451	399	3064	9440	4735	22212	0	5955	23239	888	2051	7013	103	1239	10618	8898	21520	1	29816	0
Eukaryota;Rhodophyta;Florideophyceae	503	208	454	614	89	374	52	235	260	0	449	3	0	47	16	3	85	26	438	159	3	310	83	0	4	184	359	305	133	406	67	19	79	87	102	83	120	79	132	2512	1043	77	367	39	79	15	161	148	134	558	11	522	1	94	0
Eukaryota;Arthropoda;Hexanauplia	3093	3256	55	13213	2908	3176	4070	593	3472	0	20042	6	2	102	5125	5	3314	7370	169	1096	2325	8925	8593	2	537	1094	1876	2183	141	2416	13514	137	11415	930	6225	11796	689	25968	19983	5173	1416	1638	38	392	13309	8692	25	5298	4756	114	1324	1016	27	8609	0
