18S_Euk_seq_number	18S_Euk_Yell-July18-Site5cc-S134	18S_Euk_Yell-July18-Site5L-S109	18S_Euk_Yell-July18-Site1p-S105	18S_Euk_Yell-July18-Site1o-S104	18S_Euk_Yell-July18-Site5u-S126	18S_Euk_Yell-July18-Site1e-S91	18S_Euk_Yell-July18-Site1m-S102	18S_Euk_Yell-July18-Site1L-S101	18S_Euk_Yell-July18-Site1g-S93	18S_Euk_Yell-July18-Site1r-S111	18S_Euk_Yell-July18-Site5h-S98	18S_Euk_Yell-July18-Site1J-S99	18S_Euk_Yell-July18-Site1b-S84	18S_Euk_Yell-July18-Site5bb-S133	18S_Euk_Yell-July18-Site1s-S112	18S_Euk_Yell-July18-Site5c-S89	18S_Euk_Yell-July18-Site1U-S114	18S_Euk_Yell-July18-Site5J-S107	18S_Euk_Yell-July18-Site5aa-S132	18S_Euk_Yell-July18-Site5s-S124	18S_Euk_Yell-July18-Site1d-S86	18S_Euk_Yell-July18-Site5p-S121	18S_Euk_Yell-July18-Site1n-S103	18S_Euk_Yell-July18-Site1q-S106	18S_Euk_Yell-July18-Site1k-S100	18S_Euk_Yell-July18-Site5e-S95	18S_Euk_Yell-July18-Site5q-S122	18S_Euk_Yell-July18-Site1f-S92	18S_Euk_Yell-July18-Site1h-S94	18S_Euk_Yell-July18-Site1y-S120	18S_Euk_Yell-July18-Site1z-S129	18S_Euk_Yell-July18-Site1ee-S142	18S_Euk_Yell-July18-Site5ee-S136	18S_Euk_Yell-July18-Site1c-S85	18S_Euk_Yell-July18-Site1bb-S139	18S_Euk_Yell-July18-Site5g-S97	18S_Euk_Yell-July18-Site1v-S117	18S_Euk_Yell-July18-Site1w-S118	18S_Euk_Yell-July18-Site5w-S128	18S_Euk_Yell-July18-Site1t-S113	18S_Euk_Yell-July18-Site5r-S123	18S_Euk_Yell-July18-Site5a-S87	18S_Euk_Yell-July18-Site1dd-S141	18S_Euk_Yell-July18-Site5t-S125	18S_Euk_Yell-July18-Site5z-S131	18S_Euk_Yell-July18-Site5n-S115	18S_Euk_Yell-July18-Site5k-S108	18S_Euk_Yell-July18-Site1cc-S140	18S_Euk_Yell-July18-Site5m-S110	18S_Euk_Yell-July18-Site5v-S127	18S_Euk_Yell-July18-Site5ff-S137	18S_Euk_Yell-July18-Site5o-S116	18S_Euk_Yell-July18-Site5b-S88	18S_Euk_Yell-July18-Site1a-S83	18S_Euk_Yell-July18-Site5f-S96
Eukaryota;Ciliophora;Oligohymenophorea;Astomatida	4	1	1	0	0	0	1	0	0	0	2	0	0	0	2	0	0	0	5	0	0	0	1	2	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	2	0	0	0	0	0	0	0	0	2	0
Bacteria;Pseudomonadota;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;Legionella sp. HYMO-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Eukaryota;Chlorophyta;Chlorodendrophyceae;Chlorodendrales;Chlorodendraceae;Tetraselmis	5	0	2	4	0	0	0	0	5	2	0	0	1	8	6	3	0	0	14	1	22	0	1	1	0	2	0	0	1	6	6	0	3	1	5	0	8	7	0	0	2	0	6	5	20	8	14	4	0	19	12	5	7	8	0
Eukaryota;NA;Centroplasthelida;Pterocystida	1	1	4	0	0	0	1	0	1	0	5	0	2	6	0	0	0	0	4	0	0	3	3	5	0	3	0	2	0	1	0	0	1	0	0	0	3	0	0	3	1	0	2	2	1	1	0	0	3	0	1	0	1	2	0
Eukaryota;Chordata;Actinopteri	1	2	9	7	0	0	4	0	0	0	6	0	2	3	2	0	0	0	2	2	0	0	2	0	1	3	0	3	2	0	6	0	1	1	12	0	6	4	0	2	2	0	4	0	2	2	0	14	2	1	2	3	4	3	0
Eukaryota;Basidiomycota;Agaricomycetes;Amylocorticiales;Amylocorticiaceae;Plicaturopsis;Plicaturopsis crispa	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0
Eukaryota;NA;Centroplasthelida;Pterocystida;Pterocystidae;Chlamydaster;Chlamydaster sterni	1	1	16	1	1	0	0	0	0	0	1	0	2	6	0	0	0	0	5	2	0	1	1	2	1	1	0	2	0	0	0	0	0	0	1	0	0	1	0	3	2	0	1	1	1	3	1	4	0	0	0	0	0	5	0
Eukaryota;Rhodophyta;Florideophyceae;Batrachospermales;Batrachospermaceae;Nothocladus;Nothocladus nodosus	0	1	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
Bacteria;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Psychrobacter;Psychrobacter meningitidis	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	3	1	0	1	0	0	0	0	0	3	0
Eukaryota;Annelida;Polychaeta;Eunicida;Dorvilleidae;Parougia;Parougia bermudensis	0	1	8	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	1	0	1	0	0	1	0	3	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0
Eukaryota;Annelida;Polychaeta;NA;Capitellidae	258	5	48	6	3	1	5	0	0	8	136	0	12	194	15	0	0	0	145	2	8	16	24	10	2	459	0	4	1	1	23	0	10	11	16	0	4	42	0	35	46	2	18	1	397	24	3	22	0	12	42	35	5	19	10
Eukaryota;Endomyxa;NA;Vampyrellida;Sericomyxidae;Sericomyxa;Sericomyxa perlucida	4	2	6	0	0	0	1	0	4	0	9	0	0	2	1	0	0	0	3	0	0	3	0	2	0	0	0	7	0	0	0	0	2	0	0	0	0	0	0	7	0	0	1	5	3	0	0	3	2	0	2	0	0	3	0
Eukaryota;NA;Bigyra;Oblongichytrida;NA;Oblongichytrium;Oblongichytrium sp. AR2-23	3	0	3	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	2	0	2	3	1	1	0	4	0	1	1	1	0	0	0	0	1	0	0	1	0	1	3	0	0	0	5	1	0	2	0	1	2	3	0	1	0
Eukaryota;Annelida;Polychaeta;NA;Parergodrilidae;Stygocapitella	12	4	4	4	0	0	2	0	0	1	10	0	1	10	0	0	0	0	14	1	1	7	0	2	3	12	0	7	1	3	0	0	4	3	1	0	1	2	0	14	7	0	4	12	9	2	0	5	3	2	16	4	0	4	0
Eukaryota;Ciliophora;Oligohymenophorea;Philasterida;Orchitophryidae;Anophryoides;Anophryoides haemophila	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Eukaryota;NA;Choanoflagellata;Craspedida;Salpingoecidae;Salpingoeca;Salpingoeca tuba	4	1	2	7	2	0	7	0	3	2	1	0	5	1	4	0	0	0	2	0	1	1	10	5	0	3	0	7	0	5	3	0	1	4	5	0	2	5	0	1	0	3	2	1	2	1	0	13	0	0	0	0	2	2	0
Eukaryota;Ciliophora;Spirotrichea;Sporadotrichida;Oxytrichidae;Protogastrostyla;Protogastrostyla pulchra	0	0	2	2	0	0	1	0	0	3	8	0	3	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	1	3	0	0	1	0	0	1	0	0	8	0	0	0	0	0	0	0	1	0	0	0	5	0	3	0
Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Stauroneidaceae	13	1	28	3	0	1	6	0	6	0	8	0	2	13	4	0	0	0	5	0	4	2	6	8	0	3	0	4	0	4	2	0	2	3	6	0	3	10	0	16	1	0	3	1	13	0	0	5	0	1	0	2	0	3	0
Eukaryota;Arthropoda;Hexanauplia;Cyclopoida;Cyclopidae;Eucyclops;Eucyclops cf. serrulatus clade V	0	0	0	1	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Eukaryota;Annelida;Clitellata;Tubificida;Naididae;Tubifex;Tubifex tubifex	10	0	2	0	0	0	0	0	0	0	7	0	0	13	1	0	0	0	6	0	0	1	0	1	0	15	0	2	0	1	1	0	0	0	0	0	1	0	0	0	3	0	1	0	17	6	0	0	0	0	1	1	1	1	0
Eukaryota;NA;Dinophyceae;Dinophysiales;Dinophysiaceae;Phalacroma;Phalacroma rotundatum	0	0	0	1	0	0	0	0	0	4	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	2	0	4	2	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	2	0
Eukaryota;NA;NA;Apusomonadida;Apusomonadidae;Podomonas;Podomonas kaiyoae	11	2	4	2	1	0	3	0	0	0	3	0	4	7	1	0	0	0	4	1	0	0	1	2	1	13	0	4	0	1	3	0	2	1	0	0	1	0	0	0	0	5	1	3	8	1	0	7	4	0	2	1	2	5	0
Eukaryota;Arthropoda	11	6	67	2	5	2	12	1	3	3	67	1	4	5	9	3	0	0	5	2	5	5	11	3	9	17	0	9	4	6	3	0	38	6	4	0	7	0	0	6	4	14	2	40	5	1	4	5	5	4	17	5	34	1	3
Eukaryota;Basidiomycota;Agaricomycetes;Agaricales;Hygrophoraceae;Humidicutis	0	0	2	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	3	0	0	1	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	1	0	1	0	1	2	2	1	0	0	0	0	0	1	1	1	2	0
Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Phialellidae;Phialella;Phialella quadrata	0	0	2	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	8	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0
Eukaryota;Euglenozoa;Euglenida;NA;NA;Rapaza;Rapaza viridis	0	0	1	1	0	0	2	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	3	0	1	2	0	6	1	0	4	0	1	1	3	0	0	4	0	3	0	1	2	0	1	0	0	5	0	0	0	0	0	5	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Sneathiellales;Sneathiellaceae;Sneathiella	11	1	5	4	0	0	0	0	1	0	9	0	3	5	4	0	0	0	5	0	2	1	0	0	0	4	0	3	1	2	5	0	1	0	5	0	0	0	0	0	2	0	3	2	3	0	0	6	5	0	1	0	1	2	0
Eukaryota;Ciliophora;Colpodea;NA;NA;NA;Uncultured marine colpodean ciliate DH147-EKD23	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	3	0	0	3	0	0	0	1	2	0	0	0	0	1	0	0	0	0	1	3	0
Eukaryota;Euglenozoa;Euglenida;Petalomonadida;Scytomonadidae;Petalomonas;Petalomonas cantuscygni	1	0	0	1	0	0	0	0	2	1	0	0	2	2	0	0	0	0	0	0	0	0	0	2	0	0	0	8	0	2	0	0	0	0	0	0	0	0	0	1	3	0	0	0	1	0	0	0	0	0	0	0	0	3	0
Eukaryota;Rhodophyta;Florideophyceae;Ceramiales;Ceramiaceae;Pterothamnion;Pterothamnion plumula	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae	3	1	4	1	0	0	2	0	0	0	0	0	3	1	3	0	0	0	5	0	0	0	1	1	0	1	0	1	0	1	1	0	0	0	2	0	2	2	0	0	2	0	3	1	8	0	0	1	0	0	1	0	1	4	0
Eukaryota;Mollusca;Polyplacophora;Chitonida;Tonicellidae;Cyanoplax;Cyanoplax dentiens	3	3	6	1	1	0	1	0	0	1	2	0	0	5	0	1	0	0	6	10	0	3	1	3	1	7	0	7	0	0	2	0	4	1	2	0	2	0	0	6	1	1	2	25	7	1	0	3	5	1	4	1	6	5	0
Eukaryota;Discosea;Flabellinia;Dactylopodida;Paramoebidae;Paramoeba	0	1	6	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	3	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	0	0	0	0	0	3	0
Eukaryota;Discosea;Flabellinia;NA;Vannellidae	10	0	12	2	0	2	0	0	4	0	0	0	2	10	0	0	0	0	7	0	1	0	7	2	1	8	0	9	0	0	0	0	0	1	0	0	0	0	0	9	0	1	0	0	10	0	0	1	0	0	0	0	2	5	0
Eukaryota;Ciliophora;Phyllopharyngea;Endogenida;Acinetidae;Paracineta;Paracineta limbata	1	0	0	1	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0
Eukaryota;Annelida;Polychaeta;NA;Parergodrilidae;Stygocapitella;Stygocapitella josemariobrancoi	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0
Eukaryota;Arthropoda;Hexanauplia;Harpacticoida;Aegisthidae	0	1	13	0	2	0	2	0	3	1	13	0	0	0	0	0	0	0	1	3	0	1	1	0	4	2	0	3	1	1	0	0	2	2	0	0	5	0	0	5	1	0	1	6	0	0	0	4	0	0	0	0	0	1	1
Eukaryota;Ciliophora;Spirotrichea;Choreotrichida;Strombidinopsidae;Strombidinopsis;Strombidinopsis sp.	6	31	4	17	1	0	3	0	0	0	18	0	0	2	5	2	0	0	20	13	2	31	14	2	4	9	0	8	1	1	0	0	43	0	9	0	3	4	0	8	4	2	4	28	12	1	0	15	34	1	33	4	8	3	0
Eukaryota;Basidiomycota;Agaricomycetes	5	0	2	0	0	0	0	0	0	0	3	0	0	2	1	0	0	0	4	1	0	0	0	3	1	3	0	4	6	0	1	0	2	0	0	0	0	3	0	1	0	1	1	2	4	1	0	0	0	0	52	0	0	1	0
Eukaryota;NA;Dinophyceae;Peridiniales;Kryptoperidiniaceae;Durinskia;Durinskia capensis	3	1	1	0	1	0	0	0	0	0	1	0	0	5	2	1	0	0	6	1	0	0	1	0	0	7	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	1	0	1	0
Eukaryota;Arthropoda;Hexanauplia;Harpacticoida;Ameiridae;Nitokra;Nitokra hibernica	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0
Eukaryota;Bryozoa;Stenolaemata;Cyclostomatida	0	0	5	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
Eukaryota;NA;Dinophyceae;Thoracosphaerales;Thoracosphaeraceae;Stoeckeria;Stoeckeria algicida	0	0	7	2	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	3	0	4	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	6	0
Eukaryota;Annelida;Polychaeta;Terebellida	32	2	176	76	0	0	3	0	5	1	76	0	2	26	7	0	0	0	26	2	1	4	201	40	2	109	0	45	6	3	3	0	1	1	2	0	5	1	0	15	13	0	0	1	37	8	0	5	0	2	2	8	0	6	0
Eukaryota;Arthropoda;Hexanauplia;Calanoida;Clausocalanidae	243	4803	21	2	2	0	4	0	0	622	16541	0	6	0	5	1129	0	2	4629	5420	2	9028	22	4	1	4058	5	7	3	3	0	0	5144	1	4	0	3	3	0	1402	3	10521	5	3537	3	0	2660	120	3768	0	2054	11	12802	3	2
Eukaryota;Arthropoda;Hexanauplia;Cyclopoida;Oithonidae;Oithona;Oithona similis	0	0	0	0	0	0	0	0	0	3	2	0	0	0	8	0	0	0	0	0	1	1	0	1	0	0	0	23	0	0	0	0	2	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	1	0
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Thiovulaceae;Sulfurimonas	5	1	2	0	0	0	0	0	2	0	6	0	2	5	0	0	0	0	6	0	0	3	0	0	0	9	0	1	2	1	0	0	3	0	0	0	0	1	0	0	0	0	0	4	2	2	0	0	1	1	0	2	2	2	0
Eukaryota;Chlorophyta;Ulvophyceae;Ulotrichales;Ulotrichaceae;Acrosiphonia;Acrosiphonia arcta	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Holosporales	4	0	7	3	1	1	1	0	4	3	0	0	4	5	6	0	0	0	4	2	1	1	2	0	1	3	0	1	0	1	4	0	3	3	7	0	3	3	0	1	2	0	12	0	14	4	0	8	1	0	0	3	2	5	0
Eukaryota;Chlorophyta;Mamiellophyceae;Dolichomastigales;Crustomastigaceae;Crustomastix	2	0	7	2	1	0	4	0	2	1	0	0	0	1	5	0	0	0	2	0	1	0	2	1	2	0	0	1	1	0	3	0	0	3	3	0	2	5	0	2	0	1	3	0	1	0	0	11	0	0	0	0	3	3	0
Eukaryota;Chordata;Mammalia	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
Eukaryota;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Hypsibius;Hypsibius convergens	1	2	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	1	1	0	1	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	2	1	13	0	9	6	0	1	0	0	0	4	0	10	2	0
Eukaryota;NA;Dinophyceae;Syndiniales;Amoebophryaceae;Amoebophrya;Amoebophrya sp. ex Prorocentrum minimum	3	1	10	0	1	0	0	0	2	0	6	0	2	2	13	0	0	0	3	14	3	0	1	2	1	0	0	7	1	1	1	0	2	3	4	0	13	5	0	0	0	1	27	1	2	0	0	15	3	0	0	0	0	2	0
Eukaryota;Ciliophora;Oligohymenophorea;Peniculida;Urocentridae;Urocentrum;Urocentrum sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Eukaryota;Arthropoda;Hexanauplia;Harpacticoida;Harpacticidae;Zaus;Zaus caeruleus	1	0	37	13	3	1	3	0	9	0	1	0	6	1	5	3619	0	0	2	10	2	0	1	3	8	2	1	5	3	1	3	0	1	4	3	0	10	3	0	17	0	1	1	2	2	351	0	44	2	0	21	0	0	6	0
Eukaryota;NA;Dinophyceae;NA;NA;Madanidinium;Madanidinium loirii	1	1	2	0	1	0	2	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	1	0	1	2	0	1	0	0	1	0	1	0	2	0	2	1	0	0	0	0	4	0	8	0	1	2	0	0	0	0	1	3	0
Eukaryota;Euglenozoa;NA;Diplonemea;NA;NA;Diplonemida sp. 9sb RG-2016	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
Eukaryota;Rhodophyta;Florideophyceae;Plocamiales;Plocamiaceae;Plocamium	0	0	8	5	2	2	2	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	2	3	0	0	0	7	0	1	2	0	0	2	0	0	2	2	0	2	0	0	4	0	0	0	0	5	0	0	0	0	0	5	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;NA;alpha proteobacterium HIMB5	4	0	8	0	1	0	0	0	1	0	2	0	0	3	1	0	0	0	2	0	2	1	0	1	1	3	0	0	1	1	1	0	1	0	4	0	0	5	0	1	1	0	3	0	4	3	0	5	2	0	4	0	0	2	0
Eukaryota;Haptophyta;NA;Prymnesiales;Prymnesiaceae;Haptolina;Haptolina ericina	6	0	28	7	1	0	7	0	3	16	2	0	45	0	10	0	0	0	4	0	1	0	19	9	6	5	0	20	0	9	12	0	2	771	10	0	7	13	0	5	1	2	11	0	2	2	0	31	0	1	2	1	4	20	1
Eukaryota;NA;Dinophyceae;Gonyaulacales;Gonyaulacaceae;Spiniferites;Spiniferites mirabilis	0	0	1	1	0	1	1	0	0	2	0	0	1	1	2	0	0	0	2	0	0	0	2	0	1	0	0	0	1	0	0	0	0	1	4	0	0	4	0	2	9	0	2	0	0	1	0	3	0	0	0	0	0	4	0
Eukaryota;Ciliophora;Spirotrichea;Euplotida;Uronychiidae;Uronychia	0	0	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	5	0	0	1	0	0	0	0	39	0	0	0	0	0	3	0
Eukaryota;Evosea;NA;Mastigamoebida;Entamoebidae;Entamoeba;Entamoeba sp. PGF-2009	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	2	1	0	0	0	1	0	0	2	0	2	1	0
Eukaryota;Platyhelminthes;Rhabditophora;Macrostomida	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	1	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	1	1	0	2	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira concaviuscula	4	0	2	1	0	0	0	0	2	2	6	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	2	0	1	0	1	0	0	0	0	0	0	0	2	1	5	0	0	1	0	0	1	1	0	1	0
Eukaryota;Ascomycota;Dothideomycetes;Pleosporales	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0
Eukaryota;NA;Xanthophyceae;Tribonematales;Tribonemataceae;Tribonema;Tribonema marinum	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	5	0	1	1	5	0	0	0	0	0	1	3	0	2	0
Eukaryota;Mollusca;Gastropoda;Trochida;Trochidae;NA;Trochidae gen. sp. SWA-2010	0	0	37	7	1	1	7	0	3	13	0	0	11	0	17	0	0	0	0	0	4	0	8	4	4	0	0	27	2	24	21	0	0	3	7	0	7	27	0	12	1	0	11	0	0	0	0	18	0	0	0	0	1	13	0
Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Pleuronectes;Pleuronectes platessa	5	8	13	3	2	0	1	0	1	2	17	0	3	7	2	0	0	0	14	10	1	8	5	3	3	14	0	1	0	1	3	0	11	2	8	0	9	9	0	5	0	10	8	5	8	1	1	20	4	0	4	4	16	6	0
Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Aequoreidae;Aequorea	0	1	39	5	0	0	0	0	0	1	1	0	14	1	0	1	0	0	5	8	3	2	12	8	0	3	0	9	1	13	0	0	1	3	0	0	2	0	0	8	0	0	4	1	3	0	0	2	0	0	0	1	1	10	0
Eukaryota;NA;Phaeophyceae;Fucales;Sargassaceae;Sargassum;Sargassum wightii	0	0	2	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	2	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0
Eukaryota;Ciliophora;Oligohymenophorea;Sessilida;Vorticellidae;Pseudovorticella;Pseudovorticella annulata	70	1	3	1	0	0	0	0	0	1	10	0	0	57	46	0	0	0	1	0	0	2	1	1	0	6	0	3	0	0	2	0	13	2	1	0	1	0	0	4	9	0	0	0	1	3	0	0	3	0	12	0	0	1	0
Eukaryota;Endomyxa;Ascetosporea;Haplosporida;Haplosporidiidae	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
Eukaryota;Nemertea;Pilidiophora;Heteronemertea;Lineidae	3	4	10	0	1	0	0	0	0	0	25	0	2	3	2	1	0	0	4	0	0	32	1	0	0	6	0	2	1	0	4	0	7	2	0	0	0	2	0	1	1	5	1	4	3	14	1	2	12	1	6	0	4	3	0
Eukaryota;Ciliophora;Oligohymenophorea;Apostomatida;Pseudocolliniidae;Fusiforma;Fusiforma themisticola	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0
Eukaryota;Cercozoa;Imbricatea;Thaumatomonadida;Thaumatomastigidae;Protaspis;Protaspis obliqua	10	1	1	3	0	0	0	0	0	0	1	0	1	6	1	0	0	0	5	1	3	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	4	3	0	0	0	2	1	1	0	1	0
Eukaryota;Porifera;Demospongiae;Chondrillida;Chondrillidae;Chondrosia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Eukaryota;NA;Dinophyceae;Prorocentrales;Prorocentraceae;Prorocentrum;Prorocentrum gracile	1	2	0	3	3	0	0	0	1	3	3	0	4	4	4	1	0	0	4	1	1	2	1	2	0	1	0	2	0	2	12	0	2	1	8	0	1	8	0	4	2	1	2	1	2	1	0	5	0	0	3	0	0	8	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Rhizobium;Rhizobium leguminosarum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Eukaryota;Ciliophora;Spirotrichea;NA;Strombidiidae;Laboea;Laboea strobila	0	0	0	84	25	7	1	0	0	2	1	0	24	0	188	0	0	0	1	9	46	2	79	0	62	62	0	69	4	15	40	0	9	45	131	0	105	72	0	35	0	0	0	3	0	0	0	254	0	0	1	0	0	5	0
