18S_Euk_seq_number	18S_Euk_Yell-July18-Site5cc-S134	18S_Euk_Yell-July18-Site5L-S109	18S_Euk_Yell-July18-Site1p-S105	18S_Euk_Yell-July18-Site1o-S104	18S_Euk_Yell-July18-Site5u-S126	18S_Euk_Yell-July18-Site1e-S91	18S_Euk_Yell-July18-Site1m-S102	18S_Euk_Yell-July18-Site1L-S101	18S_Euk_Yell-July18-Site1g-S93	18S_Euk_Yell-July18-Site1r-S111	18S_Euk_Yell-July18-Site5h-S98	18S_Euk_Yell-July18-Site1J-S99	18S_Euk_Yell-July18-Site1b-S84	18S_Euk_Yell-July18-Site5bb-S133	18S_Euk_Yell-July18-Site1s-S112	18S_Euk_Yell-July18-Site5c-S89	18S_Euk_Yell-July18-Site1U-S114	18S_Euk_Yell-July18-Site5J-S107	18S_Euk_Yell-July18-Site5aa-S132	18S_Euk_Yell-July18-Site5s-S124	18S_Euk_Yell-July18-Site1d-S86	18S_Euk_Yell-July18-Site5p-S121	18S_Euk_Yell-July18-Site1n-S103	18S_Euk_Yell-July18-Site1q-S106	18S_Euk_Yell-July18-Site1k-S100	18S_Euk_Yell-July18-Site5e-S95	18S_Euk_Yell-July18-Site5q-S122	18S_Euk_Yell-July18-Site1f-S92	18S_Euk_Yell-July18-Site1h-S94	18S_Euk_Yell-July18-Site1y-S120	18S_Euk_Yell-July18-Site1z-S129	18S_Euk_Yell-July18-Site1ee-S142	18S_Euk_Yell-July18-Site5ee-S136	18S_Euk_Yell-July18-Site1c-S85	18S_Euk_Yell-July18-Site1bb-S139	18S_Euk_Yell-July18-Site5g-S97	18S_Euk_Yell-July18-Site1v-S117	18S_Euk_Yell-July18-Site1w-S118	18S_Euk_Yell-July18-Site5w-S128	18S_Euk_Yell-July18-Site1t-S113	18S_Euk_Yell-July18-Site5r-S123	18S_Euk_Yell-July18-Site5a-S87	18S_Euk_Yell-July18-Site1dd-S141	18S_Euk_Yell-July18-Site5t-S125	18S_Euk_Yell-July18-Site5z-S131	18S_Euk_Yell-July18-Site5n-S115	18S_Euk_Yell-July18-Site5k-S108	18S_Euk_Yell-July18-Site1cc-S140	18S_Euk_Yell-July18-Site5m-S110	18S_Euk_Yell-July18-Site5v-S127	18S_Euk_Yell-July18-Site5ff-S137	18S_Euk_Yell-July18-Site5o-S116	18S_Euk_Yell-July18-Site5b-S88	18S_Euk_Yell-July18-Site1a-S83	18S_Euk_Yell-July18-Site5f-S96
Eukaryota;NA;Raphidophyceae;Chattonellales;Chattonellaceae;Heterosigma;Heterosigma akashiwo	404	76	5436	7303	3950	678	5622	607	2050	2589	402	31	9335	319	4098	1029	17	0	308	2880	4264	146	11131	1420	4289	1859	1	8557	3134	3407	5464	0	12176	3635	13135	0	3164	6456	0	2898	3885	309	14933	191	1912	1456	792	11048	53	3041	9397	115	373	15766	18
Eukaryota;Cercozoa;Thecofilosea;Cryomonadida;Protaspidae;Cryothecomonas;Cryothecomonas aestivalis	49	9	42	10	3	3	15	6	20	2	16	1	18	40	6	3	0	0	45	22	5	17	23	8	28	23	0	19	1	8	7	0	31	4	13	0	17	23	0	23	10	7	22	14	50	16	2	19	6	2	3	15	21	32	2
Eukaryota;Cercozoa;Thecofilosea;NA;Ebriacea;Ebria;Ebria tripartita	106	5	106	106	33	9	27	26	70	94	44	1	130	82	371	6	1	0	116	2	22	22	175	51	6	199	0	68	13	158	457	0	3000	32	757	0	88	314	0	113	1048	12	541	42	289	94	8	601	5	24	14	61	0	348	0
Eukaryota;Arthropoda;Hexanauplia;Poecilostomatoida;Corycaeidae;Corycaeus;Corycaeus speciosus	5	29	1261	3053	0	8	277	136	388	1233	0	11	0	0	1012	30	0	0	1214	6	14	0	707	0	518	2	1	5	10	319	1	0	370	0	55	0	3386	1	0	477	0	1083	793	0	544	65	194	4588	267	66	393	0	33	1116	0
Eukaryota;Arthropoda;Hexanauplia;Calanoida;Temoridae	17	416	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	561	1	0	0	0	0	0	0	0	0	0	0
Archaea;Candidatus Thermoplasmatota;Candidatus Poseidoniia;Candidatus Poseidoniales;Candidatus Thalassarchaeaceae;Candidatus Thalassarchaeum;Candidatus Thalassoarchaea mediterranii	1604	483	7305	1830	438	83	1787	298	738	968	1197	6	3153	1157	3033	422	8	1	1282	463	3101	562	1201	956	710	1619	2	2307	834	1412	2515	0	2210	1701	4597	0	1280	4217	0	1262	1467	774	5680	405	1933	1560	756	10492	523	993	7613	224	796	4999	24
Eukaryota;Arthropoda;Hexanauplia;Calanoida;Clausocalanidae;Pseudocalanus;Pseudocalanus newmani	8388	17268	112	3526	2051	0	888	399	1348	3064	9440	13	30	5955	7013	4767	1	26	10618	10173	1191	23239	2546	45	1111	5062	70	22212	2259	55	1239	0	26233	20	2451	0	289	23	0	26333	977	67917	4735	29816	21520	2044	8898	26	9577	103	14387	2132	41985	9224	552
Eukaryota;Rhodophyta;Florideophyceae	454	52	503	184	15	77	79	120	406	79	132	3	310	367	161	3	1	0	558	16	83	39	449	235	26	438	3	1043	89	305	134	0	102	85	83	0	79	208	0	359	260	87	2512	94	522	374	11	159	19	148	67	133	47	614	4
Eukaryota;Arthropoda;Hexanauplia	55	4070	3093	1094	8692	1638	13309	689	2416	25969	19983	5	8925	38	26	2325	27	2	114	5125	8593	392	20043	593	7371	170	6	1416	2908	2183	4756	0	6225	3314	11796	0	11415	3256	2	1876	3472	930	5173	8609	1016	3177	1324	1096	137	5298	13514	141	102	13213	537
Eukaryota;Chordata;Appendicularia;Copelata;Oikopleuridae;Oikopleura;Oikopleura dioica	47	15	742	212	95	15	364	27	94	209	30	2	221	33	415	10	0	0	274	57	246	56	210	172	99	59	1	321	86	145	220	0	64	229	531	0	365	542	0	343	20	40	202	67	48	27	3	568	15	2	67	43	34	604	1
Eukaryota;Chordata;Ascidiacea;Stolidobranchia;Pyuridae	0	0	9	1	1	0	3	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	3	2	1	0	0	6	0	3	3	0	0	3	3	0	9	7	0	2	0	1	9	0	1	5	0	10	0	0	0	0	1	3	0
Eukaryota	79717	35528	121409	26819	4678	3428	21665	11977	41359	11157	102201	116	15874	66084	19655	3471	104	8	46552	17708	15254	23070	27271	34474	8056	127310	499	45918	12869	19050	18403	0	60708	15641	13551	1	29031	31518	1	17952	19824	9029	30472	62582	100804	16315	5454	45855	25043	9366	49338	11087	9001	22598	1907
Eukaryota;Bacillariophyta	13652	1984	11812	2885	1543	189	1685	1318	4872	721	9813	5	859	11832	2126	362	45	0	11123	2067	3570	1225	1128	6502	264	3503	16	2496	637	4668	2682	0	4041	1337	1875	0	1369	4579	0	1803	7487	370	5711	4987	8111	1165	222	5212	1218	2191	4045	4290	488	1729	34
Eukaryota;Haptophyta;NA;Phaeocystales;Phaeocystaceae;Phaeocystis;Phaeocystis globosa	50	16	116	27	9	3	19	6	14	29	29	1	44	29	27	3	0	0	31	2	10	7	28	16	13	65	0	54	13	12	17	0	10	37	20	0	19	53	0	23	162	16	38	7	36	68	1	88	6	1	3	6	9	46	0
Eukaryota;Cnidaria;Hydrozoa;Siphonophorae	1	0	5	5	0	0	1	0	0	0	1	24	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Eukaryota;NA;Dinophyceae;Gymnodiniales;Kareniaceae;Takayama;Takayama cf. pulchellum	54	24	294	106	42	7	110	6	27	68	51	1	144	50	164	5	0	0	58	4	335	7	105	64	41	102	0	132	19	73	113	0	50	80	165	0	84	209	0	54	9	1698	228	13	99	25	10	389	21	2	26	17	68	170	2
Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Diphyidae;Diphyes;Diphyes chamissonis	1	0	1	3	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Cnidaria;Hydrozoa;Leptothecata	33	8	268	26	0	1	9	0	13	4	45	12	18	34	47	55	0	0	331	3	5	57	23	32	3	59	0	61	9	17	24	0	11	7	12	0	7	8	0	51	7	8	11	6	23	5	2	16	9	1	7	12	10	28	2
Eukaryota;Ciliophora;Spirotrichea;NA;Strombidiidae;Strombidium;Strombidium sp.	666	309	2427	3955	1107	296	1726	95	349	1553	317	9	2327	541	3870	1207	6	0	505	1722	1286	205	5058	531	734	961	3	7257	1003	1136	2323	0	436	1587	5348	0	1760	4101	0	958	2953	511	5028	220	1732	583	1500	5498	229	220	5906	153	774	4695	17
Eukaryota;NA;Dinophyceae	1942	652	2276	2518	916	137	1722	232	769	1652	808	10	2515	1403	3175	122	2	1	1014	1076	1485	610	2522	572	1106	1515	7	2509	492	1136	2366	0	2305	1954	2336	0	1940	2523	0	879	2122	431	4969	712	1723	1437	438	4598	547	338	5720	304	680	5376	33
Eukaryota;Nemertea;Pilidiophora;Heteronemertea;Lineidae;Maculaura;Maculaura alaskensis	127	44	2020	625	237	42	235	46	193	313	137	1	694	128	526	46	3	0	76	37	397	85	605	373	92	182	2	647	436	946	12042	0	55	1432	1320	0	440	1085	0	416	501	46	1790	66	144	52	127	3523	42	6	1335	16	55	920	2
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema;Skeletonema pseudocostatum	31	5	261	147	17	0	124	22	83	58	9	1	46	17	274	2	0	0	31	0	63	7	39	100	33	32	1	47	7	108	190	0	10	46	223	0	77	194	0	27	426	0	783	10	47	139	1	327	5	3	5	4	8	459	0
Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Diphyidae;Lensia;Lensia cossack	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Dinophyceae;Gonyaulacales	0	0	0	0	0	0	0	0	1	0	0	3	2	0	6	1	0	0	2	0	0	0	1	0	0	0	0	2	0	1	3	0	0	2	0	0	0	2	0	0	3	0	0	0	0	0	0	5	0	0	0	0	1	0	0
Eukaryota;Arthropoda;Hexanauplia;Poecilostomatoida;Corycaeidae	0	0	38	97	0	0	1	4	16	29	0	2	0	0	32	1	0	0	30	0	0	0	15	0	12	0	0	0	0	9	1	0	9	0	1	0	97	0	0	22	0	31	22	0	15	5	2	141	15	4	22	0	2	35	0
Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Naviculaceae;Navicula	11650	688	13219	3814	736	130	912	618	2215	484	7074	2	808	9708	798	392	31	1	6064	190	667	796	1280	3464	259	5150	15	2781	376	1192	1294	0	4364	480	1060	0	1027	1049	0	974	1138	301	1371	639	12013	1052	237	2600	609	739	1566	1113	794	1932	64
Eukaryota;NA;Dinophyceae;Suessiales;Suessiaceae;Protodinium;Protodinium simplex	5	0	2	2	1	3	2	0	2	3	1	1	3	3	11	4	0	0	8	0	269	0	1	2	6	2	0	1	0	2	21	0	1	5	14	0	6	20	0	0	1	0	29	1	12	0	0	33	1	0	0	3	1	6	0
Eukaryota;NA;Cryptophyceae	833	811	2146	678	158	52	758	67	191	624	636	4	754	619	1102	118	2	0	480	329	407	410	829	464	260	1029	1	943	119	355	560	0	1762	391	826	0	647	1208	0	343	72	363	1005	427	1172	224	435	2270	564	19	733	150	417	815	6
Eukaryota;Ciliophora;Spirotrichea;Choreotrichida;Strobilidiidae	190	81	283	136	62	19	86	25	57	96	78	1	247	155	351	16	1	0	140	22	72	55	238	93	49	141	0	350	29	142	219	0	69	122	313	0	225	446	0	151	8	58	334	42	60	21	10	737	43	2	1478	21	76	231	2
Eukaryota;NA;Cryptophyceae;Pyrenomonadales;Geminigeraceae;Teleaulax;Teleaulax amphioxeia	281	369	536	230	59	15	236	21	54	291	177	3	273	225	438	62	0	0	173	170	118	209	334	124	86	326	0	270	193	87	134	0	347	104	202	0	336	370	0	97	25	150	322	163	339	513	257	675	284	1158	2794	41	216	360	2
Eukaryota;Chlorophyta;Pyramimonadophyceae;Pyramimonadales;Pyramimonadaceae;Pyramimonas	71	38	384	213	73	13	154	9	52	148	48	1	204	71	210	7	0	0	49	16	648	40	272	87	89	334	1	320	40	75	136	0	51	86	185	0	180	234	0	93	11	121	180	35	383	25	36	409	18	3	37	23	193	270	7
Eukaryota;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gyrodiniellum;Gyrodiniellum shiwhaense	163	57	3027	2395	2297	82	1337	69	218	1612	177	9	1987	144	2286	589	3	1	127	1392	1620	86	2230	520	1327	615	2	1807	531	771	1475	0	1581	1482	3445	0	2489	2548	0	678	1269	199	4040	36	533	685	429	3967	74	1262	4048	43	155	3122	8
Eukaryota;NA;Cryptophyceae;Pyrenomonadales;Geminigeraceae;Geminigera;Geminigera cryophila	31	11	201	83	52	7	38	6	17	68	16	2	110	24	98	4	0	0	31	3	45	1	109	49	48	43	0	156	10	38	52	0	19	32	145	0	98	118	0	43	6	29	119	6	51	11	2	215	5	1	16	4	34	185	0
