CO1_Metazoa_seq_number	CO1_Metazoa_Yell-July18-Site1w-S118	CO1_Metazoa_Yell-July18-Site5g-S97	CO1_Metazoa_Yell-July18-Site1c-S85	CO1_Metazoa_Yell-July18-Site5cc-S134	CO1_Metazoa_Yell-July18-Site1z-S129	CO1_Metazoa_Yell-July18-Site1b-S84	CO1_Metazoa_Yell-July18-Site1m-S102	CO1_Metazoa_Yell-July18-Site5n-S115	CO1_Metazoa_Yell-July18-Site1o-S104	CO1_Metazoa_Yell-July18-Site1f-S92	CO1_Metazoa_Yell-July18-Site5ee-S136	CO1_Metazoa_Yell-July18-Site1d-S86	CO1_Metazoa_Yell-July18-Site1J-S99	CO1_Metazoa_Yell-July18-Site1U-S114	CO1_Metazoa_Yell-July18-Site1e-S91	CO1_Metazoa_Yell-July18-Site1a-S83	CO1_Metazoa_Yell-July18-Site1r-S111	CO1_Metazoa_Yell-July18-Site5u-S126	CO1_Metazoa_Yell-July18-Site5q-S122	CO1_Metazoa_Yell-July18-Site1p-S105	CO1_Metazoa_Yell-July18-Site5p-S121	CO1_Metazoa_Yell-July18-Site1y-S120	CO1_Metazoa_Yell-July18-Site5r-S123	CO1_Metazoa_Yell-July18-Site5v-S127	CO1_Metazoa_Yell-July18-Site1q-S106	CO1_Metazoa_Yell-July18-Site1k-S100	CO1_Metazoa_Yell-July18-Site1cc-S140	CO1_Metazoa_Yell-July18-Site1h-S94	CO1_Metazoa_Yell-July18-Site5b-S88	CO1_Metazoa_Yell-July18-Site1s-S112	CO1_Metazoa_Yell-July18-Site1n-S103	CO1_Metazoa_Yell-July18-Site5J-S107	CO1_Metazoa_Yell-July18-Site5e-S95	CO1_Metazoa_Yell-July18-Site5o-S116	CO1_Metazoa_Yell-July18-Site1g-S93	CO1_Metazoa_Yell-July18-Site5ff-S137	CO1_Metazoa_Yell-July18-Site5c-S89	CO1_Metazoa_Yell-July18-Site5aa-S132	CO1_Metazoa_Yell-July18-Site1ee-S142	CO1_Metazoa_Yell-July18-Site1t-S113	CO1_Metazoa_Yell-July18-Site5bb-S133	CO1_Metazoa_Yell-July18-Site1L-S101	CO1_Metazoa_Yell-July18-Site5L-S109	CO1_Metazoa_Yell-July18-Site5m-S110	CO1_Metazoa_Yell-July18-Site5z-S131	CO1_Metazoa_Yell-July18-Site1v-S117	CO1_Metazoa_Yell-July18-Site5h-S98	CO1_Metazoa_Yell-July18-Site5f-S96	CO1_Metazoa_Yell-July18-Site5s-S124	CO1_Metazoa_Yell-July18-Site5w-S128	CO1_Metazoa_Yell-July18-Site5k-S108	CO1_Metazoa_Yell-July18-Site5t-S125	CO1_Metazoa_Yell-July18-Site1dd-S141	CO1_Metazoa_Yell-July18-Site1bb-S139	CO1_Metazoa_Yell-July18-Site5a-S87
Eukaryota;Nemertea;Anopla;Heteronemertea;Lineidae;Maculaura;Maculaura oregonensis	1	4	1	0	5	21	20	6	17	0	2	33	1	1	0	1	1	3	0	0	0	2	0	0	0	0	13	2	0	14	13	0	0	1	2	1	0	2	3	6	0	9	0	4	5	9	0	0	0	0	0	5	22	1	0
Eukaryota;NA;Florideophyceae;Gigartinales;Kallymeniaceae;Callophyllis;Callophyllis edentata	1	1	5	0	0	5	5	1	9	0	0	3	2	0	0	2	5	1	6	0	4	1	1	0	1	1	4	0	0	2	12	0	1	1	0	3	0	0	0	16	0	0	1	0	2	0	0	0	1	0	0	1	3	1	0
Eukaryota;Arthropoda;Maxillopoda;Calanoida;Acartiidae;Acartia;Acartia californiensis	563	632	297	2529	252	7	462	448	29	3	2220	7	0	48	47	0	659	7	690	342	724	8	168	267	2	5	374	55	4012	323	1183	0	49	270	188	2671	593	111	832	1293	4214	138	1036	895	2314	473	1	64	1464	0	290	4262	313	50	277
Eukaryota;Echinodermata;Echinoidea;Echinoida;Strongylocentrotidae;Strongylocentrotus;Strongylocentrotus droebachiensis	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	4	0	0	0	0	0	4	0	0	0	0	1	7	0	4	4	0	0	0	1	0	0	0	2	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Formosa;Formosa sp. Hel3_A1_48	3	1	2	0	1	1	2	0	4	0	0	1	0	2	0	1	0	0	3	2	0	0	3	0	2	1	4	0	1	3	0	0	0	0	0	1	0	0	8	0	2	1	0	0	10	0	0	0	0	0	1	0	2	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros socialis	0	23	1	99	1	4	13	4	2	0	13	4	0	0	2	3	18	3	11	0	2	0	0	0	0	1	1	0	23	2	6	0	2	2	1	23	8	8	2	1	25	4	96	52	59	5	0	0	7	0	14	8	3	0	8
Eukaryota;NA;Florideophyceae;Gigartinales;Gigartinaceae;Chondracanthus;Chondracanthus exasperatus	6	14	13	33	4	18	5	36	18	0	13	9	0	7	6	11	21	1	27	0	5	12	37	3	1	4	6	4	15	14	25	0	12	24	9	29	3	72	10	26	78	1	19	8	138	5	0	2	1	0	5	12	17	0	0
Eukaryota;Annelida;Polychaeta;Phyllodocida;Nereididae;Platynereis;Platynereis bicanaliculata	5	3	2	0	6	2	15	0	51	0	1	10	0	3	1	1	2	0	21	71	0	4	2	1	0	12	3	0	0	2	32	0	1	1	14	13	0	2	1	3	19	2	0	2	20	0	0	0	0	0	1	2	1	0	0
Eukaryota;Bacillariophyta;Mediophyceae;Cymatosirales;Cymatosiraceae;Minutocellus;Minutocellus polymorphus	7	1	5	0	5	0	5	0	7	0	0	5	0	2	0	2	3	0	0	0	0	7	0	0	0	0	4	2	0	32	0	0	0	0	3	0	0	0	40	1	0	2	0	1	7	3	0	0	0	0	0	1	20	1	0
Eukaryota;NA;Florideophyceae;Ceramiales;Delesseriaceae;Polyneura;Polyneura latissima	0	0	1	3	0	5	3	8	3	0	0	3	0	1	0	0	3	1	21	0	19	5	0	0	0	3	3	0	1	0	1	0	1	1	1	9	0	1	14	22	0	2	8	3	0	7	0	0	6	0	0	10	3	0	0
