CO1_Metazoa_seq_number	CO1_Metazoa_Yell-July18-Site1cc-S140	CO1_Metazoa_Yell-July18-Site5L-S109	CO1_Metazoa_Yell-July18-Site1p-S105	CO1_Metazoa_Yell-July18-Site5w-S128	CO1_Metazoa_Yell-July18-Site5o-S116	CO1_Metazoa_Yell-July18-Site1b-S84	CO1_Metazoa_Yell-July18-Site1o-S104	CO1_Metazoa_Yell-July18-Site1g-S93	CO1_Metazoa_Yell-July18-Site1r-S111	CO1_Metazoa_Yell-July18-Site5aa-S132	CO1_Metazoa_Yell-July18-Site1L-S101	CO1_Metazoa_Yell-July18-Site5cc-S134	CO1_Metazoa_Yell-July18-Site5k-S108	CO1_Metazoa_Yell-July18-Site5q-S122	CO1_Metazoa_Yell-July18-Site5p-S121	CO1_Metazoa_Yell-July18-Site1n-S103	CO1_Metazoa_Yell-July18-Site5t-S125	CO1_Metazoa_Yell-July18-Site5r-S123	CO1_Metazoa_Yell-July18-Site5z-S131	CO1_Metazoa_Yell-July18-Site1e-S91	CO1_Metazoa_Yell-July18-Site1U-S114	CO1_Metazoa_Yell-July18-Site5h-S98	CO1_Metazoa_Yell-July18-Site5g-S97	CO1_Metazoa_Yell-July18-Site1ee-S142	CO1_Metazoa_Yell-July18-Site5bb-S133	CO1_Metazoa_Yell-July18-Site1s-S112	CO1_Metazoa_Yell-July18-Site1c-S85	CO1_Metazoa_Yell-July18-Site1y-S120	CO1_Metazoa_Yell-July18-Site5ff-S137	CO1_Metazoa_Yell-July18-Site1J-S99	CO1_Metazoa_Yell-July18-Site1a-S83	CO1_Metazoa_Yell-July18-Site1dd-S141	CO1_Metazoa_Yell-July18-Site1q-S106	CO1_Metazoa_Yell-July18-Site1v-S117	CO1_Metazoa_Yell-July18-Site5m-S110	CO1_Metazoa_Yell-July18-Site5b-S88	CO1_Metazoa_Yell-July18-Site5v-S127	CO1_Metazoa_Yell-July18-Site5u-S126	CO1_Metazoa_Yell-July18-Site5f-S96	CO1_Metazoa_Yell-July18-Site1m-S102	CO1_Metazoa_Yell-July18-Site5ee-S136	CO1_Metazoa_Yell-July18-Site1t-S113	CO1_Metazoa_Yell-July18-Site1h-S94	CO1_Metazoa_Yell-July18-Site1w-S118	CO1_Metazoa_Yell-July18-Site5e-S95	CO1_Metazoa_Yell-July18-Site1k-S100	CO1_Metazoa_Yell-July18-Site5J-S107	CO1_Metazoa_Yell-July18-Site5a-S87	CO1_Metazoa_Yell-July18-Site5s-S124	CO1_Metazoa_Yell-July18-Site1bb-S139	CO1_Metazoa_Yell-July18-Site1z-S129	CO1_Metazoa_Yell-July18-Site1d-S86	CO1_Metazoa_Yell-July18-Site1f-S92	CO1_Metazoa_Yell-July18-Site5n-S115	CO1_Metazoa_Yell-July18-Site5c-S89
Eukaryota;Arthropoda;Maxillopoda;Calanoida;Centropagidae;Centropages;Centropages abdominalis	0	0	562	0	0	1	1	42	0	0	179	0	0	0	0	0	5	0	0	0	52	0	47	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	64	154	0	0	0	0	0	0	0	0	0	0	0	0	286
Eukaryota;Mollusca;Gastropoda;NA;Lacunidae;Lacuna;Lacuna vincta	2	0	13	0	0	2	222	161	0	99	57	0	0	16	0	158	3	2	0	2	0	0	0	2	0	4	0	3	1	0	0	4	0	0	0	0	2	104	0	10	0	107	18	5	0	1	0	0	1	1	8	4	0	47	1
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros socialis	3	183	0	0	4	6	5	1	28	18	7	196	29	45	6	16	12	2	127	2	0	0	45	3	48	4	1	2	51	0	5	8	0	6	96	41	0	9	2	21	31	1	0	0	4	2	0	14	15	0	1	6	0	9	19
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Formosa;Formosa sp. Hel3_A1_48	4	1	6	0	0	1	5	1	0	0	1	0	1	5	0	2	0	3	21	0	12	0	1	21	2	8	4	0	2	0	2	8	3	0	1	1	0	0	0	3	0	0	0	8	0	2	0	0	0	0	1	4	0	0	0
Eukaryota;Mollusca;Gastropoda;NA;Margaritidae;Margarites;Margarites pupillus	4725	95	4	0	0	25	20	10	17	0	3	0	0	0	0	23	0	0	2	0	73	0	0	40	1	28	17	803	3	0	2	616	8	18	0	6	0	6	0	455	0	51	5	23	0	9	0	0	2	3	8	16	0	0	0
Eukaryota;Bacillariophyta;Mediophyceae;Cymatosirales;Cymatosiraceae;Minutocellus;Minutocellus polymorphus	20	12	31	0	8	5	27	9	13	33	9	6	12	2	6	4	24	0	79	0	3	0	9	79	33	84	13	20	28	1	9	71	0	14	7	6	3	9	2	22	14	3	2	16	2	3	0	0	5	2	15	22	0	5	2
Eukaryota;Annelida;Polychaeta;Phyllodocida;Hesionidae;Oxydromus;Oxydromus pugettensis	2	2	0	0	2	0	0	0	0	1	4	0	1	103	0	0	1	1	0	0	0	0	3	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1
Eukaryota;Annelida;Polychaeta;Eunicida;Dorvilleidae;Protodorvillea;Protodorvillea gracilis	0	0	0	0	0	0	10	38	0	7	2	0	0	0	0	3	0	0	9	16	0	0	0	0	2	6	0	7	5	0	3	5	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	4	0	6	0	0
Eukaryota;Annelida;Polychaeta;Phyllodocida;Nereididae;Platynereis;Platynereis bicanaliculata	6	0	141	0	4	5	78	19	4	7	3	0	1	39	0	51	6	4	44	2	9	0	3	3	24	7	2	8	17	0	1	1	1	1	2	0	3	0	0	23	1	9	2	7	2	19	0	0	0	0	13	16	0	0	0
Eukaryota;NA;Dinophyceae;Peridiniales;Ostreopsidaceae	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Florideophyceae;Ceramiales;Delesseriaceae;Polyneura;Polyneura latissima	17	18	26	0	3	19	67	7	19	15	4	8	1	147	67	45	22	6	5	6	12	0	10	23	17	13	28	13	41	1	3	24	0	15	7	3	0	6	1	11	8	95	1	11	6	14	0	0	20	1	1	18	2	22	1
Eukaryota;NA;Florideophyceae;Acrochaetiales;Acrochaetiaceae;Acrochaetium;Acrochaetium humile	0	0	0	0	0	2	1	0	0	0	1	0	1	0	0	1	0	2	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Nitzschia;Nitzschia longissima	6	0	0	0	0	0	0	1	5	1	4	0	0	5	0	0	0	0	0	0	0	0	10	4	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	3	0	1	0
Eukaryota;NA;Florideophyceae;Ceramiales;Rhodomelaceae;Pterosiphonia;Pterosiphonia bipinnata	0	0	0	0	0	0	4	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	1	0	0	0
Eukaryota;Mollusca;Bivalvia;Mytiloida;Mytilidae;Mytilus	2	1	8	0	0	1	5	0	0	0	7	0	0	0	0	10	0	0	0	0	2	0	0	0	0	0	0	4	0	0	5	2	0	17	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	2	1	0	0
Eukaryota;Annelida;Polychaeta;Eunicida;Onuphidae;Diopatra;Diopatra cf. ornata JZ-2010	6	0	0	0	0	6	1	0	24	0	1	0	0	9	0	7	1	0	0	0	0	0	0	9	0	15	2	1	1	0	0	23	0	5	0	0	0	2	0	0	0	0	0	4	0	9	0	0	0	1	4	6	0	0	0
Eukaryota;Arthropoda;Maxillopoda;Sessilia;Balanidae;Balanus	0	0	0	0	0	2	4	0	3	0	1	0	0	1	0	2	0	0	0	0	1	0	0	7	0	0	6	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	2	3	11	0	0	0
Eukaryota;NA;Dinophyceae;Peridiniales;Pfiesteriaceae	5	1	1	0	1	1	5	0	5	0	2	0	1	2	0	13	2	0	2	0	2	0	0	10	0	1	1	0	1	0	1	0	1	4	2	0	0	3	0	4	0	1	0	1	0	1	0	0	1	0	1	9	1	1	0
Eukaryota;NA;Florideophyceae;Ceramiales;Ceramiaceae	4	0	93	0	0	7	8	2	3	0	1	0	0	0	0	20	0	0	0	0	0	0	0	4	0	1	3	6	0	0	1	6	0	1	0	0	0	0	0	2	0	6	0	4	0	2	0	0	0	0	0	7	0	0	0
Eukaryota;Arthropoda;Maxillopoda;Sessilia;Balanidae	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	2	0	0	1	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;NA;alpha proteobacterium HIMB59	2	0	0	0	0	4	3	1	0	0	1	0	0	0	0	1	3	0	8	0	0	0	1	4	0	6	0	1	1	0	0	5	0	0	0	0	0	1	0	2	0	3	0	1	0	0	0	0	0	0	0	1	0	0	0
Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Bougainvilliidae;Bougainvillia;Bougainvillia muscus	0	0	0	0	0	3	5	0	5	1	1	29	2	0	4	17	0	0	0	0	1	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Campanulariidae;Obelia	3	18	0	0	1	25	12	2	0	7	1	42	5	23	0	20	5	0	10	0	3	0	3	0	0	2	4	3	4	0	3	2	0	2	4	1	0	1	0	4	1	10	0	3	0	1	0	0	14	0	0	6	0	1	0
Eukaryota;NA;Dictyochophyceae;Florenciellales;NA;Pseudochattonella;Pseudochattonella farcimen	10	1	140	0	0	11	5	5	8	2	1	0	2	6	0	7	2	0	6	0	0	0	1	11	9	12	2	0	3	0	3	16	1	16	2	0	0	5	0	12	1	5	0	8	0	9	0	0	0	0	1	14	0	1	1
Eukaryota;Arthropoda;Maxillopoda;Calanoida;Clausocalanidae;Pseudocalanus;Pseudocalanus newmani	57	4122	41	0	106	2	231	64	623	603	50	14732	2770	1881	1888	313	6551	128	3403	0	3	2	376	560	482	1005	4	3	2458	20	393	798	5	28	1156	4456	5	431	95	91	1607	2539	74	1	88	376	0	2104	4050	49	43	7	39	443	978
Eukaryota;Phaeophyceae;NA;Fucales;Fucaceae;Fucus	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Eukaryota;Annelida;Polychaeta;Spionida;Spionidae;Scolelepis;Scolelepis squamata	2	0	49	0	1	10	22	8	1	1	1	1	0	0	0	23	0	3	1	1	2	0	1	0	2	10	2	4	0	0	7	4	0	8	1	0	2	0	0	0	0	18	1	1	6	5	0	0	0	0	1	6	0	1	1
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Nitzschia	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Dinophyceae;Peridiniales;Pfiesteriaceae;NA	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Florideophyceae;Ceramiales;Rhodomelaceae;Polysiphonia;Polysiphonia hendryi	2	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	3	10	0	0	1	0	0	0	0	0	1	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Fragilariophyceae;Fragilariales;Fragilariaceae;Grammonema;Grammonema striatula	7	4	1	0	8	0	1	7	2	13	0	0	0	25	1	0	18	27	12	0	16	0	16	2	14	8	6	11	16	0	1	12	3	2	4	0	0	0	0	2	1	0	1	12	0	1	0	1	2	0	5	7	0	1	1
Eukaryota;Bryozoa;Gymnolaemata;Ctenostomatida;Vesiculariidae	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Eukaryota;Phaeophyceae;NA;Fucales;Fucaceae;Fucus;Fucus distichus	9	2	37	0	2	5	8	5	0	2	0	0	0	2	4	3	9	1	4	3	3	0	0	0	7	0	0	8	6	0	3	6	0	1	2	0	2	1	0	1	1	3	1	2	0	7	0	0	0	0	1	6	1	1	0
Eukaryota;Phaeophyceae;NA;Fucales	0	0	1	0	0	0	0	2	0	1	0	0	0	1	0	1	1	2	2	0	7	0	0	0	3	0	1	2	3	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Eukaryota;Phaeophyceae;NA;Ectocarpales;Chordariaceae;Leathesia;Leathesia marina	0	1	6	0	0	2	1	1	0	0	0	7	0	3	0	0	0	1	8	0	1	0	0	0	2	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
Eukaryota;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gymnodinium;Gymnodinium sp. NVA/RUS/2008	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	2	0	3	0	1	0	1	1	2	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	1	0
Eukaryota;Mollusca;Gastropoda;NA;Lottiidae;Lottia;Lottia paradigitalis	1	10	0	0	0	4	20	1	0	3	0	27	2	0	0	15	2	2	18	0	1	0	18	4	5	1	5	0	21	0	0	5	1	3	8	0	0	3	0	0	4	6	0	2	3	1	0	0	6	0	6	2	1	0	0
Eukaryota;Cnidaria;Staurozoa;Stauromedusae;Haliclystidae;Haliclystus;Haliclystus sanjuanensis	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	8	0	0	0	0	1	0	2	0	0	0	0	0	0	0	9	0	1	0	0	0	0	0	0	0	0	3	0	0	0	4	0	0	0	0	1	3	0	0	0
Eukaryota;Phaeophyceae;NA;Ectocarpales;Chordariaceae;Soranthera;Soranthera ulvoidea	1	0	0	0	2	2	1	4	0	1	0	0	1	3	0	0	2	2	9	0	2	0	1	0	4	1	0	1	3	0	0	2	0	0	0	0	0	0	0	1	0	0	2	0	0	2	0	0	1	0	0	0	0	0	0
Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Corynidae;Sarsia;Sarsia sp. SL-2013	0	0	91	0	0	3	19	1	0	1	0	0	0	1	0	39	1	1	2	0	3	0	0	1	0	1	0	2	0	0	2	1	1	0	0	0	0	2	0	0	0	9	0	1	0	1	0	0	0	0	0	1	0	0	0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Cellulophaga;Cellulophaga baltica	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Eukaryota;Mollusca;Gastropoda;Stylommatophora;Camaenidae;Satsuma;Satsuma eucosmia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales	1	2	0	0	1	0	1	0	1	0	0	1	1	0	1	0	0	0	2	0	1	0	1	5	2	5	0	0	1	0	0	2	0	0	1	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0
Eukaryota;Arthropoda;Malacostraca;Amphipoda;Aoridae;Aoroides;Aoroides columbiae	0	0	0	0	0	0	0	0	0	1	0	2	1	2	0	0	0	0	6	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
Eukaryota;NA;Florideophyceae;Ceramiales;Ceramiaceae;Corallophila;Corallophila eatoniana	1	0	206	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	3	0	2	1	0	0	0	0	1	0	0	0	0	0	2	0	3	0	12	0	0	0	0	0	0	0	0	1	4	0	0	0
Eukaryota;Bacillariophyta	2	3	0	0	0	1	4	0	1	3	0	0	1	2	0	0	0	0	11	0	1	0	2	8	3	4	1	2	9	1	0	5	0	0	1	0	0	1	0	1	5	0	0	1	0	4	0	0	0	0	0	1	0	0	0
Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Tiaropsidae;Tiaropsis;Tiaropsis multicirrata	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Melosirales;Hyalodiscaceae;Podosira;Podosira stelligera	9	9	0	0	11	3	5	5	1	27	0	5	5	31	13	6	21	10	39	3	3	0	37	0	30	4	4	5	46	0	0	11	1	3	5	5	3	1	0	0	6	5	0	5	0	1	0	2	9	0	2	4	0	4	5
Eukaryota;Phaeophyceae;NA;Ectocarpales;Ectocarpaceae	0	2	10	0	0	0	3	0	0	2	0	0	0	2	0	0	1	5	5	0	2	0	0	0	2	2	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae	1	0	2	0	0	0	2	4	0	1	0	2	0	10	0	0	2	1	18	0	2	0	0	0	1	0	3	2	0	1	0	2	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	4	0	0	0
Eukaryota;Phaeophyceae;NA;Ectocarpales;Chordariaceae	3	1	5	0	1	3	5	0	0	4	0	8	1	4	0	3	1	1	5	0	1	0	1	3	2	2	0	0	2	0	1	3	0	0	1	0	1	1	0	0	0	4	0	0	0	1	0	0	2	0	1	0	0	0	4
Eukaryota;Arthropoda;Insecta;Lepidoptera	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
Eukaryota;Chlorophyta;NA;NA;Pycnococcaceae	34	6	0	0	21	2	31	16	10	100	0	0	8	0	0	2	20	23	237	0	4	0	2	95	123	113	4	37	57	0	0	102	1	8	7	0	5	0	0	0	28	0	0	47	0	0	0	0	1	2	27	10	0	0	9
Eukaryota;Phaeophyceae;NA;Ectocarpales;Scytosiphonaceae;Petalonia;Petalonia fascia	1	0	0	0	0	1	2	4	0	2	0	1	1	0	0	0	1	1	4	1	1	0	0	1	1	4	0	2	4	0	1	4	0	0	0	2	0	0	0	1	1	1	1	1	1	0	0	0	0	0	1	1	0	0	0
Eukaryota;NA;Florideophyceae;Ceramiales;Rhodomelaceae	10	0	188	0	3	13	87	3	3	4	0	0	1	27	0	58	1	8	44	0	3	0	16	3	18	4	7	1	2	0	12	3	2	0	0	0	29	0	1	14	1	6	1	1	8	4	0	1	0	0	14	15	0	0	0
Eukaryota;NA;Florideophyceae;Ceramiales;Rhodomelaceae;Neorhodomela;Neorhodomela larix	0	0	23	0	0	1	26	0	0	0	0	0	0	0	0	14	0	0	0	0	1	0	0	0	0	0	2	2	0	0	0	0	3	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	2	0	0	0
Eukaryota;Bacillariophyta;Mediophyceae;Lithodesmiales;Lithodesmiaceae;Ditylum;Ditylum brightwellii	3	7	0	0	0	1	1	0	5	0	0	0	0	1	0	2	12	0	1	0	1	0	2	7	0	6	0	0	4	0	0	6	0	0	7	0	0	10	0	1	2	1	0	0	0	6	0	0	0	0	0	3	0	0	0
Eukaryota;NA;Florideophyceae;Halymeniales;Halymeniaceae;Prionitis;Prionitis sternbergii	24	2	5	0	0	16	17	1	2	3	0	0	1	6	0	10	0	3	4	2	4	0	6	14	2	15	7	7	0	0	1	29	0	14	1	0	1	13	0	5	0	5	2	9	0	3	0	0	0	0	2	18	0	0	0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Polaribacter;Polaribacter sp. KT 15	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Eukaryota;NA;Florideophyceae;Gigartinales;Solieriaceae;Sarcodiotheca	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	3	0	1	0	0	0	2	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Mollusca;Gastropoda;NA;Lottiidae;Lottia	0	0	89	0	0	4	5	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	4	0	0	0	0	2	0	0	0	0
Eukaryota;NA;Dinophyceae;NA;NA;Pellucidodinium;Pellucidodinium psammophilum	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Florideophyceae;Ceramiales	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	4	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Eukaryota;Porifera;Demospongiae;Poecilosclerida	0	1	289	0	0	0	67	26	1	0	0	0	0	2	0	52	0	0	2	9	1	0	0	0	1	1	0	0	0	0	0	0	6	0	1	1	0	0	0	0	0	4	10	0	0	0	0	0	7	0	1	0	4	2	0
Eukaryota;NA;Florideophyceae;Gigartinales;Gigartinaceae;Mazzaella;Mazzaella oregona	0	0	0	0	0	0	1	0	18	0	0	0	0	0	0	0	1	1	0	0	1	0	0	4	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1
Eukaryota;Arthropoda;Maxillopoda;Sessilia;Chthamalidae;NA;Chthamalidae sp. 144752A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter sp. IMCC9063	1	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	3	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Eukaryota;Annelida;Polychaeta;Eunicida;Dorvilleidae;Schistomeringos;Schistomeringos longicornis	0	6	0	0	0	0	0	15	0	1	0	94	3	0	0	0	17	0	2	6	1	0	601	4	3	0	1	0	48	0	0	2	0	14	15	35	1	14	0	0	15	104	33	0	0	0	0	0	0	0	8	0	0	0	5
Eukaryota;Nemertea;Palaeonemertea;NA;Carinomidae;Carinoma;Carinoma sp. 5 TCH-2015	125	2	0	0	0	1	0	9	0	0	0	0	0	0	0	3	0	0	5	6	1	0	0	2	2	3	0	40	0	0	0	397	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	5	0	2	0	0
Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Bugulidae;Bugula;Bugula pacifica	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0
Eukaryota;NA;Florideophyceae;Ceramiales;Delesseriaceae;Cryptopleura;Cryptopleura ruprechtiana	0	0	10	0	0	7	10	3	3	0	0	0	0	0	0	16	0	0	2	0	1	0	0	0	1	3	1	1	0	0	2	5	1	3	0	0	0	0	0	3	0	7	0	2	0	0	0	0	0	0	1	1	0	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Attheyaceae;Attheya;Attheya longicornis	3	28	5	0	2	4	15	2	1	15	0	39	7	24	0	1	15	4	40	0	3	0	16	5	17	0	1	2	24	0	7	2	0	4	11	0	0	4	0	0	5	1	0	5	5	3	0	4	3	0	0	5	0	1	1
Eukaryota;Phaeophyceae;NA;Ectocarpales;Chordariaceae;Laminariocolax	0	2	0	0	0	0	1	0	0	0	0	3	0	1	0	1	3	1	3	0	1	0	1	0	1	0	0	0	1	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Stichaeidae;Xiphister;Xiphister atropurpureus	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Campanulariidae	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
Eukaryota;Phaeophyceae;NA;Ectocarpales;Chordariaceae;Laminarionema;Laminarionema elsbetiae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Phaeophyceae;NA;Ralfsiales;Ralfsiaceae;NA;Ralfsioid sp. 4GWS	0	0	0	0	1	1	2	0	1	0	0	13	0	0	0	0	1	0	1	0	1	0	2	0	0	0	2	0	0	0	0	1	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0
Eukaryota;NA;Florideophyceae;Gigartinales;Gigartinaceae;Mazzaella;Mazzaella rosea	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Tenacibaculum;Tenacibaculum sp. LPB0136	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
