CO1_Metazoa_seq_number	CO1_Metazoa_Yell-July18-Site1cc-S140	CO1_Metazoa_Yell-July18-Site5L-S109	CO1_Metazoa_Yell-July18-Site1p-S105	CO1_Metazoa_Yell-July18-Site5w-S128	CO1_Metazoa_Yell-July18-Site5o-S116	CO1_Metazoa_Yell-July18-Site1b-S84	CO1_Metazoa_Yell-July18-Site1o-S104	CO1_Metazoa_Yell-July18-Site1g-S93	CO1_Metazoa_Yell-July18-Site1r-S111	CO1_Metazoa_Yell-July18-Site5aa-S132	CO1_Metazoa_Yell-July18-Site1L-S101	CO1_Metazoa_Yell-July18-Site5cc-S134	CO1_Metazoa_Yell-July18-Site5k-S108	CO1_Metazoa_Yell-July18-Site5q-S122	CO1_Metazoa_Yell-July18-Site5p-S121	CO1_Metazoa_Yell-July18-Site1n-S103	CO1_Metazoa_Yell-July18-Site5t-S125	CO1_Metazoa_Yell-July18-Site5r-S123	CO1_Metazoa_Yell-July18-Site5z-S131	CO1_Metazoa_Yell-July18-Site1e-S91	CO1_Metazoa_Yell-July18-Site1U-S114	CO1_Metazoa_Yell-July18-Site5h-S98	CO1_Metazoa_Yell-July18-Site5g-S97	CO1_Metazoa_Yell-July18-Site1ee-S142	CO1_Metazoa_Yell-July18-Site5bb-S133	CO1_Metazoa_Yell-July18-Site1s-S112	CO1_Metazoa_Yell-July18-Site1c-S85	CO1_Metazoa_Yell-July18-Site1y-S120	CO1_Metazoa_Yell-July18-Site5ff-S137	CO1_Metazoa_Yell-July18-Site1J-S99	CO1_Metazoa_Yell-July18-Site1a-S83	CO1_Metazoa_Yell-July18-Site1dd-S141	CO1_Metazoa_Yell-July18-Site1q-S106	CO1_Metazoa_Yell-July18-Site1v-S117	CO1_Metazoa_Yell-July18-Site5m-S110	CO1_Metazoa_Yell-July18-Site5b-S88	CO1_Metazoa_Yell-July18-Site5v-S127	CO1_Metazoa_Yell-July18-Site5u-S126	CO1_Metazoa_Yell-July18-Site5f-S96	CO1_Metazoa_Yell-July18-Site1m-S102	CO1_Metazoa_Yell-July18-Site5ee-S136	CO1_Metazoa_Yell-July18-Site1t-S113	CO1_Metazoa_Yell-July18-Site1h-S94	CO1_Metazoa_Yell-July18-Site1w-S118	CO1_Metazoa_Yell-July18-Site5e-S95	CO1_Metazoa_Yell-July18-Site1k-S100	CO1_Metazoa_Yell-July18-Site5J-S107	CO1_Metazoa_Yell-July18-Site5a-S87	CO1_Metazoa_Yell-July18-Site5s-S124	CO1_Metazoa_Yell-July18-Site1bb-S139	CO1_Metazoa_Yell-July18-Site1z-S129	CO1_Metazoa_Yell-July18-Site1d-S86	CO1_Metazoa_Yell-July18-Site1f-S92	CO1_Metazoa_Yell-July18-Site5n-S115	CO1_Metazoa_Yell-July18-Site5c-S89
Eukaryota;NA;NA;Himatismenida;NA;Parvamoeba;Parvamoeba rugata	7	50	163	0	5	61	33	30	6	25	6	23	9	52	29	36	41	11	80	2	25	0	28	16	25	17	23	17	61	3	18	17	2	8	25	0	0	3	0	15	14	85	3	5	0	10	0	3	14	0	7	25	2	29	4
Eukaryota;NA;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;Heterocapsa rotundata	194	158	577	0	14	246	309	10	317	27	48	342	38	247	41	283	49	20	335	17	22	0	87	328	84	217	111	32	146	12	116	101	11	210	88	79	2	199	2	172	40	70	11	185	14	131	0	39	103	41	43	97	3	29	13
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema	18	4	101	0	0	10	23	4	10	4	6	48	7	4	0	7	2	0	8	0	4	0	5	15	4	16	1	0	11	3	3	10	1	10	4	7	0	10	3	14	1	18	2	5	6	9	0	0	0	0	0	10	0	0	0
Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;NA;Chironomidae sp. BOLD-2016	1	0	152	0	0	22	69	12	3	0	2	0	0	0	9	31	0	0	1	0	6	0	0	4	0	3	6	3	0	1	9	5	3	5	0	0	0	4	0	4	0	8	3	0	0	5	0	0	0	0	5	16	1	1	0
Eukaryota;Mollusca;Bivalvia;Veneroida;Tellinidae;Macoma;Macoma nasuta	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	18	0	0	0	0	0	0	7	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Eukaryota;NA;Dinophyceae	10	0	30	0	1	30	24	1	14	3	5	15	2	14	2	33	1	5	15	0	7	0	2	50	2	23	11	3	6	3	3	10	1	11	2	1	0	19	0	11	0	4	1	10	0	11	0	0	1	5	2	8	0	1	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros sp. 19 LG-2014	3	2	0	0	0	4	4	0	3	0	0	12	0	6	2	2	3	0	10	0	1	0	1	2	2	1	2	2	0	1	0	0	0	2	1	10	1	0	0	2	3	1	1	0	0	3	0	0	1	0	0	6	0	0	0
Eukaryota;NA;NA;Phaeocystales;Phaeocystaceae;Phaeocystis	10	8	13	0	0	14	10	1	6	1	2	26	4	9	3	12	6	1	17	0	1	0	4	9	6	24	5	2	11	1	5	17	0	6	5	4	0	8	1	3	2	7	1	2	4	13	0	3	5	1	1	6	0	2	1
Eukaryota;NA;Florideophyceae;Gigartinales;Gigartinaceae;Mazzaella;Mazzaella sp. GWS-2013b	3	0	6	0	0	15	1	34	3	1	3	1	0	19	0	11	0	1	6	3	4	0	0	4	0	10	6	5	2	9	6	4	1	6	0	2	0	1	0	3	1	2	6	2	0	1	0	0	1	0	4	8	1	1	0
Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Campanulariidae;Clytia	5	19	42	0	1	76	65	14	4	26	10	66	3	8	13	96	7	0	38	8	8	0	18	16	14	16	23	55	9	3	10	14	0	5	7	11	1	6	0	26	4	59	7	1	5	14	0	3	2	0	3	50	11	3	8
