CO1_Metazoa_seq_number	CO1_Metazoa_Yell-July18-Site5bb-S133	CO1_Metazoa_Yell-July18-Site1c-S85	CO1_Metazoa_Yell-July18-Site5m-S110	CO1_Metazoa_Yell-July18-Site1ee-S142	CO1_Metazoa_Yell-July18-Site1y-S120	CO1_Metazoa_Yell-July18-Site5v-S127	CO1_Metazoa_Yell-July18-Site1p-S105	CO1_Metazoa_Yell-July18-Site5c-S89	CO1_Metazoa_Yell-July18-Site5u-S126	CO1_Metazoa_Yell-July18-Site1r-S111	CO1_Metazoa_Yell-July18-Site1g-S93	CO1_Metazoa_Yell-July18-Site5e-S95	CO1_Metazoa_Yell-July18-Site1t-S113	CO1_Metazoa_Yell-July18-Site1s-S112	CO1_Metazoa_Yell-July18-Site5cc-S134	CO1_Metazoa_Yell-July18-Site5h-S98	CO1_Metazoa_Yell-July18-Site1cc-S140	CO1_Metazoa_Yell-July18-Site5ff-S137	CO1_Metazoa_Yell-July18-Site1m-S102	CO1_Metazoa_Yell-July18-Site5ee-S136	CO1_Metazoa_Yell-July18-Site1n-S103	CO1_Metazoa_Yell-July18-Site5b-S88	CO1_Metazoa_Yell-July18-Site1h-S94	CO1_Metazoa_Yell-July18-Site1bb-S139	CO1_Metazoa_Yell-July18-Site5aa-S132	CO1_Metazoa_Yell-July18-Site5o-S116	CO1_Metazoa_Yell-July18-Site1f-S92	CO1_Metazoa_Yell-July18-Site1z-S129	CO1_Metazoa_Yell-July18-Site1U-S114	CO1_Metazoa_Yell-July18-Site5s-S124	CO1_Metazoa_Yell-July18-Site1a-S83	CO1_Metazoa_Yell-July18-Site1o-S104	CO1_Metazoa_Yell-July18-Site5a-S87	CO1_Metazoa_Yell-July18-Site1b-S84	CO1_Metazoa_Yell-July18-Site1k-S100	CO1_Metazoa_Yell-July18-Site1L-S101	CO1_Metazoa_Yell-July18-Site1w-S118	CO1_Metazoa_Yell-July18-Site5q-S122	CO1_Metazoa_Yell-July18-Site5L-S109	CO1_Metazoa_Yell-July18-Site5r-S123	CO1_Metazoa_Yell-July18-Site1v-S117	CO1_Metazoa_Yell-July18-Site5w-S128	CO1_Metazoa_Yell-July18-Site5z-S131	CO1_Metazoa_Yell-July18-Site5J-S107	CO1_Metazoa_Yell-July18-Site5f-S96	CO1_Metazoa_Yell-July18-Site5t-S125	CO1_Metazoa_Yell-July18-Site5g-S97	CO1_Metazoa_Yell-July18-Site1d-S86	CO1_Metazoa_Yell-July18-Site1J-S99	CO1_Metazoa_Yell-July18-Site5k-S108	CO1_Metazoa_Yell-July18-Site1q-S106	CO1_Metazoa_Yell-July18-Site5p-S121	CO1_Metazoa_Yell-July18-Site1e-S91	CO1_Metazoa_Yell-July18-Site1dd-S141	CO1_Metazoa_Yell-July18-Site5n-S115
Eukaryota;NA;Florideophyceae;Gigartinales;Gigartinaceae;Mazzaella	6	6	0	3	20	0	0	0	3	7	2	0	15	0	0	0	6	9	8	1	25	0	1	0	8	0	1	4	2	0	14	17	0	24	15	0	2	6	9	2	2	0	17	0	0	5	0	7	2	0	4	0	0	11	0
Eukaryota;NA;Dinophyceae;Gonyaulacales;Gonyaulacaceae;Gonyaulax	1	0	0	10	2	0	0	0	2	2	0	0	1	1	0	0	3	0	0	0	3	0	0	2	2	0	0	3	4	0	0	10	0	8	1	1	8	2	0	0	1	0	3	0	0	0	0	3	1	0	1	0	0	1	0
Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Membraniporidae;Membranipora;Membranipora membranacea	39	192	130	86	238	7	1745	77	22	25	262	0	719	139	2	1	78	138	284	66	433	3	121	4	41	32	13	92	197	6	126	670	6	306	64	175	133	20	45	6	184	0	57	0	0	239	60	290	22	6	14	62	55	73	150
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Coscinodiscales;Coscinodiscaceae;Coscinodiscus;Coscinodiscus wailesii	3	5	56	0	1	0	149	7	0	117	13	0	79	119	83	0	43	18	95	21	0	0	1	0	0	4	0	1	14	115	0	0	0	1	30	41	27	341	28	13	102	0	2	0	0	101	23	39	6	0	1	5	0	12	1
Eukaryota;NA;Dictyochophyceae;Florenciellales;NA;Pseudochattonella;Pseudochattonella verruculosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Membraniporidae;Membranipora	3	28	0	6	27	0	132	10	0	20	26	1	153	215	0	0	14	5	36	1	85	0	10	0	3	9	2	20	49	0	19	205	0	60	70	45	6	1	0	5	43	0	136	0	0	10	24	35	4	0	3	21	3	17	0
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Nitzschia;Nitzschia cf. promare	1284	107	114	411	239	58	455	84	83	88	101	57	117	385	160	1	265	539	121	129	145	41	12	16	898	314	3	113	110	154	37	187	1	108	79	29	128	996	262	442	68	0	2640	0	5	487	1092	207	10	90	15	192	7	536	129
Eukaryota;NA;NA;Himatismenida;NA;Parvamoeba;Parvamoeba rugata	25	24	25	17	17	0	163	4	3	6	30	0	85	17	23	0	7	62	15	14	36	0	3	0	25	5	2	7	26	14	19	33	3	61	10	6	5	53	50	13	8	0	83	0	0	41	28	26	3	9	2	29	2	17	29
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Polaribacter	66	26	23	21	10	3	50	17	0	4	8	7	15	10	17	1	9	54	10	16	36	2	3	0	45	20	0	3	25	11	12	30	0	18	2	12	2	226	52	37	1	0	393	0	0	46	87	28	4	10	5	31	1	20	93
Eukaryota;NA;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;Heterocapsa rotundata	84	111	88	328	32	2	577	15	199	317	10	14	70	217	342	0	194	146	172	40	283	79	11	41	27	14	3	43	22	103	116	309	39	248	131	48	185	247	158	20	210	0	335	0	2	49	87	97	12	38	11	41	17	101	29
