18S_Euk_seq_number	18S_Euk_Yell-July18-Site1a-S83	18S_Euk_Yell-July18-Site1c-S85	18S_Euk_Yell-July18-Site1b-S84	18S_Euk_Yell-July18-Site1z-S129	18S_Euk_Yell-July18-Site5bb-S133	18S_Euk_Yell-July18-Site1h-S94	18S_Euk_Yell-July18-Site5b-S88	18S_Euk_Yell-July18-Site5cc-S134	18S_Euk_Yell-July18-Site5e-S95	18S_Euk_Yell-July18-Site1J-S99	18S_Euk_Yell-July18-Site5k-S108	18S_Euk_Yell-July18-Site1dd-S141	18S_Euk_Yell-July18-Site5aa-S132	18S_Euk_Yell-July18-Site5z-S131	18S_Euk_Yell-July18-Site1p-S105	18S_Euk_Yell-July18-Site1q-S106	18S_Euk_Yell-July18-Site5ee-S136	18S_Euk_Yell-July18-Site5c-S89	18S_Euk_Yell-July18-Site1d-S86	18S_Euk_Yell-July18-Site1e-S91	18S_Euk_Yell-July18-Site5g-S97	18S_Euk_Yell-July18-Site1L-S101	18S_Euk_Yell-July18-Site5L-S109	18S_Euk_Yell-July18-Site5v-S127	18S_Euk_Yell-July18-Site5q-S122	18S_Euk_Yell-July18-Site1w-S118	18S_Euk_Yell-July18-Site1n-S103	18S_Euk_Yell-July18-Site5u-S126	18S_Euk_Yell-July18-Site1U-S114	18S_Euk_Yell-July18-Site1cc-S140	18S_Euk_Yell-July18-Site1m-S102	18S_Euk_Yell-July18-Site1y-S120	18S_Euk_Yell-July18-Site1o-S104	18S_Euk_Yell-July18-Site1f-S92	18S_Euk_Yell-July18-Site5m-S110	18S_Euk_Yell-July18-Site5n-S115	18S_Euk_Yell-July18-Site1k-S100	18S_Euk_Yell-July18-Site5t-S125	18S_Euk_Yell-July18-Site5h-S98	18S_Euk_Yell-July18-Site1t-S113	18S_Euk_Yell-July18-Site5a-S87	18S_Euk_Yell-July18-Site5r-S123	18S_Euk_Yell-July18-Site5w-S128	18S_Euk_Yell-July18-Site1r-S111	18S_Euk_Yell-July18-Site5J-S107	18S_Euk_Yell-July18-Site5ff-S137	18S_Euk_Yell-July18-Site5p-S121	18S_Euk_Yell-July18-Site5s-S124	18S_Euk_Yell-July18-Site1g-S93	18S_Euk_Yell-July18-Site1s-S112	18S_Euk_Yell-July18-Site5f-S96	18S_Euk_Yell-July18-Site5o-S116	18S_Euk_Yell-July18-Site1ee-S142	18S_Euk_Yell-July18-Site1bb-S139	18S_Euk_Yell-July18-Site1v-S117
Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Diphyidae;Diphyes;Diphyes chamissonis	0	0	0	0	0	0	0	1	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Dinophyceae	4788	1825	2151	2181	1157	458	605	1620	1309	7	413	4595	821	1568	1921	471	1762	97	1155	124	0	210	564	293	7	2184	2070	762	2	4050	1482	1040	2235	2183	484	1359	958	599	628	792	347	1998	0	1421	1	5484	539	989	691	2900	26	207	0	2008	1661
Eukaryota;Nemertea;Pilidiophora;Heteronemertea;Lineidae;Maculaura;Maculaura alaskensis	898	1417	689	11907	126	430	53	123	172	1	126	1765	74	136	1980	359	55	44	391	41	0	44	42	5	2	1065	599	236	3	3482	233	932	613	629	40	46	90	66	129	404	42	487	0	308	0	1318	81	34	189	522	2	15	0	1288	431
Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Diphyidae;Lensia;Lensia cossack	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Arthropoda;Hexanauplia;Poecilostomatoida;Corycaeidae	33	0	0	1	0	0	2	0	0	1	2	20	30	15	36	0	8	1	0	0	0	3	0	4	0	0	14	0	0	132	1	8	92	0	13	5	12	0	0	21	30	0	0	29	0	21	0	0	13	29	0	0	0	1	88
Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Naviculaceae;Navicula	1870	467	788	1255	9520	362	774	11448	4993	2	232	1327	5931	11778	12650	3324	3868	386	637	122	0	586	669	709	14	1014	1232	708	31	2520	885	1152	3676	2626	602	1026	252	627	6879	937	293	1111	0	464	1	1440	778	189	2107	775	63	1083	0	1015	998
Eukaryota;NA;Cryptophyceae	795	380	739	547	604	116	411	815	1006	2	429	986	471	1153	2103	447	1740	115	393	51	0	65	800	17	1	1185	808	151	2	2230	748	348	670	916	558	218	252	420	626	338	360	71	0	608	0	718	405	326	185	1086	6	147	0	809	639
Eukaryota;NA;Cryptophyceae;Pyrenomonadales;Geminigeraceae;Teleaulax;Teleaulax amphioxeia	353	104	268	132	223	191	215	278	321	3	255	320	172	335	527	124	340	62	118	15	0	20	358	1149	0	365	333	59	0	664	233	87	227	264	282	505	86	160	172	97	148	25	0	287	0	2759	204	169	54	432	2	40	0	199	332
Eukaryota;Chlorophyta;Pyramimonadophyceae;Pyramimonadales;Pyramimonadaceae;Pyramimonas	195	71	134	100	55	32	127	49	220	1	23	127	30	276	334	70	45	6	625	9	0	8	23	2	1	198	203	57	0	307	119	68	173	216	16	18	64	26	41	75	81	11	0	113	0	24	35	12	42	171	5	18	0	149	146
Eukaryota;Ciliophora;Spirotrichea;NA;Strombidiidae;Strombidium;Strombidium sp.	4162	984	1899	1758	435	970	583	536	591	6	1170	2946	398	1169	1370	339	347	1172	863	257	0	72	269	12	1	2885	4164	912	6	3590	1325	788	2882	6209	190	544	485	181	253	768	367	2863	0	1172	0	5310	171	1680	259	2990	8	99	0	4160	1042
Eukaryota;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gyrodiniellum;Gyrodiniellum shiwhaense	1506	468	907	605	86	89	99	100	429	2	228	2083	95	344	1643	272	1382	157	1085	29	0	31	44	1116	2	1064	1111	1391	2	2342	696	310	890	816	61	103	562	24	126	321	132	1147	0	776	0	1541	31	416	109	975	6	28	0	1336	1113
Eukaryota;Arthropoda;Hexanauplia;Cyclopoida;Oithonidae;Oithona	163	154	7	0	1	0	1862	0	0	2	65	0	36	0	6	0	276	0	38	0	0	0	0	0	0	0	102	31	0	0	0	0	1	2608	0	0	0	0	1	54	0	63	0	1157	0	0	0	0	0	2371	68	0	0	0	668
Eukaryota;Ciliophora;Spirotrichea;Choreotrichida;Strobilidiidae;Strobilidium;Strobilidium sp.	2099	890	895	722	7	323	6	20	77	4	403	709	196	2	359	212	38	29	439	19	0	47	25	6	0	1537	954	468	1	1540	369	315	807	1648	35	0	231	45	3	269	36	51	0	868	0	1138	60	2	157	1338	2	36	0	931	634
Eukaryota;Arthropoda;Hexanauplia;Calanoida;Calanidae;Calanus	0	0	1	1	1	235	1	0	0	1	0	1	0	0	11	3	0	0	0	0	0	0	0	485	0	0	1087	0	0	5	1650	207	1	5	0	0	0	667	2366	1	0	0	0	0	0	0	0	2	0	0	90	0	0	1	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Coscinodiscales;Coscinodiscaceae;Coscinodiscus;Coscinodiscus granii	1072	964	404	318	0	31	0	0	1	5	0	1137	1	0	617	305	10	0	615	30	0	43	0	274	0	1397	71	116	1	1261	844	161	106	112	0	0	245	10	0	661	0	0	0	831	0	924	0	0	133	862	0	0	0	482	797
Bacteria;Pseudomonadota;Alphaproteobacteria	164	41	46	83	203	50	33	329	101	1	12	138	291	278	138	30	85	42	28	5	0	23	27	80	0	75	24	44	1	145	25	54	63	63	38	64	6	61	79	38	19	191	0	32	0	176	21	32	82	72	1	61	0	87	23
Eukaryota;Chlorophyta;Ulvophyceae;Ulvales;Ulvaceae;Ulva	128	28	68	43	361	36	55	518	605	1	6	77	430	595	359	47	91	6	49	25	0	23	34	46	1	45	129	47	0	98	43	41	76	512	28	29	11	50	228	104	47	222	0	29	0	110	47	86	82	37	8	66	0	59	44
Eukaryota;Chlorophyta;Ulvophyceae;Ulotrichales;Ulotrichaceae;Acrosiphonia;Acrosiphonia duriuscula	42	21	35	31	2	13	1	9	11	1	0	16	7	14	144	21	3	0	17	6	0	0	0	3	0	22	27	3	0	37	6	13	37	72	0	1	5	4	3	60	1	1	0	6	0	29	0	0	19	11	0	1	0	7	13
Eukaryota;Ciliophora;Litostomatea;Cyclotrichida;Mesodiniidae;Mesodinium;Mesodinium rubrum	120	58	91	34	243	19	401	318	735	2	50	189	152	851	268	46	253	37	55	2	0	13	207	13	2	187	131	28	0	459	168	34	80	151	157	107	67	149	277	45	254	41	0	69	0	2076	150	106	35	167	13	58	0	138	144
Eukaryota;NA	120	52	113	81	104	18	25	110	74	3	7	1087	102	94	230	54	68	3	41	16	0	8	21	15	0	142	135	58	0	258	101	68	135	218	14	22	54	22	52	74	12	31	0	71	0	42	10	18	31	111	0	26	0	102	148
Eukaryota;Bacillariophyta;Bacillariophyceae	301	198	231	500	500	412	11	616	225	2	3	3733	461	521	1487	646	88	113	325	30	0	196	35	211	1	512	455	61	4	821	398	519	800	417	39	63	61	94	336	238	16	149	0	145	0	291	42	342	683	497	4	130	0	645	237
Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas	1830	797	708	769	596	441	436	740	1397	1	112	2156	493	1174	3485	593	360	207	480	35	0	64	264	226	1	1358	702	200	2	3193	782	1042	883	931	235	194	314	150	544	478	373	3387	0	537	0	234	200	70	201	1173	18	161	0	1070	622
Eukaryota;Ciliophora;Phyllopharyngea;Dysteriida;Hartmannulidae;Hartmannula;Hartmannula derouxi	392	147	237	490	37	159	1	56	46	1	0	1106	17	54	1807	441	2089	0	740	90	0	194	4	6	1	245	1224	147	2	1065	361	176	773	828	1	17	147	0	128	636	2	17	0	144	0	0	3	0	657	166	0	16	0	296	436
Eukaryota;NA;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;Heterocapsa rotundata	1026	873	1087	661	561	48	342	693	781	1	209	1136	374	978	1368	273	389	44	1480	46	0	28	301	7	1	1306	822	316	3	2501	684	352	846	1099	212	155	408	131	383	359	215	44	0	496	0	1556	164	64	108	1097	12	113	0	1526	815
Eukaryota;NA;Dinophyceae;Peridiniales;Protoperidiniaceae;Protoperidinium;Protoperidinium leonis	0	0	0	13	0	0	0	0	0	1	0	0	0	100	0	0	0	0	9	0	0	0	0	0	0	0	35	1	0	83	34	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	1	0	0	1
Eukaryota;Bacillariophyta;Fragilariophyceae;Licmophorales;Ulnariaceae;Tabularia	4896	1927	534	3474	28672	792	100	34444	3681	1	433	5172	27488	14016	5255	4061	9033	475	1835	96	0	816	468	6533	9	3499	614	94	125	5312	776	6120	1384	1145	396	3898	76	3241	11563	1567	203	12459	0	352	0	3074	330	121	2745	1467	19	11933	0	2216	607
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Pelagimonas;Pelagimonas phthalicica	1	0	0	0	3	0	0	10	0	1	0	3	6	2	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	4	0	0	0	0	0	0	0	0	0	3	0	1	0
Archaea;Candidatus Thermoplasmatota;Candidatus Poseidoniia;Candidatus Poseidoniales;Candidatus Thalassarchaeaceae;Candidatus Thalassarchaeum;Candidatus Thalassoarchaea mediterranii	306	146	242	263	44	164	43	55	28	1	17	401	54	62	634	105	79	17	115	7	0	33	29	13	1	365	114	27	1	936	163	119	151	186	27	17	56	29	27	121	44	703	0	96	0	121	32	29	67	323	0	10	0	443	105
Eukaryota;Haptophyta;NA	64	23	61	53	12	9	24	10	38	1	3	75	11	43	112	20	13	2	17	5	0	4	7	0	0	116	65	21	0	189	27	37	54	75	5	3	20	5	8	29	12	5	0	43	0	5	7	1	16	73	1	3	0	41	64
Eukaryota;Haptophyta;NA;Phaeocystales;Phaeocystaceae;Phaeocystis	281	85	283	155	221	42	104	264	445	1	27	275	166	294	727	97	87	21	80	25	0	15	70	7	2	317	224	76	1	594	160	95	161	389	33	342	84	37	208	165	108	728	0	164	0	64	52	25	60	209	5	32	0	144	186
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Minidiscus;Minidiscus trioculatus	135	78	15	54	82	25	10	95	48	1	41	124	73	191	220	48	23	228	115	1	0	6	21	14	0	78	20	17	1	111	65	43	42	33	22	41	5	11	35	3	15	119	0	23	0	153	13	38	35	98	1	13	0	116	33
Eukaryota;Bacillariophyta;Bacillariophyceae;Thalassiophysales;Catenulaceae;Amphora;Amphora cf. capitellata	31	14	18	30	48	5	3	54	0	1	2	28	26	31	120	61	18	5	555	0	0	5	17	91	0	33	26	1	0	49	22	26	48	21	7	8	1	22	35	33	2	18	0	6	0	12	2	0	26	16	0	19	0	26	10
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira oceanica	1300	163	321	449	490	91	108	644	379	1	43	3352	451	833	629	318	179	16	204	15	0	90	99	34	3	666	232	59	2	877	428	319	425	267	54	61	86	118	215	105	77	1799	0	201	0	80	99	284	298	725	2	134	0	782	223
Eukaryota;Ciliophora;Spirotrichea;Tintinnida	254	62	1093	266	7	16	7	8	26	1	2	113	9	69	1896	82	1681	28	234	40	0	20	9	6	1	395	1331	1302	1	1303	191	105	1244	1535	3	342	251	5	4	123	12	2	0	248	0	6	2	205	27	279	0	8	0	1110	247
Eukaryota;Ciliophora;Spirotrichea;NA;Strombidiidae;Omegastrombidium;Omegastrombidium elegans	68	66	122	92	140	16	42	166	278	1	14	90	125	204	452	205	36	5	89	5	0	19	17	13	0	27	280	30	0	335	131	33	51	96	10	37	14	44	147	140	62	41	0	6	0	24	30	19	47	57	6	37	0	71	76
Eukaryota;NA;Dinophyceae;Peridiniales;Protoperidiniaceae;Protoperidinium;Protoperidinium conicum	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	95	1	21	0	0	0	0	195	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	89	0	0	0	0	67
Eukaryota;Ciliophora	281	88	114	72	47	20	29	42	249	1	129	300	83	295	340	67	18	5	942	15	0	13	18	4	0	187	204	40	2	384	57	73	197	221	17	6	127	26	68	22	4	13	0	92	0	38	13	11	41	282	1	8	0	128	144
Eukaryota;NA;Phaeophyceae;Fucales;Sargassaceae	139	50	77	51	150	110	20	194	63	0	2	205	144	112	1951	1270	105	4	89	109	0	133	51	68	0	96	127	13	4	140	95	246	158	1706	25	65	17	87	317	231	16	86	0	27	0	41	54	27	498	61	1	227	0	42	89
Eukaryota;Mollusca;Bivalvia;Cardiida;Psammobiidae;Hiatula;Hiatula diphos	687	194	487	287	566	71	90	780	1720	0	4	58	499	748	2221	417	35	37	450	30	0	42	39	19	0	426	680	5	4	113	22	5188	542	430	33	334	10	50	651	1326	73	87	0	127	0	18	66	118	111	195	22	123	0	26	155
Eukaryota;Nemertea;Palaeonemertea;Carinomiformes;Carinomidae;Carinoma	16	13	36	131	6	1059	3	9	17	0	0	129	3	12	305	61	2407	0	7	352	0	616	0	0	0	209	96	74	2	347	53	350	104	6758	0	3	10	2	9	175	0	487	0	57	0	0	0	3	2032	78	0	0	0	260	88
Eukaryota;Annelida;Polychaeta;Phyllodocida;Glyceridae;Glycera;Glycera sp. DC-2019	1	4	1	29	4	722	0	3	4	0	0	931	1	2	499	60	1	2	1	274	0	640	0	0	0	43	46	6	0	197	218	83	27	3785	0	114	35	0	5	105	0	0	0	38	0	1	11	0	2323	52	0	0	0	20	53
Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Clavidae;Rhizogeton;Rhizogeton nudus	23	2	15	2	2	5	0	1	1	0	0	4	0	0	117	20	0	0	5	4	0	325	0	0	0	9	46	0	0	2	1	5	37	53	0	0	1	0	1	40	0	0	0	3	0	0	0	0	1315	5	0	40	0	5	6
Eukaryota;Rhodophyta;Florideophyceae;Gigartinales;Phyllophoraceae	25	9	7	16	11	7	0	18	7	0	0	14	16	5	82	17	2	0	9	2	0	2	0	39	0	7	22	1	0	2	3	16	17	33	1	6	4	1	2	13	2	3	0	0	0	3	3	2	16	7	0	2	0	2	8
Eukaryota;Arthropoda;Hexanauplia;Harpacticoida	4	7	8	4	87	28	1	100	7	0	0	2	10	2	105	4	285	4	3	11	0	13	4	2	0	1	10	3	0	333	2	18	99	7	3	18	3	35	123	38	0	42	0	4	0	8	14	28	48	5	0	2	0	5	6
Eukaryota;Annelida;Polychaeta;Phyllodocida;Syllidae;Exogone;Exogone africana	124	53	109	58	71	36	17	96	232	0	7	37	60	128	1422	264	6	2	55	16	0	22	9	15	2	35	677	7	0	88	34	24	504	347	5	19	15	7	95	58	5	36	0	9	0	3	8	1	72	23	4	18	0	83	26
Eukaryota;Cercozoa;NA;NA;NA;Quadricilia;Quadricilia rotundata	1093	70	207	34	100	37	92	147	193	0	14	229	92	306	279	77	66	11	71	13	0	22	39	1	0	82	251	52	0	464	121	37	194	296	26	7	52	27	51	27	87	8	0	20	0	33	24	171	85	31	3	1	0	125	28
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Minidiscus	3720	2067	579	1460	2521	757	491	2948	1288	0	903	3100	1982	4996	5835	1461	718	624	2858	43	0	375	718	432	3	2225	506	616	15	3638	1705	1114	1879	988	479	1212	251	509	969	227	373	2407	0	586	1	3908	451	423	1413	2722	16	571	0	2797	893
Eukaryota;Chlorophyta;Ulvophyceae;Ulvales;Ulvaceae;Ulva;Ulva flexuosa	147	38	75	96	160	957	40	209	268	0	3	146	193	263	421	53	121	7	42	610	0	481	27	7	1	118	121	12	1	162	38	81	97	11326	17	25	23	27	110	123	33	118	0	39	0	1507	47	34	1659	53	6	31	0	114	73
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Melosirales;Melosiraceae;Melosira;Melosira dubia	16	39	16	42	65	16	3	64	11	0	0	131	46	23	415	160	16	4	45	6	0	9	18	23	2	51	28	19	2	126	59	52	46	93	16	15	24	20	79	29	3	41	0	10	0	63	8	3	47	18	0	30	0	42	42
