18S_Euk_seq_number	18S_Euk_Yell-July18-Site1a-S83	18S_Euk_Yell-July18-Site1c-S85	18S_Euk_Yell-July18-Site1b-S84	18S_Euk_Yell-July18-Site1z-S129	18S_Euk_Yell-July18-Site5bb-S133	18S_Euk_Yell-July18-Site1h-S94	18S_Euk_Yell-July18-Site5b-S88	18S_Euk_Yell-July18-Site5cc-S134	18S_Euk_Yell-July18-Site5e-S95	18S_Euk_Yell-July18-Site1J-S99	18S_Euk_Yell-July18-Site5k-S108	18S_Euk_Yell-July18-Site1dd-S141	18S_Euk_Yell-July18-Site5aa-S132	18S_Euk_Yell-July18-Site5z-S131	18S_Euk_Yell-July18-Site1p-S105	18S_Euk_Yell-July18-Site1q-S106	18S_Euk_Yell-July18-Site5ee-S136	18S_Euk_Yell-July18-Site5c-S89	18S_Euk_Yell-July18-Site1d-S86	18S_Euk_Yell-July18-Site1e-S91	18S_Euk_Yell-July18-Site5g-S97	18S_Euk_Yell-July18-Site1L-S101	18S_Euk_Yell-July18-Site5L-S109	18S_Euk_Yell-July18-Site5v-S127	18S_Euk_Yell-July18-Site5q-S122	18S_Euk_Yell-July18-Site1w-S118	18S_Euk_Yell-July18-Site1n-S103	18S_Euk_Yell-July18-Site5u-S126	18S_Euk_Yell-July18-Site1U-S114	18S_Euk_Yell-July18-Site1cc-S140	18S_Euk_Yell-July18-Site1m-S102	18S_Euk_Yell-July18-Site1y-S120	18S_Euk_Yell-July18-Site1o-S104	18S_Euk_Yell-July18-Site1f-S92	18S_Euk_Yell-July18-Site5m-S110	18S_Euk_Yell-July18-Site5n-S115	18S_Euk_Yell-July18-Site1k-S100	18S_Euk_Yell-July18-Site5t-S125	18S_Euk_Yell-July18-Site5h-S98	18S_Euk_Yell-July18-Site1t-S113	18S_Euk_Yell-July18-Site5a-S87	18S_Euk_Yell-July18-Site5r-S123	18S_Euk_Yell-July18-Site5w-S128	18S_Euk_Yell-July18-Site1r-S111	18S_Euk_Yell-July18-Site5J-S107	18S_Euk_Yell-July18-Site5ff-S137	18S_Euk_Yell-July18-Site5p-S121	18S_Euk_Yell-July18-Site5s-S124	18S_Euk_Yell-July18-Site1g-S93	18S_Euk_Yell-July18-Site1s-S112	18S_Euk_Yell-July18-Site5f-S96	18S_Euk_Yell-July18-Site5o-S116	18S_Euk_Yell-July18-Site1ee-S142	18S_Euk_Yell-July18-Site1bb-S139	18S_Euk_Yell-July18-Site1v-S117
Eukaryota;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gyrodinium;Gyrodinium rubrum	0	28	1	97	1	2	0	0	8	0	3	28	258	5	0	0	14	0	0	0	0	2	2	0	0	7	17	1	0	130	39	1	29	0	1	18	0	1	4	0	0	0	0	109	0	22	0	334	19	195	0	19	0	80	0
Eukaryota;NA;Dinophyceae;Peridiniales;Peridiniaceae;Leonella;Leonella granifera	15	2	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	10	3	0	0	1	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Eukaryota;Ciliophora;Spirotrichea;Tintinnida;Codonellopsidae;Stenosemella;Stenosemella ventricosa	0	0	1	0	0	0	1	0	0	0	0	0	0	1	5	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	3
Eukaryota;Bacillariophyta;Mediophyceae;Biddulphiales;Biddulphiaceae;Biddulphia;Biddulphia sp. CCMP147	2	1	4	1	8	1	1	2	5	0	1	10	2	8	26	4	3	0	2	0	0	1	8	1	0	3	2	1	0	5	5	4	4	2	2	2	4	11	3	2	1	3	0	0	0	5	2	5	2	3	0	1	0	4	2
Eukaryota;Ciliophora;Litostomatea;Pleurostomatida;Litonotidae	0	0	0	0	0	0	0	8	1	0	0	0	12	0	48	7	0	0	0	0	0	1	0	1	0	0	0	0	0	1	2	2	10	2	0	0	0	1	8	10	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
Bacteria;Pseudomonadota;Alphaproteobacteria;Maricaulales;Robiginitomaculaceae;Algimonas;Algimonas arctica	4	1	3	5	18	2	0	25	6	0	0	10	29	21	9	2	3	1	1	1	0	2	0	1	0	2	2	0	0	3	0	3	6	5	0	11	0	5	11	1	0	5	0	0	0	3	1	0	12	1	0	7	0	3	0
Eukaryota;Ciliophora;Oligohymenophorea;Sessilida;Vorticellidae	5	0	0	1	20	1	0	22	1	0	0	9	0	2	10	0	6	0	3	0	0	1	0	1	0	3	24	0	0	2	0	2	1	5	0	1	0	0	11	5	1	5	0	1	0	1	1	0	3	13	0	0	0	1	0
Eukaryota;Ciliophora;Spirotrichea;NA;Tontoniidae;Pseudotontonia;Pseudotontonia sp. JG-2011a	1561	57	191	68	97	7	213	114	254	0	417	1745	101	302	141	33	72	13	91	17	0	4	37	3	2	237	346	88	0	31	14	79	188	264	43	549	45	65	55	56	155	19	0	69	0	89	18	144	20	151	2	12	0	366	158
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Tryblionella;Tryblionella apiculata	0	0	0	0	2	0	0	2	0	0	0	2	1	0	0	0	0	0	2	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
Eukaryota;NA;Dinophyceae;Peridiniales;Peridiniaceae;Scrippsiella;Scrippsiella sp. HZ-2005	1	5	0	3	2	0	0	5	0	0	0	4	2	2	6	7	0	0	4	0	0	3	0	1	0	5	0	0	0	13	8	0	8	2	0	0	0	0	4	0	0	0	0	4	0	233	0	0	2	4	0	0	0	2	1
Eukaryota;Euglenozoa;Euglenida;Eutreptiales;NA;Eutreptiella;Eutreptiella eupharyngea	7	0	3	2	18	0	8	8	15	0	1	1	13	10	0	0	3	0	0	1	0	1	5	1	0	2	4	0	0	2	0	3	1	4	2	1	0	4	5	5	6	0	0	1	0	1	1	1	1	5	0	4	0	1	1
Eukaryota;Rotifera;Eurotatoria;Ploima;Synchaetidae;Synchaeta;Synchaeta vorax	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	4	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	2	0
Eukaryota;Annelida;Polychaeta;Phyllodocida;Syllidae;Exogone;Exogone naidinoides	12	5	5	1	0	2	0	2	1	0	0	3	0	0	46	2	0	0	2	4	0	1	0	0	0	4	16	0	0	10	1	1	6	24	0	2	0	0	0	1	0	0	0	0	0	0	0	0	7	2	0	1	0	4	1
Eukaryota;Rhodophyta;Florideophyceae;Halymeniales;Halymeniaceae	26	2	16	9	1	3	1	7	5	0	0	29	4	3	17	10	0	0	7	0	0	1	1	0	0	14	12	2	0	65	6	9	11	33	0	0	4	0	1	10	2	3	0	2	0	1	0	0	6	19	0	0	0	22	17
Eukaryota;Ciliophora;Spirotrichea	15	9	15	8	5	5	3	6	6	0	2	8	2	12	32	15	11	1	9	3	0	1	3	4	0	12	18	3	0	20	6	11	14	75	3	2	4	4	11	11	3	10	0	5	0	22	11	9	4	16	0	1	0	16	7
Eukaryota;Mollusca;Bivalvia;Cardiida;Donacidae;Donax;Donax variabilis	18	0	1	1	0	0	0	0	0	0	0	2	0	0	9	1	0	0	0	0	0	1	0	0	0	1	16	0	0	6	1	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	9
Eukaryota;NA;Choanoflagellata	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales	41	96	42	27	7	4	7	3	6	0	3	185	6	10	138	28	3	2	16	1	0	2	4	220	0	66	47	14	0	158	39	29	37	38	1	2	16	4	5	23	5	14	0	18	0	11	4	1	17	56	0	3	0	55	32
Eukaryota;NA;Bigyra	1	0	0	1	8	0	1	8	2	0	0	0	13	5	9	1	2	1	3	0	0	1	0	2	0	1	1	0	0	4	2	4	1	5	0	2	1	1	3	0	0	3	0	1	0	0	2	1	3	0	0	0	0	1	0
Bacteria;Pseudomonadota;Alphaproteobacteria;NA;NA;NA;unknown marine alpha proteobacterium JP7.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae	43	23	25	18	69	4	26	85	72	0	9	63	49	108	75	51	33	2	17	4	0	4	17	6	0	32	21	8	0	77	39	12	44	23	18	762	16	19	38	14	24	6	0	28	0	8	17	18	32	43	1	14	0	29	54
Eukaryota;Mollusca;Gastropoda;Neogastropoda;Buccinidae;Buccinum;Buccinum pemphigus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Eukaryota;Mollusca;Gastropoda;Trochida;Margaritidae;Margarites;Margarites helicinus	58	16	49	84	0	6	1	1	1	0	0	48	3	0	165	38	0	0	14	4	0	3	1	0	0	95	48	8	2	185	28	100	51	76	0	5	8	2	0	138	0	0	0	24	0	0	0	0	13	63	0	0	0	43	50
Eukaryota;NA;Cryptophyceae;Cryptomonadales;Hemiselmidaceae;Hemiselmis	0	1	0	2	4	1	2	3	4	0	0	1	2	6	2	0	3	0	1	0	0	1	0	0	0	1	0	0	0	4	0	0	1	8	1	1	0	0	0	0	4	1	0	0	0	0	0	0	2	2	0	0	0	0	1
Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales	1	1	0	0	12	0	0	21	1	0	0	1	24	19	5	0	14	2	0	0	0	1	5	10	0	1	0	0	0	0	0	2	1	1	1	0	0	18	15	2	0	19	0	0	0	7	2	0	0	2	0	13	0	0	1
Bacteria;Pseudomonadota;Epsilonproteobacteria	1	0	0	1	0	1	0	3	1	0	1	0	0	4	0	0	1	0	1	1	0	1	0	0	0	1	0	0	0	1	1	0	1	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Eukaryota;Haptophyta;NA;Prymnesiales;Chrysochromulinaceae;Chrysochromulina	53	26	56	35	6	13	4	5	28	0	1	43	1	20	73	22	2	0	27	3	0	3	2	1	0	80	42	179	0	89	28	13	38	62	2	1	8	1	5	24	4	1	0	25	0	501	4	2	9	47	0	1	0	34	32
Bacteria;Pseudomonadota	22	6	6	16	29	8	7	49	23	0	2	21	59	48	27	9	24	6	21	0	0	4	5	33	0	12	5	0	0	32	7	10	10	15	0	17	0	21	21	8	4	17	0	4	0	8	6	0	13	11	0	13	1	10	4
Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;NA	1	2	0	0	0	0	0	1	0	0	0	1	3	0	7	0	0	0	0	0	0	1	0	0	0	0	1	0	0	3	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0
Eukaryota;Arthropoda;Malacostraca;Amphipoda;Eusiridae;Eusirus;Eusirus perdentatus	0	0	0	0	0	0	0	0	0	0	0	4	0	0	176	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
Eukaryota;Ciliophora;Litostomatea;Cyclotrichida;Mesodiniidae;Mesodinium;Mesodinium pulex	0	0	2	4	123	0	13	158	43	0	2	0	76	25	2	0	63	5	0	0	0	2	28	2	0	0	0	0	0	5	7	0	1	13	45	25	2	20	125	2	19	16	0	1	0	35	52	10	3	4	1	14	0	1	5
Eukaryota;NA;Ichthyosporea;Ichthyophonida;NA;Creolimax;Creolimax fragrantissima	0	1	0	12	24	0	0	38	0	0	0	19	58	44	0	1	4	1	3	0	0	1	1	6	0	8	0	0	0	6	1	6	2	0	0	0	0	4	0	0	0	24	0	0	0	2	0	0	11	5	0	14	0	6	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Kordiimonadales;Kordiimonadaceae;Eilatimonas;Eilatimonas milleporae	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Nitzschia;Nitzschia draveillensis	0	2	0	2	0	1	0	0	0	0	0	2	0	1	11	4	0	0	1	0	0	1	0	0	0	3	0	0	0	6	0	1	4	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	2	0
Eukaryota;Porifera;Calcarea;Baerida;Baeriidae;Eilhardia;Eilhardia schulzei	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1165	172	0	0	0	0	0	1	0	0	0	0	629	0	0	1	1	1	394	0	0	0	0	0	0	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Phaeophyceae;Ectocarpales;Chordariaceae;Laminariocolax;Laminariocolax sp.	6	1	3	11	30	3	5	41	10	0	0	12	35	25	57	7	10	1	2	2	0	1	4	6	0	8	4	0	0	24	6	14	10	9	4	5	0	9	13	7	1	10	0	0	0	4	9	1	4	4	0	12	0	3	5
Eukaryota;NA;Choanoflagellata;NA;NA;NA;Choanoflagellata sp.	25	9	26	13	24	0	24	20	33	0	1	15	15	36	73	10	8	1	13	1	0	2	12	2	0	35	29	3	0	85	13	10	26	38	10	156	9	5	15	5	10	2	0	11	0	8	5	3	4	18	0	2	0	30	22
Eukaryota;NA;Dinophyceae;Dinophysiales;Dinophysiaceae;Dinophysis;Dinophysis acuminata	9	833	58	30	3	3	7	1	15	0	0	51	1	16	7	7	1	0	11	1	0	1	0	0	0	49	69	11	1	25	22	39	27	23	0	1	4	2	0	12	1	0	0	10	0	1	6	0	5	67	0	2	0	68	43
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros sp. NIES-3971	32	5	47	11	41	5	57	58	136	0	9	27	35	103	69	16	20	5	10	4	0	5	18	1	1	18	32	9	0	48	20	9	20	42	13	9	11	4	43	12	52	4	0	8	0	11	24	11	12	27	2	8	0	22	28
Eukaryota;Ciliophora;Phyllopharyngea;Dysteriida;Hartmannulidae;Trichopodiella;Trichopodiella faurei	2	0	2	2	0	9	0	0	0	0	0	3	1	3	13	1	1	0	1	0	0	1	11	0	0	1	2	1	0	2	38	2	2	9	1	9	0	20	1	96	0	1	0	0	0	0	0	0	2	2	0	0	0	4	3
Eukaryota;Mollusca;Bivalvia;Ostreida;Ostreidae;Crassostrea;Crassostrea ariakensis	0	14	0	0	2	39	0	3	0	0	0	1	1	1	383	2	0	1	12	0	0	3	5	0	0	4	5	0	0	42	27	1	11	0	8	0	0	0	247	0	0	0	0	0	0	4	0	0	20	1	0	1	0	1	0
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Aquella;Aquella oligotrophica	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Tubulinea;Elardia;Euamoebida;Hartmannellidae;Nolandella;Nolandella sp. ATCC PRA-27	0	0	3	1	7	0	1	3	8	0	0	1	1	4	2	4	1	1	0	1	0	1	1	1	0	0	5	0	0	0	0	4	5	10	0	1	0	0	1	4	1	0	0	0	0	1	1	0	4	0	0	0	0	0	3
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema;Skeletonema pseudocostatum	2	2	3	2	1	0	3	0	6	0	0	6	4	3	11	1	0	0	3	0	0	1	1	0	0	1	1	2	0	9	5	2	1	7	0	0	1	0	2	4	0	0	0	1	0	1	1	0	1	4	0	0	0	4	5
Eukaryota;Ciliophora;Oligohymenophorea	6	1	6	9	1	3	0	4	0	0	0	24	6	0	94	5	6	2	12	0	0	2	3	0	0	1	14	0	0	4	3	1	3	1	0	2	0	2	6	25	0	1	0	0	0	7	8	0	6	6	0	1	0	1	6
Eukaryota;Rhodophyta;Florideophyceae;Colaconematales;Colaconemataceae;Colaconema	0	0	0	0	6	1	0	5	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Entoprocta;NA;NA;Barentsiidae;Barentsia;Barentsia hildegardae	1	0	2	9	12	0	0	12	9	0	0	0	27	4	16	1	4	1	0	2	0	1	2	2	0	0	5	0	0	6	2	2	3	7	1	6	3	3	12	10	3	4	0	0	0	1	1	1	0	1	0	4	0	5	1
Eukaryota;NA;Dinophyceae;Dinophysiales;Dinophysiaceae;Dinophysis;Dinophysis norvegica	3	8	10	29	0	1	2	0	2	0	0	16	5	3	0	0	0	0	5	2	0	1	0	0	0	22	23	0	0	11	6	7	5	19	0	1	2	2	1	5	0	1	0	4	0	0	3	0	6	21	0	0	0	20	1
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter concisus	2	2	1	0	9	2	0	9	4	0	1	4	10	13	2	5	4	0	1	0	0	1	2	3	0	1	0	0	1	2	2	3	1	14	0	4	0	4	11	3	0	4	0	1	0	2	1	1	3	2	0	1	0	1	0
Eukaryota;Platyhelminthes;Rhabditophora;Rhabdocoela;Trigonostomidae;Astrotorhynchus;Astrotorhynchus sp. Vic66 NVS-2018	1	1	4	2	2	1	0	3	3	0	0	1	0	2	48	6	0	219	2	0	0	2	1	179	0	4	2	0	10	4	3	148	2	4	3	4	0	1	15	801	0	0	0	3	0	2	2	0	4	1	0	0	0	2	1
Eukaryota;Mollusca;Gastropoda;NA;Batillariidae;Batillaria;Batillaria zonalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Eukaryota;Mollusca;Gastropoda;Littorinimorpha;Lacunidae;Lacuna;Lacuna vincta	1	0	0	0	0	4	0	0	35	0	0	0	45	1	2	0	0	0	18	1	0	1	0	0	0	2	16	19	0	1	12	0	30	3	0	11	1	0	0	11	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1
Eukaryota;Bacillariophyta;Mediophyceae;Eupodiscales;Parodontellaceae;Trieres;Trieres sp.	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	4	2	0	0	0	0	0	0	3	0	1	1	0	0	1	0	0	0
Eukaryota;Rhodophyta;Compsopogonophyceae;Erythropeltidales	0	0	0	2	46	0	10	42	84	0	3	0	34	63	6	0	25	0	0	1	0	1	11	3	0	2	0	0	0	0	0	1	1	4	7	6	0	21	20	2	18	5	0	0	0	4	9	2	8	0	0	6	0	2	0
Eukaryota;Ciliophora;Spirotrichea;NA;NA;Protocruzia;Protocruzia adherens	1	0	0	2	0	1	0	0	2	0	0	0	1	8	13	3	1	0	1	0	0	1	0	0	0	0	1	0	0	0	3	0	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Eukaryota;Endomyxa;NA;Vampyrellida;NA;NA	12	3	5	1	29	5	2	27	11	0	0	18	12	12	43	5	3	0	5	0	0	2	2	3	0	2	9	0	0	14	0	6	14	23	0	3	0	7	9	9	0	11	0	0	0	13	3	0	10	1	0	19	0	1	1
Eukaryota;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Nusuttodinium;Nusuttodinium poecilochroum	0	0	0	0	0	0	1	0	1	0	0	0	2	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0
Eukaryota;Ciliophora;Litostomatea;Cyclotrichida;Mesodiniidae;Mesodinium;Mesodinium sp.	31	14	24	18	49	33	12	67	8	0	1	55	39	12	94	19	197	7	22	3	0	3	92	1	0	58	29	1	0	117	67	12	34	37	70	28	21	27	79	16	7	6	0	57	0	57	87	54	4	58	0	15	0	30	46
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales	0	0	0	2	7	0	0	12	2	0	0	1	4	4	2	0	2	2	0	0	0	1	1	2	0	0	0	0	0	1	0	2	1	0	0	1	0	3	3	1	1	0	0	0	0	3	0	0	2	1	0	4	0	3	0
Eukaryota;NA;Phaeophyceae;Ectocarpales;Ectocarpaceae	1	2	1	2	23	6	0	20	17	0	0	4	23	21	211	28	2	0	0	0	0	1	1	7	0	5	2	0	1	1	0	4	4	10	1	2	1	3	7	3	0	10	0	0	0	1	0	1	5	3	0	16	0	2	1
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira pseudonana	11	2	6	11	1	0	1	3	0	0	0	13	0	1	24	7	0	0	8	1	0	1	1	0	0	13	2	2	0	23	9	6	15	7	0	0	1	0	0	1	0	0	0	8	0	0	0	334	6	23	0	0	0	21	14
Eukaryota;Nemertea;Enopla;Monostilifera;Amphiporidae;Amphiporus;Amphiporus imparispinosus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Sellaphoraceae;Sellaphora	1	0	0	0	1	0	0	0	0	0	0	6	0	0	7	2	0	0	0	0	0	1	0	2	0	2	1	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	2	0	0	0	2	1
Eukaryota;NA;Phaeophyceae;Ectocarpales;Chordariaceae;Cladochroa;Cladochroa chnoosporiformis	8	0	0	9	63	1	10	63	36	0	3	9	67	59	4	2	29	7	1	0	0	1	12	7	1	4	1	0	0	4	0	3	2	2	10	11	0	13	34	3	6	21	0	1	0	10	5	3	1	0	0	17	0	2	2
Bacteria;Pseudomonadota;Alphaproteobacteria;NA;NA;Candidatus Puniceispirillum;Candidatus Puniceispirillum marinum	9	0	5	1	10	5	0	11	5	0	0	1065	6	25	7	1	1	0	2	0	0	1	2	0	0	9	2	1	0	14	1	2	0	4	4	2	0	1	7	5	1	1	0	2	0	2	4	0	3	9	1	3	0	8	0
Eukaryota;Rhodophyta;Florideophyceae;Nemastomatales;Schizymeniaceae	2	1	5	6	1	3	0	1	0	0	1	2	1	3	67	11	2	0	4	0	0	1	0	0	0	8	2	1	0	3	5	3	11	2	0	1	0	1	2	5	2	1	0	1	0	1	0	3	0	2	0	1	0	0	2
Eukaryota;Arthropoda;Hexanauplia;Calanoida;Pontellidae;Labidocera	113	34	1	57	0	14	0	0	0	0	20	60	0	0	4	0	18	2	121	23	0	2	0	23	0	44	92	88	0	0	0	0	5	1	0	44	23	0	0	1	0	54	0	273	0	125	0	45	1	0	0	0	0	148	154
Eukaryota;NA;Dinophyceae;Peridiniales;Peridiniaceae;Scrippsiella;Scrippsiella donghaiensis	6	17	5	9	11	2	0	12	0	0	1	28	5	8	24	17	0	0	6	1	0	3	2	1	0	30	4	1	0	50	17	6	29	3	1	0	4	1	8	0	0	0	0	5	0	513	0	0	9	19	0	0	0	14	5
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Thiovulaceae;Sulfurimonas;Sulfurimonas xiamenensis	12	5	0	2	36	1	18	35	30	0	2	0	39	44	10	1	25	4	0	0	0	2	13	3	1	0	0	1	0	3	1	3	7	2	19	11	0	20	32	2	11	7	0	1	0	10	15	5	2	2	0	10	0	2	0
Eukaryota;Oomycota;NA;Pythiales;Pythiaceae;Pythium	1	1	1	0	13	1	0	11	4	0	0	0	8	7	4	0	1	1	0	0	0	1	0	5	0	0	0	0	0	0	0	1	0	3	0	0	0	0	12	0	0	5	0	0	0	0	1	0	5	1	0	8	0	0	0
Eukaryota;NA;Chrysophyceae;Chromulinales	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Foraminifera;NA;Rotaliida	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Planctomycetota;Planctomycetia	4	1	1	3	22	0	1	28	4	0	0	9	43	30	2	0	5	0	1	0	0	1	0	7	0	3	0	0	0	4	2	1	6	2	0	4	0	2	2	5	0	9	0	0	0	2	1	0	3	7	0	7	0	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Conticribra;Conticribra guillardii	1	4	0	9	6	0	0	5	1	0	0	9	6	8	18	5	1	0	4	0	0	2	3	0	0	12	3	1	0	22	4	10	8	6	1	0	1	2	0	1	0	0	0	1	0	1	0	1	9	13	0	2	0	20	4
Eukaryota;NA;Chrysophyceae;NA;NA;NA;Chrysophyceae sp.	28	5	15	11	7	0	7	8	12	0	0	26	2	11	34	11	1	0	9	0	0	1	1	0	0	24	15	2	0	55	14	5	18	20	1	0	9	1	4	5	2	409	0	12	0	2	0	0	5	26	1	2	0	30	18
Eukaryota;Ascomycota;Xylonomycetes;Xylonales;Xylonaceae;Xylona;Xylona heveae	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Sertulariidae	9	6	14	1	7	1	2	6	8	0	1	6	6	10	6	7	4	0	3	3	0	1	0	0	0	9	3	1	0	20	5	7	9	3	0	1	4	2	7	18	2	2	0	5	0	5	4	0	0	6	0	0	0	8	8
Eukaryota;Annelida;Polychaeta;Phyllodocida;Hesionidae	33	6	9	42	545	0	110	691	745	0	17	35	553	681	40	8	138	10	16	0	0	2	52	319	89	18	37	49	0	30	12	15	14	16	24	258	6	73	468	61	87	176	0	6	0	58	240	37	9	592	3	165	0	37	19
Eukaryota;Apicomplexa;Conoidasida;Eugregarinorida	0	0	0	2	8	0	0	14	1	0	0	2	7	5	2	0	10	1	0	0	0	1	2	2	0	1	0	1	0	1	0	1	0	0	1	1	0	9	0	1	0	6	0	1	0	1	0	0	1	0	0	0	0	0	2
Eukaryota;NA;Phaeophyceae;Ectocarpales;Chordariaceae;Laminariocolax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Apicomplexa;Conoidasida;Eugregarinorida;Porosporidae;Thiriotia;Thiriotia pugettiae	0	0	0	7	19	1	0	18	0	0	0	2	21	20	22	3	11	0	0	0	0	1	0	7	0	10	0	0	0	0	1	7	0	1	1	0	0	11	0	0	1	15	0	0	0	10	0	0	3	3	0	17	0	8	6
