18S_Euk_seq_number	18S_Euk_Yell-July18-Site1e-S91	18S_Euk_Yell-July18-Site1J-S99	18S_Euk_Yell-July18-Site1r-S111	18S_Euk_Yell-July18-Site5a-S87	18S_Euk_Yell-July18-Site1s-S112	18S_Euk_Yell-July18-Site1bb-S139	18S_Euk_Yell-July18-Site1d-S86	18S_Euk_Yell-July18-Site5cc-S134	18S_Euk_Yell-July18-Site5t-S125	18S_Euk_Yell-July18-Site5L-S109	18S_Euk_Yell-July18-Site5r-S123	18S_Euk_Yell-July18-Site5h-S98	18S_Euk_Yell-July18-Site5aa-S132	18S_Euk_Yell-July18-Site1g-S93	18S_Euk_Yell-July18-Site5n-S115	18S_Euk_Yell-July18-Site5p-S121	18S_Euk_Yell-July18-Site5s-S124	18S_Euk_Yell-July18-Site1h-S94	18S_Euk_Yell-July18-Site5J-S107	18S_Euk_Yell-July18-Site5z-S131	18S_Euk_Yell-July18-Site1z-S129	18S_Euk_Yell-July18-Site1q-S106	18S_Euk_Yell-July18-Site1n-S103	18S_Euk_Yell-July18-Site5ff-S137	18S_Euk_Yell-July18-Site5o-S116	18S_Euk_Yell-July18-Site5w-S128	18S_Euk_Yell-July18-Site5b-S88	18S_Euk_Yell-July18-Site1a-S83	18S_Euk_Yell-July18-Site5bb-S133	18S_Euk_Yell-July18-Site5e-S95	18S_Euk_Yell-July18-Site1f-S92	18S_Euk_Yell-July18-Site1p-S105	18S_Euk_Yell-July18-Site1y-S120	18S_Euk_Yell-July18-Site5ee-S136	18S_Euk_Yell-July18-Site5u-S126	18S_Euk_Yell-July18-Site5f-S96	18S_Euk_Yell-July18-Site1k-S100	18S_Euk_Yell-July18-Site1dd-S141	18S_Euk_Yell-July18-Site1o-S104	18S_Euk_Yell-July18-Site1c-S85	18S_Euk_Yell-July18-Site1t-S113	18S_Euk_Yell-July18-Site1U-S114	18S_Euk_Yell-July18-Site1cc-S140	18S_Euk_Yell-July18-Site1m-S102	18S_Euk_Yell-July18-Site1v-S117	18S_Euk_Yell-July18-Site5m-S110	18S_Euk_Yell-July18-Site1ee-S142	18S_Euk_Yell-July18-Site5v-S127	18S_Euk_Yell-July18-Site5g-S97	18S_Euk_Yell-July18-Site5k-S108	18S_Euk_Yell-July18-Site1w-S118	18S_Euk_Yell-July18-Site1L-S101	18S_Euk_Yell-July18-Site5q-S122	18S_Euk_Yell-July18-Site1b-S84	18S_Euk_Yell-July18-Site5c-S89
Eukaryota;Euglenozoa;NA;Diplonemea	0	0	0	0	1	0	1	2	2	1	0	0	0	2	0	2	0	0	0	2	0	0	1	2	0	0	1	1	1	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1
Eukaryota;Tubulinea;Elardia;Leptomyxida;Flabellulidae;Flabellula;Flabellula citata	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Basidiomycota;Tremellomycetes;Tremellales;Syzygosporaceae;Syzygospora;Syzygospora alba	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chlorophyta;Mamiellophyceae;Dolichomastigales;Crustomastigaceae;Crustomastix	0	0	0	1	2	1	1	2	0	0	0	0	2	2	0	0	0	0	0	0	2	1	0	0	0	0	3	2	0	0	0	1	0	0	0	0	1	1	2	1	1	0	4	1	1	0	0	0	0	0	3	0	0	0	0
Eukaryota;Streptophyta;Magnoliopsida;Liliales;Liliaceae;Tulipa	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	1	1	0	0	0	0	0	1	0	0	0	2	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Ciliophora;Oligohymenophorea;Sessilida;Epistylidae;Epistylis;Epistylis elongata	0	0	0	0	0	0	0	1	0	0	0	8	0	0	1	8	0	0	0	1	0	0	0	0	11	0	0	2	0	1	0	0	1	27	0	0	0	6	0	1	5	0	9	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Porifera;Demospongiae;Verongiida;Aplysinidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Ciliophora;Spirotrichea;Choreotrichida;Strombidinopsidae;Strombidinopsis;Strombidinopsis acuminata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Planctomycetota;Planctomycetia;Planctomycetales;Planctomycetaceae	0	0	0	0	1	1	0	3	0	1	0	0	7	2	1	0	0	0	0	2	4	0	0	0	0	0	1	2	2	2	1	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0
Eukaryota;Ciliophora;Oligohymenophorea;Philasterida;Loxocephalidae;Cardiostomatella;Cardiostomatella vermiformis	3	0	0	0	1	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	78	2	0	0	0	0	3	0	1	6	33	0	0	0	0	1	1	3	2	57	0	0	4	3	0	0	0	0	0	1	0	0	0	0
Eukaryota;NA;Dictyochophyceae;Pedinellales;NA;NA;Pedinellales sp. CCMP2098	0	0	1	0	1	3	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0
Eukaryota;Ciliophora;Oligohymenophorea;Philasterida;Uronematidae;Uronemella;Uronemella parafilificum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Pseudomonadota;Deltaproteobacteria;Bradymonadales;Lujinxingiaceae;Lujinxingia	0	0	0	0	0	0	0	7	2	0	0	8	10	0	0	2	0	0	0	3	0	0	0	0	3	0	0	3	5	1	1	0	0	4	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
Eukaryota;Porifera;Demospongiae;Suberitida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	2	2	2	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Ciliophora;Spirotrichea;Choreotrichida;Lynnellidae;Lynnella;Lynnella semiglobulosa	0	0	34	0	0	79	12	47	0	0	600	0	0	0	0	0	0	0	0	18	2	1	32	0	0	0	0	1	44	0	25	184	28	0	0	0	39	31	8	0	7	0	57	0	10	0	0	0	0	0	0	0	0	99	0
Eukaryota;Discosea;Flabellinia;NA;Vannellidae;NA;Vannellidae sp.	0	0	0	0	0	0	0	2	0	0	1	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;Bradyrhizobium diazoefficiens	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Eukaryota;Annelida;Polychaeta;Phyllodocida;Nephtyidae	2	0	2	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	1	0	0	4	0	0	2	0	0	1	1	0	0	0	4	0	2	0	0	0	0	0	2	0	0	0	0
Eukaryota;Arthropoda;Arachnida;Trombidiformes;Halacaridae;Copidognathus	0	0	0	0	0	0	1	1	0	1	0	2	2	0	3	0	0	0	0	0	1	0	0	0	1	0	0	1	1	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
Eukaryota;Chlorophyta;Pyramimonadophyceae;Pyramimonadales;Pyramimonadaceae	0	0	8	0	0	6	1	1	0	0	0	0	0	0	0	0	0	0	0	1	2	1	8	0	1	0	3	3	0	0	2	3	3	0	1	0	0	4	6	2	3	0	11	1	1	0	0	1	0	0	5	0	0	4	0
Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Ascomycota;Dothideomycetes;Pleosporales;Leptosphaeriaceae;Leptosphaeria	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Euglenozoa;NA;Diplonemea;Diplonemidae;Rhynchopus;Rhynchopus sp. ATCC 50226	0	0	1	3	0	1	3	22	105	2	2	44	21	0	1	6	5	1	0	17	1	4	3	3	4	0	4	1	17	6	7	2	0	4	0	0	0	2	0	0	4	0	10	0	0	2	0	1	0	0	5	0	0	1	0
Eukaryota;Euglenozoa;Kinetoplastea;Neobodonida;NA;Cruzella;Cruzella marina	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	2	1	6	2	0	0	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1
Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Stauroneidaceae;Craticula;Craticula subminuscula	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	1	1	3	0	4	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Arthropoda;Malacostraca;Amphipoda;Hyalidae;Protohyale;Protohyale frequens	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	7	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira sp.	0	0	0	1	2	2	4	1	1	1	1	0	3	1	2	0	0	0	0	1	2	1	0	1	1	0	0	2	3	0	2	4	1	0	1	0	1	6	2	1	0	0	7	2	1	0	0	0	0	0	2	0	0	2	1
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira minima	0	0	0	0	1	3	2	3	0	2	3	0	1	4	1	0	1	1	0	5	3	1	0	4	0	0	0	1	3	4	2	6	1	0	1	0	0	0	1	4	0	0	1	0	2	1	0	0	0	0	2	0	0	1	0
Eukaryota;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus	0	0	0	1	0	0	0	4	4	4	0	2	0	1	2	2	0	0	0	3	1	0	0	5	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0
Eukaryota;NA;Dinophyceae;Suessiales;Suessiaceae;Pelagodinium;Pelagodinium beii	0	0	1	0	2	1	1	0	0	0	0	0	0	0	0	0	0	2	0	1	1	1	1	0	0	0	0	2	0	0	3	3	0	0	0	0	0	8	3	0	0	0	11	3	0	0	0	0	0	0	4	0	0	4	0
Eukaryota;NA;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;Heterocapsa sp. JD-2012	0	0	0	2	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Eukaryota;Streptophyta;Magnoliopsida;Malpighiales;Euphorbiaceae;Mercurialis;Mercurialis annua	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0
Eukaryota;Annelida;Polychaeta;NA;Capitellidae	0	0	1	0	1	0	0	42	0	1	13	22	18	0	4	3	0	0	0	57	3	2	3	5	1	0	1	1	31	61	0	5	0	0	1	0	1	0	0	1	3	0	3	1	0	0	0	2	0	0	2	0	0	1	0
Eukaryota;Ciliophora;Prostomatea;Prorodontida;Balanionidae;Balanion;Balanion planctonicum	1	0	0	0	0	1	0	0	0	0	0	0	0	0	13	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Eukaryota;Arthropoda;Hexanauplia;Calanoida;Calocalanidae;Calocalanus;Calocalanus tenuis	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Pseudomonadota;Gammaproteobacteria;Legionellales;Coxiellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;Mesorhizobium sp. NBSH29	0	0	0	0	0	0	0	4	0	0	2	1	8	2	0	0	0	0	0	2	0	0	0	0	1	0	0	1	6	2	0	1	1	1	0	0	0	3	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0
Eukaryota;NA;Dinophyceae;Prorocentrales;Prorocentraceae;Prorocentrum;Prorocentrum cassubicum	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Ciliophora;Spirotrichea;Choreotrichida;Strombidinopsidae;Strombidinopsis;Strombidinopsis sp.	0	0	0	0	0	2	0	2	27	30	4	17	15	0	0	26	12	1	0	2	0	2	10	32	3	0	4	1	1	2	1	1	0	41	0	0	2	0	0	0	7	0	12	0	0	32	0	1	0	0	1	0	0	0	2
Eukaryota;NA;Cryptophyceae;Cryptomonadales;Cryptomonadaceae;Plagioselmis;Plagioselmis nannoplanctica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Dinophyceae;Gonyaulacales;Gonyaulacaceae;Amylax;Amylax triacantha	0	0	1	0	7	5	0	12	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	11	0	0	6	0	0	1	0	0	0	11	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	3
Eukaryota;Fornicata;NA;NA;NA;Kipferlia;Kipferlia bialata	0	0	0	0	1	1	1	3	5	2	2	1	1	1	0	0	0	0	0	3	0	6	1	1	2	0	0	1	4	6	8	5	0	5	0	0	0	1	1	0	2	0	1	0	0	2	0	0	0	0	1	0	0	0	0
Eukaryota;Rhodophyta;Florideophyceae;Hildenbrandiales;Hildenbrandiaceae;Hildenbrandia;Hildenbrandia rubra	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Eukaryota;NA;Centroplasthelida;Pterocystida;Pterocystidae;Pterocystis;Pterocystis sp.	0	0	0	0	1	0	1	2	0	0	0	0	1	0	0	0	0	0	0	1	0	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0
Eukaryota;Streptophyta;Jungermanniopsida;Jungermanniales;Cephaloziaceae;Cephalozia;Cephalozia drucei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Cryptophyceae;Cryptomonadales	0	0	1	0	0	2	0	0	0	0	13	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	2	0	0	1	2	0	1	1	0	0	0	2	1	1	0	1	0	2	0	0	4	0	0	0	0	0	2	0
Eukaryota;Arthropoda;Hexanauplia;Harpacticoida;Harpacticidae	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0
Eukaryota;NA;Dinophyceae;Suessiales;Symbiodiniaceae	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0	2	1	2	0	0	0	0	0	1	0	0	0	0
Eukaryota;Bacillariophyta;Fragilariophyceae;Fragilariales	0	0	0	0	0	0	3	4	0	1	0	0	3	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	2	1	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1
Eukaryota;NA;Choanoflagellata;Acanthoecida	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0
Bacteria;Acidobacteria;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Thermoanaerobaculum;Thermoanaerobaculum sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Pseudomonadota;Gammaproteobacteria;NA;NA;NA;Thyasira flexuosa gill symbiont	0	0	0	0	0	0	0	2	4	1	1	0	5	0	1	2	0	0	0	1	0	0	0	0	0	0	0	1	6	0	0	2	1	5	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0
Eukaryota;Ciliophora;Oligohymenophorea;Mobilida;Trichodinidae;Trichodina;Trichodina hyperparasitis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	6	0	0	0	0	1	2	2	0	0	0	0	0	0	0	0	1	0
Bacteria;Verrucomicrobia;Opitutae;Puniceicoccales;Puniceicoccaceae;Ruficoccus;Ruficoccus sp.	0	0	0	0	0	0	0	5	3	2	0	4	2	1	4	2	1	0	0	1	0	1	1	0	0	0	0	1	2	2	1	1	0	4	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	1
Eukaryota;Rhodophyta;Florideophyceae;Ceramiales;Rhodomelaceae;Odonthalia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Dinophyceae;Gonyaulacales;Pyrocystaceae;Alexandrium;Alexandrium fundyense	0	0	1	0	5	10	37	2	13	0	1	0	5	0	0	0	0	6	0	1	8	0	48	0	0	0	3	1	0	18	86	2	2	0	1	0	0	0	0	35	2	0	4	3	28	0	0	0	0	1	4	0	0	5	1
Eukaryota;NA;Dinophyceae;Peridiniales;Peridiniaceae;Scrippsiella;Scrippsiella sp.	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	4	0	0	1	1	0	0	0	3	0	1	2	0	2	2	1	0	1	0	2	0	1	0	0	1	0	0	2	0	0	0	0
Eukaryota;NA;Dinophyceae;Peridiniales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Pseudomonadota;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Thiothrix;Thiothrix sp. ectosymbiont of Niphargus ictus	0	0	0	0	0	0	0	1	1	0	0	4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0
Eukaryota;Endomyxa;NA;Vampyrellida;NA;Thalassomyxa;Thalassomyxa sp. MVa1x	1	0	0	0	0	0	1	7	0	1	1	0	5	1	0	0	1	1	0	3	1	0	0	1	0	0	0	1	2	3	1	0	0	0	0	0	0	0	2	1	1	0	1	0	0	0	0	0	0	0	2	0	0	1	0
Eukaryota;NA;Dinophyceae;Gymnodiniales;Warnowiaceae;Proterythropsis;Proterythropsis sp. BSL-2009a	0	0	0	0	0	0	1	2	2	0	0	2	0	1	0	0	0	0	0	0	3	10	4	1	0	0	1	1	0	0	1	1	0	0	0	0	1	2	6	9	0	0	1	0	1	0	0	0	0	1	1	0	0	1	0
Eukaryota;Ciliophora;Spirotrichea;Choreotrichida;Strombidinopsidae;Strombidinopsis	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	67	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Stephanodiscales;Stephanodiscaceae	0	0	0	0	2	1	1	1	2	1	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	1	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Pseudomonadota;Gammaproteobacteria;NA;NA;Thiolapillus;Thiolapillus brandeum	0	0	1	0	0	0	0	0	0	0	1	0	4	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	4	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Limimaricola;Limimaricola hongkongensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Choanoflagellata;Acanthoecida;Stephanoecidae;Stephanoeca;Stephanoeca diplocostata	0	0	1	2	0	6	1	1	1	1	0	5	0	0	0	0	5	0	0	2	2	0	2	0	0	0	0	2	3	3	3	6	1	3	1	0	2	0	2	0	0	0	6	0	0	1	0	0	0	0	2	0	0	0	0
Eukaryota;NA;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;Heterocapsa pseudotriquetra	0	0	0	1	3	5	0	1	2	0	1	1	2	0	2	1	0	0	0	18	0	0	0	2	0	0	5	1	3	10	2	1	3	2	0	0	0	2	3	0	0	0	0	1	2	0	0	2	0	3	3	0	1	0	0
Eukaryota;NA;Bigyra;Opalinata	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Ciliophora;Phyllopharyngea;Dysteriida;Hartmannulidae	1	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	2	2	2	0	0	0	0	1	0	0	1	2	0	2	0	0	1	2	1	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0
Eukaryota;Ciliophora;Oligohymenophorea;Mobilida;Trichodinidae;Trichodina;Trichodina hypsilepis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Ciliophora;Spirotrichea;Tintinnida;Xystonellidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
Eukaryota;Discosea;NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Ciliophora;Spirotrichea;NA;Strombidiidae;Novistrombidium	0	0	0	0	2	0	1	0	0	0	2	0	1	0	0	0	0	0	0	2	0	1	0	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
Eukaryota;Arthropoda;Arachnida;Sarcoptiformes	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
Eukaryota;NA;Dinophyceae;Suessiales;Suessiaceae;Yihiella;Yihiella yeosuensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
Eukaryota;Basidiomycota;Tremellomycetes;Filobasidiales;Filobasidiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Arthropoda;Hexanauplia;Harpacticoida;NA;NA;Harpacticoida sp. 5521014	0	0	0	0	0	0	0	1	42	0	0	2	0	0	2	2	0	1	0	1	1	0	2	1	13	0	0	1	1	0	0	12	0	0	0	0	0	1	7	1	2	0	3	1	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;Heterocapsa minima	0	0	0	0	3	1	2	1	1	1	0	1	0	0	0	1	0	0	0	2	0	0	1	1	0	0	2	1	0	1	2	3	0	1	2	0	0	4	0	0	1	0	0	0	3	1	0	0	0	1	1	0	0	3	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Sulfitobacter;Sulfitobacter sp. S7-80	0	0	1	0	0	1	0	1	1	0	0	1	3	1	2	0	0	0	0	2	1	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0
Eukaryota;NA;Dinophyceae;NA;NA;Halostylodinium;Halostylodinium arenarium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
