18S_Euk_seq_number	18S_Euk_Yell-July18-Site1e-S91	18S_Euk_Yell-July18-Site1J-S99	18S_Euk_Yell-July18-Site1r-S111	18S_Euk_Yell-July18-Site5a-S87	18S_Euk_Yell-July18-Site1s-S112	18S_Euk_Yell-July18-Site1bb-S139	18S_Euk_Yell-July18-Site1d-S86	18S_Euk_Yell-July18-Site5cc-S134	18S_Euk_Yell-July18-Site5t-S125	18S_Euk_Yell-July18-Site5L-S109	18S_Euk_Yell-July18-Site5r-S123	18S_Euk_Yell-July18-Site5h-S98	18S_Euk_Yell-July18-Site5aa-S132	18S_Euk_Yell-July18-Site1g-S93	18S_Euk_Yell-July18-Site5n-S115	18S_Euk_Yell-July18-Site5p-S121	18S_Euk_Yell-July18-Site5s-S124	18S_Euk_Yell-July18-Site1h-S94	18S_Euk_Yell-July18-Site5J-S107	18S_Euk_Yell-July18-Site5z-S131	18S_Euk_Yell-July18-Site1z-S129	18S_Euk_Yell-July18-Site1q-S106	18S_Euk_Yell-July18-Site1n-S103	18S_Euk_Yell-July18-Site5ff-S137	18S_Euk_Yell-July18-Site5o-S116	18S_Euk_Yell-July18-Site5w-S128	18S_Euk_Yell-July18-Site5b-S88	18S_Euk_Yell-July18-Site1a-S83	18S_Euk_Yell-July18-Site5bb-S133	18S_Euk_Yell-July18-Site5e-S95	18S_Euk_Yell-July18-Site1f-S92	18S_Euk_Yell-July18-Site1p-S105	18S_Euk_Yell-July18-Site1y-S120	18S_Euk_Yell-July18-Site5ee-S136	18S_Euk_Yell-July18-Site5u-S126	18S_Euk_Yell-July18-Site5f-S96	18S_Euk_Yell-July18-Site1k-S100	18S_Euk_Yell-July18-Site1dd-S141	18S_Euk_Yell-July18-Site1o-S104	18S_Euk_Yell-July18-Site1c-S85	18S_Euk_Yell-July18-Site1t-S113	18S_Euk_Yell-July18-Site1U-S114	18S_Euk_Yell-July18-Site1cc-S140	18S_Euk_Yell-July18-Site1m-S102	18S_Euk_Yell-July18-Site1v-S117	18S_Euk_Yell-July18-Site5m-S110	18S_Euk_Yell-July18-Site1ee-S142	18S_Euk_Yell-July18-Site5v-S127	18S_Euk_Yell-July18-Site5g-S97	18S_Euk_Yell-July18-Site5k-S108	18S_Euk_Yell-July18-Site1w-S118	18S_Euk_Yell-July18-Site1L-S101	18S_Euk_Yell-July18-Site5q-S122	18S_Euk_Yell-July18-Site1b-S84	18S_Euk_Yell-July18-Site5c-S89
Eukaryota;Cercozoa;Thecofilosea;NA;Ebriacea;Ebria;Ebria tripartita	9	1	94	12	367	755	22	104	42	5	1044	43	113	69	94	22	2	13	0	288	456	51	174	12	60	0	0	343	79	198	67	105	158	2993	32	0	6	537	106	32	111	1	601	26	88	5	0	24	0	8	313	26	0	130	6
Eukaryota;Arthropoda;Hexanauplia;Poecilostomatoida;Corycaeidae;Corycaeus;Corycaeus speciosus	8	11	1233	1081	1011	54	14	5	0	29	0	0	1214	388	65	0	6	10	0	544	1	0	707	393	0	0	33	1116	0	2	5	1261	319	370	0	0	518	793	3051	0	476	0	4586	277	3385	267	0	66	0	194	1	135	1	0	30
Eukaryota;Arthropoda;Hexanauplia;Calanoida;Temoridae	0	3	0	0	0	0	0	17	552	407	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Archaea;Candidatus Thermoplasmatota;Candidatus Poseidoniia;Candidatus Poseidoniales;Candidatus Thalassarchaeaceae;Candidatus Thalassarchaeum;Candidatus Thalassoarchaea mediterranii	81	4	964	765	3016	4566	3073	1583	402	479	1463	1183	1264	734	1554	558	460	833	0	1912	2500	945	1193	7538	223	0	788	4956	1149	1601	2291	7262	1400	2193	436	22	705	5631	1810	1688	1251	8	10427	1771	1272	515	0	984	0	744	4184	297	2	3096	417
Eukaryota;Arthropoda;Hexanauplia;Calanoida;Clausocalanidae;Pseudocalanus;Pseudocalanus newmani	0	12	3059	67855	6991	2445	1184	8354	29762	17241	973	9375	10588	1336	2036	23213	10164	2256	26	21425	1236	45	2543	14364	2124	0	41923	9194	5940	5014	22111	111	55	26155	2049	538	1108	4724	3521	20	26292	1	26	887	289	9556	0	103	0	8891	23	399	70	29	4763
Eukaryota;Rhodophyta;Florideophyceae	77	3	77	84	158	78	81	451	93	52	256	128	552	404	372	39	16	89	0	517	130	229	445	62	132	0	46	604	362	428	1025	483	304	101	15	4	26	2491	180	83	353	1	153	76	78	19	0	148	0	11	205	117	3	303	3
Eukaryota;Arthropoda;Hexanauplia	1557	3	24747	878	21	11286	8139	34	8388	3972	3177	18699	42	2311	2977	306	4927	2802	2	30	4534	235	19631	13021	38	2	78	12576	22	55	1148	2819	2156	4250	8235	533	7101	4884	795	3097	1790	24	1008	13271	10845	122	0	5128	0	1245	3107	662	5	7493	2267
Eukaryota;Chordata;Appendicularia;Copelata;Oikopleuridae;Oikopleura;Oikopleura dioica	15	2	208	40	413	529	246	47	67	15	20	30	273	94	27	55	54	86	0	48	220	172	208	67	43	0	34	603	33	59	321	742	145	64	95	1	99	202	212	229	341	0	568	363	364	15	0	2	0	3	542	27	1	221	10
Eukaryota;Chordata;Ascidiacea;Stolidobranchia;Pyuridae	0	1	1	1	0	3	0	0	0	0	0	0	1	0	5	0	0	0	0	1	2	2	3	0	0	0	1	3	0	0	6	9	3	0	1	0	1	9	1	3	2	0	9	3	9	0	0	0	0	0	7	0	0	1	0
Eukaryota;Bacillariophyta	178	4	676	340	2021	1802	3420	12809	4565	1811	7001	9111	10210	4162	1095	1169	2034	579	0	7835	2568	6104	1062	3794	3925	0	465	1650	11068	3381	2292	11057	4358	3728	1532	32	241	5379	2740	1193	1767	42	4997	1569	1264	1078	0	2033	0	201	4288	1105	15	808	322
Eukaryota	1623	20	4258	1601	7206	4236	3052	10339	4991	7673	2551	9103	7570	16792	3377	6102	4076	7271	0	6935	3264	4493	7612	10017	1773	0	1931	8842	8402	6941	26648	20889	2803	12214	1568	105	1705	10959	6786	2698	3700	28	12958	6717	5809	5736	0	1663	0	783	6855	5020	21	3840	1230
