18S_Euk_seq_number	18S_Euk_Yell-July18-Site1L-S101	18S_Euk_Yell-July18-Site1bb-S139	18S_Euk_Yell-July18-Site1q-S106	18S_Euk_Yell-July18-Site5o-S116	18S_Euk_Yell-July18-Site5J-S107	18S_Euk_Yell-July18-Site1c-S85	18S_Euk_Yell-July18-Site5s-S124	18S_Euk_Yell-July18-Site5aa-S132	18S_Euk_Yell-July18-Site1r-S111	18S_Euk_Yell-July18-Site5a-S87	18S_Euk_Yell-July18-Site5m-S110	18S_Euk_Yell-July18-Site1e-S91	18S_Euk_Yell-July18-Site5h-S98	18S_Euk_Yell-July18-Site1J-S99	18S_Euk_Yell-July18-Site5ff-S137	18S_Euk_Yell-July18-Site5n-S115	18S_Euk_Yell-July18-Site5f-S96	18S_Euk_Yell-July18-Site1b-S84	18S_Euk_Yell-July18-Site5p-S121	18S_Euk_Yell-July18-Site1k-S100	18S_Euk_Yell-July18-Site5k-S108	18S_Euk_Yell-July18-Site1U-S114	18S_Euk_Yell-July18-Site5g-S97	18S_Euk_Yell-July18-Site5q-S122	18S_Euk_Yell-July18-Site1a-S83	18S_Euk_Yell-July18-Site5z-S131	18S_Euk_Yell-July18-Site1t-S113	18S_Euk_Yell-July18-Site1g-S93	18S_Euk_Yell-July18-Site1o-S104	18S_Euk_Yell-July18-Site5c-S89	18S_Euk_Yell-July18-Site5u-S126	18S_Euk_Yell-July18-Site5r-S123	18S_Euk_Yell-July18-Site1f-S92	18S_Euk_Yell-July18-Site5e-S95	18S_Euk_Yell-July18-Site1n-S103	18S_Euk_Yell-July18-Site5bb-S133	18S_Euk_Yell-July18-Site5ee-S136	18S_Euk_Yell-July18-Site1m-S102	18S_Euk_Yell-July18-Site5cc-S134	18S_Euk_Yell-July18-Site5v-S127	18S_Euk_Yell-July18-Site1cc-S140	18S_Euk_Yell-July18-Site1d-S86	18S_Euk_Yell-July18-Site1w-S118	18S_Euk_Yell-July18-Site5L-S109	18S_Euk_Yell-July18-Site5b-S88	18S_Euk_Yell-July18-Site5t-S125	18S_Euk_Yell-July18-Site1v-S117	18S_Euk_Yell-July18-Site5w-S128	18S_Euk_Yell-July18-Site1s-S112	18S_Euk_Yell-July18-Site1dd-S141	18S_Euk_Yell-July18-Site1ee-S142	18S_Euk_Yell-July18-Site1p-S105	18S_Euk_Yell-July18-Site1z-S129	18S_Euk_Yell-July18-Site1y-S120	18S_Euk_Yell-July18-Site1h-S94
Eukaryota;Cercozoa;Thecofilosea;Cryomonadida;Rhogostomidae;Rhogostoma;Rhogostoma schuessleri	105	95	699	663	0	120	124	2241	99	250	210	52	375	3	384	1356	10	560	623	62	28	1	0	10	611	779	1447	340	330	57	77	1058	788	1235	557	2176	725	140	2608	529	302	81	115	284	446	1020	391	1	94	240	0	992	249	205	70
Eukaryota;NA;Raphidophyceae;Chattonellales;Chattonellaceae;Heterosigma;Heterosigma akashiwo	607	13135	1420	115	0	3635	2880	308	2589	309	53	677	402	31	9396	1455	18	9335	146	4289	792	17	0	1	15766	1912	2898	2049	7303	1029	3950	3885	8557	1859	11131	319	12176	5622	404	3041	11048	4264	6456	76	373	191	3164	0	4098	14932	0	5436	5464	3407	3134
Eukaryota;Cercozoa;Thecofilosea;Cryomonadida;Protaspidae;Cryothecomonas;Cryothecomonas aestivalis	6	13	8	15	0	4	22	45	2	7	6	3	16	1	3	16	2	18	17	28	2	0	0	0	32	50	23	20	10	3	3	10	19	23	23	40	31	15	49	2	19	5	23	9	21	14	17	0	6	22	0	42	7	8	1
Eukaryota;Cercozoa;Thecofilosea;NA;Ebriacea;Ebria;Ebria tripartita	26	757	51	61	0	32	2	116	94	12	5	9	44	1	14	94	0	130	22	6	8	1	0	0	348	289	113	70	106	6	33	1048	68	199	175	82	3000	27	106	24	601	22	314	5	0	42	88	0	371	541	0	106	457	158	13
Eukaryota;Arthropoda;Hexanauplia;Poecilostomatoida;Corycaeidae;Corycaeus;Corycaeus speciosus	136	55	0	0	0	0	6	1214	1233	1083	267	8	0	11	393	65	0	0	0	518	194	0	0	1	1116	544	477	388	3053	30	0	0	5	2	707	0	370	277	5	66	4588	14	1	29	33	0	3386	0	1012	793	0	1261	1	319	10
Eukaryota;Arthropoda;Hexanauplia;Calanoida;Temoridae	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	17	0	0	0	0	416	0	561	0	0	0	0	0	0	0	0	0
Archaea;Candidatus Thermoplasmatota;Candidatus Poseidoniia;Candidatus Poseidoniales;Candidatus Thalassarchaeaceae;Candidatus Thalassarchaeum;Candidatus Thalassoarchaea mediterranii	298	4597	956	224	1	1701	463	1282	968	774	523	83	1197	6	7613	1560	24	3153	562	710	756	8	0	2	4999	1933	1262	738	1830	422	438	1467	2307	1619	1201	1157	2210	1787	1604	993	10492	3101	4217	483	796	405	1280	0	3033	5680	0	7305	2515	1412	834
Eukaryota;Arthropoda;Hexanauplia;Calanoida;Clausocalanidae;Pseudocalanus;Pseudocalanus newmani	399	2451	45	2129	26	20	10172	10618	3064	67907	9577	0	9439	12	14385	2043	542	30	23237	1110	8897	1	0	70	9224	21516	26332	1348	3526	4766	2051	977	22209	5061	2545	5952	26233	888	8387	103	26	1190	23	17266	41977	29813	289	0	7010	4732	0	112	1239	55	2259
Eukaryota;Rhodophyta;Florideophyceae	120	83	235	133	0	85	16	558	79	87	19	77	132	3	67	374	4	310	39	26	11	1	0	3	614	522	359	406	184	3	15	260	1043	438	449	367	102	79	454	148	159	83	208	52	47	94	79	0	161	2512	0	502	134	305	89
Eukaryota;Arthropoda;Hexanauplia	689	11795	592	140	2	3312	5122	112	25965	930	136	1638	19970	3	13511	3176	535	8923	391	7363	1324	27	0	6	13213	1015	1874	2414	1093	2319	8692	3472	1414	166	20039	38	6222	13308	54	5298	1096	8592	3256	4069	93	8605	11415	2	25	5172	0	3090	4756	2183	2907
