18S_Euk_seq_number	18S_Euk_Yell-July18-Site1L-S101	18S_Euk_Yell-July18-Site1bb-S139	18S_Euk_Yell-July18-Site1q-S106	18S_Euk_Yell-July18-Site5o-S116	18S_Euk_Yell-July18-Site5J-S107	18S_Euk_Yell-July18-Site1c-S85	18S_Euk_Yell-July18-Site5s-S124	18S_Euk_Yell-July18-Site5aa-S132	18S_Euk_Yell-July18-Site1r-S111	18S_Euk_Yell-July18-Site5a-S87	18S_Euk_Yell-July18-Site5m-S110	18S_Euk_Yell-July18-Site1e-S91	18S_Euk_Yell-July18-Site5h-S98	18S_Euk_Yell-July18-Site1J-S99	18S_Euk_Yell-July18-Site5ff-S137	18S_Euk_Yell-July18-Site5n-S115	18S_Euk_Yell-July18-Site5f-S96	18S_Euk_Yell-July18-Site1b-S84	18S_Euk_Yell-July18-Site5p-S121	18S_Euk_Yell-July18-Site1k-S100	18S_Euk_Yell-July18-Site5k-S108	18S_Euk_Yell-July18-Site1U-S114	18S_Euk_Yell-July18-Site5g-S97	18S_Euk_Yell-July18-Site5q-S122	18S_Euk_Yell-July18-Site1a-S83	18S_Euk_Yell-July18-Site5z-S131	18S_Euk_Yell-July18-Site1t-S113	18S_Euk_Yell-July18-Site1g-S93	18S_Euk_Yell-July18-Site1o-S104	18S_Euk_Yell-July18-Site5c-S89	18S_Euk_Yell-July18-Site5u-S126	18S_Euk_Yell-July18-Site5r-S123	18S_Euk_Yell-July18-Site1f-S92	18S_Euk_Yell-July18-Site5e-S95	18S_Euk_Yell-July18-Site1n-S103	18S_Euk_Yell-July18-Site5bb-S133	18S_Euk_Yell-July18-Site5ee-S136	18S_Euk_Yell-July18-Site1m-S102	18S_Euk_Yell-July18-Site5cc-S134	18S_Euk_Yell-July18-Site5v-S127	18S_Euk_Yell-July18-Site1cc-S140	18S_Euk_Yell-July18-Site1d-S86	18S_Euk_Yell-July18-Site1w-S118	18S_Euk_Yell-July18-Site5L-S109	18S_Euk_Yell-July18-Site5b-S88	18S_Euk_Yell-July18-Site5t-S125	18S_Euk_Yell-July18-Site1v-S117	18S_Euk_Yell-July18-Site5w-S128	18S_Euk_Yell-July18-Site1s-S112	18S_Euk_Yell-July18-Site1dd-S141	18S_Euk_Yell-July18-Site1ee-S142	18S_Euk_Yell-July18-Site1p-S105	18S_Euk_Yell-July18-Site1z-S129	18S_Euk_Yell-July18-Site1y-S120	18S_Euk_Yell-July18-Site1h-S94
Eukaryota;Ciliophora;Spirotrichea;Sporadotrichida;Trachelostylidae;Trachelostyla;Trachelostyla sp. ZZhang-2022a	0	0	0	0	0	0	0	1	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	4	1	1	0	0	0	0	0	1	0	2	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	11	0	1	0
Eukaryota;Endomyxa;NA;Vampyrellida;NA;Thalassomyxa;Thalassomyxa sp. MVa1x	0	0	0	0	0	1	1	5	0	0	0	1	3	0	3	0	0	2	0	0	0	0	0	0	1	3	1	2	2	0	0	1	1	4	1	3	0	0	8	0	1	1	2	1	0	0	0	0	0	0	0	0	1	0	2
Eukaryota;Ciliophora;Spirotrichea;Choreotrichida;Strombidinopsidae;Strombidinopsis	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	6	0	1	0	1	0	2	0	0	0	1	0	0	0	0	1	1	0	0	0	0	13	0	70	0	1	0
Eukaryota;Streptophyta;Magnoliopsida;Brassicales;Brassicaceae;Alyssum	0	3	0	0	0	1	0	4	0	1	1	0	4	0	0	0	0	2	1	2	1	0	0	0	1	6	0	1	3	0	0	0	2	3	2	2	2	1	2	0	9	0	6	1	2	0	1	0	3	2	0	4	0	1	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Stephanodiscales;Stephanodiscaceae	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	0	2	0	0	2	2	0	3	0	0	0
Bacteria;Pseudomonadota;Gammaproteobacteria;NA;NA;Thiolapillus;Thiolapillus brandeum	0	0	0	2	0	0	0	4	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	4	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Limimaricola;Limimaricola hongkongensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Arthropoda;Hexanauplia;Harpacticoida;Aegisthidae;Stratiopontotes	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
Eukaryota;NA;Choanoflagellata;Acanthoecida;Stephanoecidae;Stephanoeca;Stephanoeca diplocostata	0	6	0	0	0	0	5	0	1	3	1	0	5	0	0	0	0	0	0	2	0	0	0	0	2	2	0	0	2	0	1	0	3	3	2	3	3	0	1	0	6	1	2	1	0	2	0	0	0	0	0	7	2	1	0
Eukaryota;NA;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;Heterocapsa pseudotriquetra	0	5	0	0	0	0	0	2	0	1	0	0	1	0	2	2	0	0	1	0	3	0	0	1	1	19	0	0	3	0	0	1	2	10	0	3	2	1	1	2	0	0	3	0	5	2	2	0	3	2	0	1	0	3	0
Eukaryota;NA;Bigyra;Opalinata	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Eukaryota;Ciliophora;Oligohymenophorea;Mobilida;Trichodinidae;Urceolaria;Urceolaria urechi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0
Eukaryota;Ciliophora;Phyllopharyngea;Dysteriida;Hartmannulidae	0	0	2	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	1	0	2	6	1	0	0	0	1	0	2	1	2	0	3	0	1	0	1	0	0	0	0	0	0	2	0	2	2	0	0
Eukaryota;NA;Dinophyceae;Peridiniales;Podolampadaceae;Podolampas;Podolampas bipes	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Eukaryota;Ciliophora;Oligohymenophorea;Mobilida;Trichodinidae;Trichodina;Trichodina hypsilepis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Ciliophora;Spirotrichea;Tintinnida;Xystonellidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0
Eukaryota;NA;Cryptophyceae;Pyrenomonadales;Chroomonadaceae;Chroomonas;Chroomonas sp. WE-2011	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	1	0	0	0	1	1	1	0	0	0	3	0	1	0	1	2	0	0	1	0	0	0	0	0	0	0	0
Eukaryota;Discosea;NA	0	0	1	2	0	1	0	23	2	0	5	0	5	0	3	5	0	2	3	0	1	0	0	0	1	7	0	2	2	0	0	8	2	4	0	19	6	0	11	1	2	0	1	1	0	5	1	0	0	2	0	3	1	2	3
Eukaryota;Ciliophora;Spirotrichea;NA;Strombidiidae;Novistrombidium	0	1	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	2	2	1	0	1	0	0	0	0	2	1	0	0	2	0	1	0	2	0	0	1	0	0	0
Eukaryota;Arthropoda;Arachnida;Sarcoptiformes	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	4	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	1	0	0	3	0	0	0	0	0	1	0	0	0
Eukaryota;NA;Dinophyceae;Peridiniales;Pfiesteriaceae;NA;cryptoperidiniopsoid sp. Folly C5	0	0	0	3	0	1	0	4	1	3	1	0	9	0	4	0	0	0	1	0	0	0	0	0	1	8	0	0	0	1	0	1	0	12	4	3	7	0	7	0	0	0	1	4	3	1	0	0	1	0	0	0	0	0	0
Bacteria;Pseudomonadota;Deltaproteobacteria;Syntrophales;Syntrophaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Eukaryota;Basidiomycota;Tremellomycetes;Filobasidiales;Filobasidiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Arthropoda;Hexanauplia;Harpacticoida;NA;NA;Harpacticoida sp. 5521014	0	0	0	13	0	1	0	0	1	0	0	0	2	0	1	2	0	0	2	0	0	0	0	0	1	1	2	0	7	0	0	0	0	0	2	1	0	1	1	0	3	0	0	0	0	42	0	0	0	1	0	12	1	0	1
Eukaryota;NA;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;Heterocapsa minima	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	3	1	0	1	0	0	0	1	2	1	0	0	0	2	0	2	1	1	0	1	0	1	0	1	2	1	1	2	1	3	0	3	4	0	3	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Sulfitobacter;Sulfitobacter sp. S7-80	0	1	1	0	0	0	0	3	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	2	0	1	2	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	1	1	0
Eukaryota;NA;Dinophyceae;NA;NA;Halostylodinium;Halostylodinium arenarium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Sanchytriomycota;Sanchytriomycetes;Sanchytriales;Sanchytriaceae;Sanchytrium;Sanchytrium tribonematis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Foraminifera;NA;NA;NA;Bowseria;Bowseria arctowskii	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	4	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
Eukaryota;Ciliophora;Spirotrichea;Tintinnida;Codonellidae;Tintinnopsis;Tintinnopsis parvula	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Porifera;Calcarea;Leucosolenida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	2	0	4	0	0	0	1	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	11	0	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema;Skeletonema sp. NIES-16	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	1	1	0	0
Eukaryota;Cnidaria	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	2	0	1	0	0	0	0	0	0	1	1	1	0	1	0	1	0	1	1	3	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	6	0	0	0
Eukaryota;NA;NA;Ancyromonadida;Ancyromonadidae;Ancyromonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Foraminifera;NA;NA;NA;Psammophaga;Psammophaga magnetica	0	0	0	3	0	0	1	4	0	2	1	0	7	0	2	1	0	0	1	0	1	0	0	0	1	2	0	0	1	1	0	2	0	3	2	6	6	0	6	1	0	3	0	1	7	0	0	0	1	1	0	2	0	1	0
Eukaryota;Cercozoa;Chlorarachniophyceae;NA;NA;Minorisa;Minorisa minuta	0	2	1	1	0	2	0	3	1	1	0	0	3	0	0	0	0	1	0	0	0	0	0	0	1	3	0	1	3	0	0	1	1	1	2	5	1	1	2	2	2	1	1	0	0	3	2	0	2	1	0	2	1	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter ubique	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0
Eukaryota;Ciliophora;Spirotrichea;Choreotrichida	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0
Eukaryota;Rhodophyta;Florideophyceae;Gigartinales;Phyllophoraceae;Ahnfeltiopsis;Ahnfeltiopsis gigartinoides	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	3	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Conticribra;Conticribra weissflogiopsis	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	9	0	0	0	1	1	0	1	4	0	0	0	2	0	0	0	1	0	1	0	0	3	0	0	0
Eukaryota;NA;Dinophyceae;Suessiales;Suessiaceae;Piscinoodinium;Piscinoodinium sp. RWL-2007	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	1	0	2	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Euglenozoa;Kinetoplastea;Eubodonida;Bodonidae;NA;Bodonidae sp. HFCC654	0	0	0	0	0	1	2	5	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	2	1	0	2	0	0	0	0	3	0	1	1	0	2	0	1	0	0	1	0	0	0	0	1	1	0	1	0	0	0
Eukaryota;Arthropoda;Thecostraca;Pollicipedomorpha;Pollicipedidae;Pollicipes;Pollicipes polymerus	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella;Shewanella gelidii	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	2	0	4	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2
Eukaryota;NA;Dinophyceae;Blastodiniales;NA;Blastodinium;Blastodinium spinulosum	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Basidiomycota;Tremellomycetes;Filobasidiales;NA;NA;Filobasidiales sp. LM390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Annelida;Polychaeta;Phyllodocida;Syllidae;Odontosyllis;Odontosyllis fulgurans	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	5	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Eukaryota;Haptophyta;NA;Prymnesiales;Prymnesiaceae;Prymnesium	0	3	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	2	0	0	0	6	0	0	0	0	3	0	0	1	2	1	0	0	0	1	0	1	4	0	0	0	0	0
Eukaryota;Cnidaria;Anthozoa;Scleractinia;Merulinidae;Oulophyllia;Oulophyllia bennettae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Arthropoda;Hexanauplia;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops bisetosus	0	0	22	0	0	0	0	2	0	0	0	3	2	0	0	0	0	105	0	0	0	0	0	0	0	57	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Eukaryota;Arthropoda;Hexanauplia;Poecilostomatoida;Lichomolgidae;Lichomolgus;Lichomolgus canui	0	0	22	0	0	0	0	2	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	73	1	0	0	0	1	0	10	9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	1
Eukaryota;Ctenophora;Tentaculata;Cydippida;Pleurobrachiidae;Hormiphora;Hormiphora sp.	0	4	0	0	0	1	0	1	0	0	2	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	59	1	0	0	7	0	5	26	0	0	3	0	0	1	0	8	2	1	0
Eukaryota;Platyhelminthes;Rhabditophora;Rhabdocoela;Trigonostomidae	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	14	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	0	1	2
Eukaryota;Apicomplexa;Marosporida;Agamococcidiorida;Rhytidocystidae;Rhytidocystis;Rhytidocystis dobrovolskiji	0	2	1	60	0	1	1	291	0	1	12	0	61	0	6	11	3	1	5	0	1	0	0	0	0	132	0	1	0	4	0	133	0	105	1	143	27	0	166	46	3	0	1	3	3	21	0	0	0	3	0	0	6	2	0
Eukaryota;Arthropoda;Hexanauplia;Siphonostomatoida;Asterocheridae;NA	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0
Eukaryota;Ciliophora;Spirotrichea;Euplotida;Euplotidae;Euplotes;Euplotes nobilii	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	32	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Eukaryota;Apicomplexa;Conoidasida;Eucoccidiorida;Sarcocystidae	0	6	1	7	0	0	0	11	0	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	10	0	0	0	1	0	0	0	4	0	16	2	0	13	2	0	0	1	1	2	1	0	0	0	7	0	1	0	1	0
Eukaryota;Basidiomycota;Tremellomycetes;Holtermanniales;NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Eukaryota;Arthropoda;Malacostraca;Decapoda	0	1	0	2	0	23	5	1	0	3	0	0	2	0	4	3	0	7	4	0	0	0	0	0	0	2	14	0	5	0	0	0	1	1	8	0	1	0	3	0	4	0	0	0	0	3	0	0	1	1	0	10	3	44	4
Eukaryota;NA;Dinophyceae;Peridiniales;Amphidiniopsidaceae;Amphidiniopsis;Amphidiniopsis sp. MH-2016	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	1	1	1	0	2	0	0	0	0	0	0	0	1	0	0	4	2	0	0
Eukaryota;Chlorophyta;Pyramimonadophyceae;Pyramimonadales	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	5	1	0	1	0	0	0	2	2	2	0	0	0	1	0	1	0	0	0	2	0	0	0	1	3	0	1	0	0	0
Eukaryota;NA;Dinophyceae;Syndiniales;Amoebophryaceae;Amoebophrya;Amoebophrya sp. ex Gymnodinium instriatum	0	3	2	0	0	0	0	1	1	21	2	0	1	0	2	0	0	2	0	1	0	0	0	0	0	2	0	1	2	0	1	0	1	0	2	1	3	0	2	0	3	1	2	0	1	0	4	0	3	1	0	37	3	0	1
Eukaryota;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;Molgula	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	2	1	0	0	0	0	2	0	1	0	0	0	0	0	0
Eukaryota;Endomyxa;NA;Vampyrellida;NA;NA;Vampyrellida sp. KibAr	0	0	0	3	0	0	0	20	0	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	5	0	3	0	0	0	5	1	6	0	2	4	0	6	0	0	0	0	0	0	0	1	0	0	0	0	6	0	1	0
Eukaryota;NA;Dinophyceae;Peridiniales;Amphidiniopsidaceae	0	0	0	0	0	0	0	0	11	0	0	0	1	0	0	0	0	8	0	0	0	0	0	0	1	0	0	1	11	0	1	0	0	43	0	0	0	0	0	0	0	1	0	0	0	0	0	0	15	1	0	0	0	0	0
Eukaryota;Ciliophora;Phyllopharyngea;Exogemmida;Heliochonidae;Heliochona;Heliochona alternans	0	1	3	0	0	0	0	1	1	0	0	1	2	0	0	0	0	23	4	0	0	0	0	0	0	1	3	0	7	0	0	0	1	0	0	0	0	1	1	0	0	1	2	0	0	3	5	0	5	0	0	52	0	5	2
Eukaryota;Rhodophyta;Florideophyceae;Hapalidiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Dinophyceae;Peridiniales;Peridiniaceae;Peridinium;Peridinium foliaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Ciliophora;Litostomatea;Pleurostomatida;Litonotidae;Litonotus;Litonotus gracilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0
Eukaryota;Arthropoda;Malacostraca;Decapoda;Varunidae	0	1	2	0	0	229	1	8	2	1	0	0	7	0	1	1	0	14	2	1	0	0	0	0	0	31	0	0	0	0	0	3	1	23	0	8	0	0	13	1	1	1	1	0	0	1	1	0	1	0	0	3	2	0	0
Eukaryota;Arthropoda;Arachnida;Trombidiformes;Phytoptidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Ciliophora;Oligohymenophorea;Pleuronematida;Pleuronematidae;Pleuronema;Pleuronema coronatum	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;Clunio;Clunio tsushimensis	0	1	9	0	0	1	0	0	0	0	0	0	244	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	6	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	44	0	0	0
Eukaryota;NA;Pelagophyceae;Pelagomonadales;NA;Aureoumbra;Aureoumbra lagunensis	0	1	1	0	0	0	0	1	0	0	0	0	0	0	12	0	0	2	1	1	0	0	0	0	0	1	1	0	0	0	0	22	1	2	1	0	0	1	0	0	2	0	4	0	0	0	1	0	0	2	0	5	0	1	0
Eukaryota;Ciliophora;Spirotrichea;Choreotrichida;Strombidinopsidae;Strombidinopsis;Strombidinopsis sp. JG-2011a	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	2	0	2	0	13	0	5	0	0	0	0	0	0	0	0	0	13	1	0	0	1	29	0	3	0	0	1
Eukaryota;Ascomycota;Eurotiomycetes;Eurotiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Fragilariophyceae;Fragilariales;Staurosiraceae;Plagiostriata;Plagiostriata goreensis	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3	1	0	0	0	0	1	5	0	0	4	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Eukaryota;NA;Dinophyceae;Amphidiniales;Amphidiniaceae;Amphidinium	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Echinodermata;Ophiuroidea;Amphilepidida;Amphiuridae;Amphipholis;Amphipholis squamata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	8	0	0	0	0	0	0	1	0
Eukaryota;Euglenozoa;Kinetoplastea;Eubodonida;Bodonidae;Bodo;Bodo saltans	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	1	2	0	0	0	1	1	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0
